iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.3234619999999999,1.9970890000000001,0.14059100000000013,5,3,1,0,1,0.0032980000000004672,0.17475499999999977,SAT,0.17885399999999985,0.21078299999999972,0.19541599999999892,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.3583639999999999,0.6557439999999994,0.38553500000000085,6,7,6,0,1,0.006687999999999583,0.282451,UNSAT,0.2897970000000001,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.3583639999999999,0.6557439999999994,0.38553500000000085,6,7,6,1,1,0.007819999999999716,0.3332310000000005,SAT,0.34118899999999996,0.19443899999999914,0.1951180000000008,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.3233959999999989,0.5633280000000003,0.22604000000000024,4,6,4,0,1,0.0026319999999993016,0.21255100000000127,UNSAT,0.2155100000000001,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.3233959999999989,0.5633280000000003,0.22604000000000024,4,6,4,1,1,0.006019000000000219,0.23670599999999986,UNSAT,0.24286400000000086,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.3233959999999989,0.5633280000000003,0.22604000000000024,4,6,4,2,1,0.002703000000000344,0.23454500000000067,SAT,0.23734200000000172,0.16484599999999894,0.18446999999999925,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.35959300000000205,2.2610849999999996,0.09776500000000077,6,5,2,0,1,0.001894999999999314,0.17942500000000017,UNSAT,0.18167500000000203,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.35959300000000205,2.2610849999999996,0.09776500000000077,6,5,2,1,1,0.0020100000000002893,0.1925600000000003,UNSAT,0.19466400000000128,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.35959300000000205,2.2610849999999996,0.09776500000000077,6,5,2,2,1,0.0018950000000010903,0.2633100000000006,SAT,0.26541499999999907,0.20145400000000002,0.22826200000000085,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.370118999999999,0.9467160000000003,0.15611599999999903,6,4,3,0,1,0.0033429999999992077,0.2036900000000017,UNSAT,0.20758999999999972,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.370118999999999,0.9467160000000003,0.15611599999999903,6,4,3,1,1,0.005251999999998702,0.22504300000000121,UNSAT,0.23042900000000088,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.370118999999999,0.9467160000000003,0.15611599999999903,6,4,3,2,1,0.002038999999999902,0.23414900000000038,UNSAT,0.23628699999999903,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.370118999999999,0.9467160000000003,0.15611599999999903,6,4,3,1,2,0.0038149999999976814,0.32834500000000055,SAT,0.3322660000000006,0.17512499999999953,0.26545699999999783,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.358509999999999,0.7993180000000031,0.15758399999999995,5,3,2,0,1,0.003388999999998532,0.18215000000000003,UNSAT,0.18614100000000278,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.358509999999999,0.7993180000000031,0.15758399999999995,5,3,2,1,1,0.003120000000002676,0.20521400000000156,UNSAT,0.2084749999999964,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.358509999999999,0.7993180000000031,0.15758399999999995,5,3,2,2,1,0.003287000000000262,0.21215500000000276,UNSAT,0.21558100000000024,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.358509999999999,0.7993180000000031,0.15758399999999995,5,3,2,1,2,0.003913999999998197,0.2562250000000006,SAT,0.26028799999999563,0.18289899999999903,0.20420999999999623,verilog/gen_iter6_model0.v,2,32.851,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.3520150000000015,0.7268809999999988,0.08603800000000206,5,4,2,0,1,0.0016549999999959653,0.1832250000000002,UNSAT,0.1852199999999975,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3520150000000015,0.7268809999999988,0.08603800000000206,5,4,2,1,1,0.0026340000000004693,0.19032200000000188,UNSAT,0.19305200000000156,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3520150000000015,0.7268809999999988,0.08603800000000206,5,4,2,2,1,0.004501999999998674,0.21758799999999923,UNSAT,0.2223030000000037,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3520150000000015,0.7268809999999988,0.08603800000000206,5,4,2,1,2,0.00551799999999858,0.2733269999999983,UNSAT,0.2789900000000003,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3520150000000015,0.7268809999999988,0.08603800000000206,5,4,2,2,2,0.003336000000000894,0.27573899999999796,SAT,0.27916799999999853,0.16488399999999714,0.21821500000000427,verilog/gen_iter7_model0.v,3,32.851,0.0,0.0,True
8,3,verilog/gen_iter7_model0.v,0.37388500000000136,0.8313609999999976,0.09047400000000039,5,6,3,0,1,0.002895999999996235,0.22101100000000073,UNSAT,0.22426799999999858,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.37388500000000136,0.8313609999999976,0.09047400000000039,5,6,3,1,1,0.00249600000000072,0.22392699999999977,UNSAT,0.22660299999999367,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.37388500000000136,0.8313609999999976,0.09047400000000039,5,6,3,2,1,0.002608000000002164,0.290106999999999,SAT,0.2928200000000025,0.16572000000000386,0.1975219999999993,verilog/gen_iter8_model0.v,3,25.3422,0.0,0.0,True
9,3,verilog/gen_iter8_model0.v,0.3568069999999963,0.7691020000000037,0.0973050000000022,5,4,2,0,1,0.002750999999999948,0.1924099999999953,UNSAT,0.19569199999999398,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.3568069999999963,0.7691020000000037,0.0973050000000022,5,4,2,1,1,0.003668000000001115,0.19941600000000292,UNSAT,0.2032340000000019,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.3568069999999963,0.7691020000000037,0.0973050000000022,5,4,2,2,1,0.0034420000000032758,0.20629299999999873,SAT,0.20988499999999988,0.16538199999999748,0.20110399999999728,verilog/gen_iter9_model0.v,3,22.5264,0.0,0.0,True
10,4,verilog/gen_iter9_model0.v,0.3406319999999994,2.5599180000000032,0.06982700000000364,10,5,3,0,1,0.002067000000003816,0.21372000000000213,UNSAT,0.21626300000000143,,,,,,,,
