iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.3198310000000002,2.4654880000000006,0.16584599999999972,5,3,1,0,1,0.00369399999999942,0.19259000000000004,SAT,0.19723100000000038,0.1872859999999994,0.21322799999999997,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.405295999999999,0.6111020000000007,0.20953,6,7,6,0,1,0.003529999999999589,0.2755099999999997,UNSAT,0.27941099999999963,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.405295999999999,0.6111020000000007,0.20953,6,7,6,1,1,0.0051429999999994536,0.32232200000000066,SAT,0.32756400000000063,0.17893899999999974,0.19995199999999969,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.3219850000000015,0.645721,0.42538300000000007,4,6,4,0,1,0.004833999999998895,0.23398800000000008,UNSAT,0.23944099999999935,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.3219850000000015,0.645721,0.42538300000000007,4,6,4,1,1,0.006867000000001511,0.26833499999999866,UNSAT,0.2753490000000003,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.3219850000000015,0.645721,0.42538300000000007,4,6,4,2,1,0.005099999999998772,0.2672939999999997,SAT,0.2725559999999998,0.17299899999999901,0.1957760000000004,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.36080699999999943,2.3090499999999974,0.09424299999999874,6,5,2,0,1,0.0016899999999999693,0.20255100000000148,UNSAT,0.20456100000000177,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.36080699999999943,2.3090499999999974,0.09424299999999874,6,5,2,1,1,0.002396999999998428,0.22071299999999994,UNSAT,0.2232219999999998,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.36080699999999943,2.3090499999999974,0.09424299999999874,6,5,2,2,1,0.0036020000000007713,0.2494360000000011,SAT,0.2531870000000005,0.1717089999999999,0.23422399999999932,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.36696300000000015,0.9735879999999995,0.16014200000000045,6,4,3,0,1,0.003358999999999668,0.20643499999999904,UNSAT,0.2103609999999989,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.36696300000000015,0.9735879999999995,0.16014200000000045,6,4,3,1,1,0.004496999999998863,0.2262970000000024,UNSAT,0.23090800000000122,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.36696300000000015,0.9735879999999995,0.16014200000000045,6,4,3,2,1,0.0037039999999990414,0.23076299999999783,UNSAT,0.23461299999999952,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.36696300000000015,0.9735879999999995,0.16014200000000045,6,4,3,1,2,0.005587999999999482,0.3650419999999972,SAT,0.3707649999999951,0.16908400000000157,0.19403799999999904,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.3730380000000011,0.8257049999999992,0.1728740000000002,5,3,2,0,1,0.0031789999999993768,0.22235200000000432,UNSAT,0.22614200000000295,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3730380000000011,0.8257049999999992,0.1728740000000002,5,3,2,1,1,0.003284999999998206,0.21467499999999973,UNSAT,0.21809399999999712,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3730380000000011,0.8257049999999992,0.1728740000000002,5,3,2,2,1,0.0031770000000008736,0.21223100000000272,UNSAT,0.21555100000000138,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3730380000000011,0.8257049999999992,0.1728740000000002,5,3,2,1,2,0.003934000000004545,0.2666189999999986,SAT,0.27069099999999935,0.22084600000000165,0.22758999999999574,verilog/gen_iter6_model0.v,2,32.851,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.3550489999999975,0.7564920000000015,0.15304100000000176,5,4,2,0,1,0.0029769999999942343,0.18335300000000387,UNSAT,0.18688799999999617,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3550489999999975,0.7564920000000015,0.15304100000000176,5,4,2,1,1,0.004250000000006082,0.1859970000000004,UNSAT,0.19039000000000073,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3550489999999975,0.7564920000000015,0.15304100000000176,5,4,2,2,1,0.0032180000000003872,0.19990900000000522,UNSAT,0.20325800000000172,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3550489999999975,0.7564920000000015,0.15304100000000176,5,4,2,1,2,0.005234000000001515,0.24401099999999687,UNSAT,0.24936599999999842,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3550489999999975,0.7564920000000015,0.15304100000000176,5,4,2,2,2,0.0051650000000016405,0.2698120000000017,SAT,0.27510499999999993,0.17930699999999788,0.19794999999999874,verilog/gen_iter7_model0.v,3,32.851,0.0,0.0,True
8,3,verilog/gen_iter7_model0.v,0.37705500000000214,0.8086570000000002,0.16051799999999616,5,6,3,0,1,0.004468000000002803,0.26133800000000207,UNSAT,0.26641599999999954,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.37705500000000214,0.8086570000000002,0.16051799999999616,5,6,3,1,1,0.002746999999999389,0.2604299999999995,UNSAT,0.26328599999999724,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.37705500000000214,0.8086570000000002,0.16051799999999616,5,6,3,2,1,0.002798999999999552,0.4834060000000022,SAT,0.4863099999999996,0.19991500000000073,0.22887799999999814,verilog/gen_iter8_model0.v,3,25.3422,0.0,0.0,True
