iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.3773819999999999,2.246678,0.1521600000000003,5,3,1,0,1,0.0033389999999995368,0.18836499999999923,SAT,0.19253199999999993,0.1841040000000005,0.21004799999999868,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.36750300000000014,0.6659550000000003,0.20425200000000032,6,7,6,0,1,0.0034930000000006345,0.29331700000000005,UNSAT,0.29717599999999944,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.36750300000000014,0.6659550000000003,0.20425200000000032,6,7,6,1,1,0.005611000000000033,0.32354600000000033,SAT,0.3292749999999991,0.1936169999999997,0.22374899999999975,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.35562700000000014,0.6601609999999987,0.4357260000000007,4,6,4,0,1,0.004843000000004594,0.23451400000000078,UNSAT,0.23998099999999845,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.35562700000000014,0.6601609999999987,0.4357260000000007,4,6,4,1,1,0.005831999999998061,0.25467000000000084,UNSAT,0.26063400000000136,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.35562700000000014,0.6601609999999987,0.4357260000000007,4,6,4,2,1,0.005485000000000184,0.28083400000000047,SAT,0.2864899999999988,0.19018200000000185,0.20739900000000056,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.36447199999999924,2.3787719999999997,0.1672659999999997,6,5,2,0,1,0.004024000000001138,0.2092989999999979,UNSAT,0.21393099999999876,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.36447199999999924,2.3787719999999997,0.1672659999999997,6,5,2,1,1,0.0040800000000000836,0.20959299999999992,UNSAT,0.21382000000000012,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.36447199999999924,2.3787719999999997,0.1672659999999997,6,5,2,2,1,0.003474999999999895,0.2501690000000032,SAT,0.2538070000000001,0.18285099999999943,0.2753869999999985,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.3378590000000017,0.9453999999999994,0.154636,6,4,3,0,1,0.0033969999999996503,0.20650899999999872,UNSAT,0.21046699999999952,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.3378590000000017,0.9453999999999994,0.154636,6,4,3,1,1,0.004736999999998659,0.36549499999999924,UNSAT,0.370358999999997,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.3378590000000017,0.9453999999999994,0.154636,6,4,3,2,1,0.003721999999999781,0.2582650000000015,UNSAT,0.2621280000000006,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.3378590000000017,0.9453999999999994,0.154636,6,4,3,1,2,0.006011999999998352,0.3764730000000007,SAT,0.3826339999999995,0.197811999999999,0.22312600000000415,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.3564129999999963,0.7426089999999981,0.1593669999999996,5,3,2,0,1,0.0028569999999952245,0.19022300000000314,UNSAT,0.19373000000000218,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3564129999999963,0.7426089999999981,0.1593669999999996,5,3,2,1,1,0.0031300000000022976,0.20949500000000043,UNSAT,0.21276000000000295,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3564129999999963,0.7426089999999981,0.1593669999999996,5,3,2,2,1,0.003199000000005725,0.2100200000000001,UNSAT,0.21336799999999911,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3564129999999963,0.7426089999999981,0.1593669999999996,5,3,2,1,2,0.003916000000000253,0.2623300000000022,SAT,0.2663809999999991,0.1830650000000027,0.2155569999999969,verilog/gen_iter6_model0.v,2,32.851,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.3779810000000019,0.7691920000000003,0.08132299999999759,5,4,2,0,1,0.0018460000000004584,0.17853799999999964,UNSAT,0.18073299999999648,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3779810000000019,0.7691920000000003,0.08132299999999759,5,4,2,1,1,0.004504999999998205,0.20787500000000136,UNSAT,0.21251600000000082,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3779810000000019,0.7691920000000003,0.08132299999999759,5,4,2,2,1,0.003416999999998893,0.2251759999999976,UNSAT,0.2287510000000026,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3779810000000019,0.7691920000000003,0.08132299999999759,5,4,2,1,2,0.003204999999997682,0.2522970000000022,UNSAT,0.2555820000000004,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3779810000000019,0.7691920000000003,0.08132299999999759,5,4,2,2,2,0.0038890000000009195,0.2711409999999965,SAT,0.2751269999999977,0.1749170000000042,0.21301899999999918,verilog/gen_iter7_model0.v,3,32.851,0.0,0.0,True
8,3,verilog/gen_iter7_model0.v,0.37600399999999823,0.8021949999999975,0.16355199999999925,5,6,3,0,1,0.005334000000001282,0.23984599999999645,UNSAT,0.24576300000000018,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.37600399999999823,0.8021949999999975,0.16355199999999925,5,6,3,1,1,0.004356000000001359,0.2371149999999993,UNSAT,0.24163300000000376,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.37600399999999823,0.8021949999999975,0.16355199999999925,5,6,3,2,1,0.0045229999999989445,0.350757999999999,SAT,0.35540799999999706,0.1999759999999995,0.24054100000000034,verilog/gen_iter8_model0.v,3,25.3422,0.0,0.0,True
9,3,verilog/gen_iter8_model0.v,0.37222099999999614,0.7812560000000026,0.09845600000000232,5,4,2,0,1,0.0028480000000001837,0.20022600000000068,UNSAT,0.20366599999999835,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.37222099999999614,0.7812560000000026,0.09845600000000232,5,4,2,1,1,0.003524000000002303,0.2084319999999984,UNSAT,0.212098000000001,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.37222099999999614,0.7812560000000026,0.09845600000000232,5,4,2,2,1,0.0036080000000033863,0.3468059999999973,SAT,0.3506149999999977,0.18418500000000293,0.2775259999999946,verilog/gen_iter9_model0.v,3,22.5264,0.0,0.0,True
10,4,verilog/gen_iter9_model0.v,0.36876600000000437,2.5823009999999975,0.07294800000000023,10,5,3,0,1,0.0021599999999999397,0.21859199999999746,UNSAT,0.221112999999999,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.36876600000000437,2.5823009999999975,0.07294800000000023,10,5,3,1,1,0.004061000000000092,0.2541329999999995,UNSAT,0.25835999999999615,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.36876600000000437,2.5823009999999975,0.07294800000000023,10,5,3,2,1,0.004640999999999451,0.266017999999999,UNSAT,0.2707850000000036,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.36876600000000437,2.5823009999999975,0.07294800000000023,10,5,3,1,2,0.003968000000000416,0.4102909999999973,UNSAT,0.4144309999999969,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.36876600000000437,2.5823009999999975,0.07294800000000023,10,5,3,2,2,0.003987999999992553,0.5909460000000024,SAT,0.5951380000000057,0.23557300000000225,0.31632200000000665,verilog/gen_iter10_model0.v,4,22.5264,0.0,0.0,True
11,4,verilog/gen_iter10_model0.v,0.410972000000001,2.8448550000000026,0.14065200000000289,10,5,3,0,1,0.0037230000000079144,0.2421409999999966,UNSAT,0.24651499999999515,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.410972000000001,2.8448550000000026,0.14065200000000289,10,5,3,1,1,0.004038000000001318,0.2670219999999972,UNSAT,0.2712179999999975,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.410972000000001,2.8448550000000026,0.14065200000000289,10,5,3,2,1,0.0041470000000032314,0.2754720000000006,UNSAT,0.27975899999999854,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.410972000000001,2.8448550000000026,0.14065200000000289,10,5,3,1,2,0.0035979999999966594,0.39966500000000593,UNSAT,0.4033510000000078,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.410972000000001,2.8448550000000026,0.14065200000000289,10,5,3,2,2,0.005580000000001917,0.5837749999999957,SAT,0.5894690000000011,0.18589800000000167,0.21002699999999663,verilog/gen_iter11_model0.v,3,22.5264,0.0,0.0,True
12,4,verilog/gen_iter11_model0.v,0.33451300000000117,2.669561999999992,0.07109400000000221,10,5,3,0,1,0.0023780000000002133,0.2144569999999959,UNSAT,0.21720700000000193,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.33451300000000117,2.669561999999992,0.07109400000000221,10,5,3,1,1,0.0024290000000064538,0.244923,UNSAT,0.24746300000000332,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.33451300000000117,2.669561999999992,0.07109400000000221,10,5,3,2,1,0.002372999999998626,0.2785170000000008,UNSAT,0.2809910000000002,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.33451300000000117,2.669561999999992,0.07109400000000221,10,5,3,1,2,0.006299000000005606,0.41608200000000295,UNSAT,0.42251600000000167,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.33451300000000117,2.669561999999992,0.07109400000000221,10,5,3,2,2,0.003565999999999292,0.46188799999999475,SAT,0.4655819999999977,0.22262500000000074,0.22115000000000862,verilog/gen_iter12_model0.v,4,22.5264,0.0,0.0,True
13,5,verilog/gen_iter12_model0.v,0.3385859999999994,2.6867930000000015,0.07763500000000079,10,5,3,0,1,0.002285999999998012,0.24270600000000542,UNSAT,0.24540600000000268,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.3385859999999994,2.6867930000000015,0.07763500000000079,10,5,3,1,1,0.003317000000002679,0.26702399999999926,UNSAT,0.2704310000000021,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.3385859999999994,2.6867930000000015,0.07763500000000079,10,5,3,2,1,0.002202999999994404,0.2731759999999994,UNSAT,0.2754759999999976,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.3385859999999994,2.6867930000000015,0.07763500000000079,10,5,3,1,2,0.003094999999994741,0.4242500000000007,UNSAT,0.4274330000000006,,,,,,,,
