iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.45765200000000017,0.807831,1.7248179999999995,1,2,1,0,1,0.0038599999999995305,0.19979199999999953,UNSAT,0.20459600000000044,,,,,,,,
1,1,verilog/current.v,0.45765200000000017,0.807831,1.7248179999999995,1,2,1,1,1,0.0034909999999994668,0.22278300000000062,UNSAT,0.22639600000000115,,,,,,,,
1,1,verilog/current.v,0.45765200000000017,0.807831,1.7248179999999995,1,2,1,2,1,0.004401999999998907,0.19589699999999954,SAT,0.2004159999999997,0.18927599999999956,0.21697200000000016,verilog/gen_iter1_model0.v,0,78.3731,0.0,0.0,True
2,2,verilog/gen_iter1_model0.v,0.43724399999999974,4.446351,0.8508409999999991,5,5,4,0,1,0.005412000000001527,0.28603199999999873,UNSAT,0.2922799999999999,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.43724399999999974,4.446351,0.8508409999999991,5,5,4,1,1,0.005836999999999648,0.35319500000000126,UNSAT,0.3591869999999986,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.43724399999999974,4.446351,0.8508409999999991,5,5,4,2,1,0.00716600000000156,0.48467199999999977,UNSAT,0.49199099999999873,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.43724399999999974,4.446351,0.8508409999999991,5,5,4,1,2,0.009863000000001065,0.5955250000000003,SAT,0.6055360000000025,0.19889400000000101,0.21185200000000215,verilog/gen_iter2_model0.v,2,57.2546,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,0.386744000000002,2.168781000000001,0.30368699999999826,5,4,2,0,1,0.004058000000000561,0.27800900000000084,UNSAT,0.2832320000000017,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.386744000000002,2.168781000000001,0.30368699999999826,5,4,2,1,1,0.0028129999999997324,0.32264999999999944,UNSAT,0.3255970000000019,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.386744000000002,2.168781000000001,0.30368699999999826,5,4,2,2,1,0.0035589999999992017,0.25413199999999847,SAT,0.2578200000000024,0.1916899999999977,0.22193700000000405,verilog/gen_iter3_model0.v,2,53.5002,0.0,0.0,True
