iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.4142840000000003,0.6595619999999995,1.6321630000000003,1,2,1,0,1,0.0037160000000002746,0.2315990000000001,UNSAT,0.23621199999999964,,,,,,,,
1,1,verilog/current.v,0.4142840000000003,0.6595619999999995,1.6321630000000003,1,2,1,1,1,0.00413299999999861,0.23311499999999974,UNSAT,0.2373940000000001,,,,,,,,
1,1,verilog/current.v,0.4142840000000003,0.6595619999999995,1.6321630000000003,1,2,1,2,1,0.0037529999999996733,0.20758799999999855,SAT,0.21149400000000007,0.2155750000000003,0.2337699999999998,verilog/gen_iter1_model0.v,0,78.3731,0.0,0.0,True
2,2,verilog/gen_iter1_model0.v,0.4328189999999994,0.6289470000000001,0.8259439999999998,5,5,4,0,1,0.0050680000000005165,0.27703200000000017,UNSAT,0.28290599999999966,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.4328189999999994,0.6289470000000001,0.8259439999999998,5,5,4,1,1,0.00663699999999956,0.3273659999999996,UNSAT,0.3341490000000009,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.4328189999999994,0.6289470000000001,0.8259439999999998,5,5,4,2,1,0.005863999999999869,0.2990969999999997,UNSAT,0.3051199999999996,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.4328189999999994,0.6289470000000001,0.8259439999999998,5,5,4,1,2,0.009251000000000786,0.5649789999999992,SAT,0.5743669999999996,0.20172000000000168,0.2141169999999999,verilog/gen_iter2_model0.v,2,57.2546,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,0.4254640000000016,0.5877139999999983,0.4642299999999988,6,4,3,0,1,0.0036919999999991404,0.2246699999999997,UNSAT,0.2290440000000018,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.4254640000000016,0.5877139999999983,0.4642299999999988,6,4,3,1,1,0.0050829999999990605,0.2995859999999997,UNSAT,0.30479900000000093,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.4254640000000016,0.5877139999999983,0.4642299999999988,6,4,3,2,1,0.0043959999999998445,0.28410000000000046,UNSAT,0.2886810000000022,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.4254640000000016,0.5877139999999983,0.4642299999999988,6,4,3,1,2,0.0063530000000024955,0.4333009999999984,UNSAT,0.4398030000000013,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.4254640000000016,0.5877139999999983,0.4642299999999988,6,4,3,2,2,0.0062320000000006814,0.6417070000000002,SAT,0.6482759999999992,0.23107899999999937,0.2645710000000001,verilog/gen_iter3_model0.v,2,53.5002,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.4269300000000005,0.6381050000000013,0.5959330000000005,1,2,1,0,1,0.001540000000000319,0.20700300000000027,UNSAT,0.20892199999999939,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.4269300000000005,0.6381050000000013,0.5959330000000005,1,2,1,1,1,0.0036480000000000956,0.22364499999999943,UNSAT,0.2274270000000005,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.4269300000000005,0.6381050000000013,0.5959330000000005,1,2,1,2,1,0.0029310000000037917,0.2402110000000004,SAT,0.24326000000000114,0.2246610000000011,0.23657500000000198,verilog/gen_iter4_model0.v,2,57.2546,0.0,0.0,True
5,3,verilog/gen_iter4_model0.v,0.41496000000000066,0.6425280000000022,0.8814439999999983,1,2,1,0,1,0.002561000000003588,0.22341199999999972,UNSAT,0.22656800000000032,,,,,,,,
5,3,verilog/gen_iter4_model0.v,0.41496000000000066,0.6425280000000022,0.8814439999999983,1,2,1,1,1,0.002387999999996282,0.20856199999999703,UNSAT,0.2111719999999977,,,,,,,,
5,3,verilog/gen_iter4_model0.v,0.41496000000000066,0.6425280000000022,0.8814439999999983,1,2,1,2,1,0.002197000000002447,0.21430400000000205,SAT,0.21660900000000183,0.19879599999999797,0.218401999999994,verilog/gen_iter5_model0.v,3,53.5002,0.0,0.0,True
