iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.57917,3.208024,1.089251,5,2,3,0,1,0.006325000000000358,0.27265599999999957,SAT,0.28032400000000024,0.2566410000000001,0.22012700000000152,verilog/gen_iter1_model0.v,1,48.3379,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.5257240000000003,0.8568309999999997,0.6567439999999998,5,8,5,0,1,0.006892999999999816,0.3322990000000008,UNSAT,0.3399599999999996,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.5257240000000003,0.8568309999999997,0.6567439999999998,5,8,5,1,1,0.00815699999999886,0.3465360000000004,UNSAT,0.35484399999999994,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.5257240000000003,0.8568309999999997,0.6567439999999998,5,8,5,2,1,0.007402999999998272,0.3864080000000012,SAT,0.39398200000000116,0.2405810000000006,0.2402759999999997,verilog/gen_iter2_model0.v,1,48.3379,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,0.5288579999999996,3.625916000000002,0.3595449999999971,7,7,5,0,1,0.004090000000001481,0.5396779999999985,UNSAT,0.5442590000000003,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.5288579999999996,3.625916000000002,0.3595449999999971,7,7,5,1,1,0.009741999999999251,0.3852140000000013,UNSAT,0.39516699999999894,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.5288579999999996,3.625916000000002,0.3595449999999971,7,7,5,2,1,0.00387800000000027,0.40180099999999896,UNSAT,0.4058010000000003,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.5288579999999996,3.625916000000002,0.3595449999999971,7,7,5,1,2,0.007006000000000512,0.6617400000000018,UNSAT,0.6688640000000028,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.5288579999999996,3.625916000000002,0.3595449999999971,7,7,5,2,2,0.005958000000006791,0.9566719999999975,UNSAT,0.9627559999999988,,,,,,,,
4,3,verilog/gen_iter2_model0.v,0.531568,3.1787850000000013,0.688565999999998,7,6,4,0,1,0.005254000000004311,0.2840279999999993,UNSAT,0.2901190000000007,,,,,,,,
4,3,verilog/gen_iter2_model0.v,0.531568,3.1787850000000013,0.688565999999998,7,6,4,1,1,0.030477999999998673,0.302222000000004,UNSAT,0.3328280000000028,,,,,,,,
4,3,verilog/gen_iter2_model0.v,0.531568,3.1787850000000013,0.688565999999998,7,6,4,2,1,0.007056999999996094,0.30168599999999657,UNSAT,0.3089010000000023,,,,,,,,
4,3,verilog/gen_iter2_model0.v,0.531568,3.1787850000000013,0.688565999999998,7,6,4,1,2,0.009386999999996704,0.46972700000000245,UNSAT,0.47934800000000166,,,,,,,,
4,3,verilog/gen_iter2_model0.v,0.531568,3.1787850000000013,0.688565999999998,7,6,4,2,2,0.009465999999999752,0.7121460000000006,SAT,0.7218079999999993,0.24058399999999835,0.23099700000000212,verilog/gen_iter4_model0.v,3,61.009,0.0,0.0,True
5,3,verilog/gen_iter4_model0.v,0.485713999999998,4.545118000000002,0.20678700000000205,6,5,2,0,1,0.0021419999999992,0.23875699999999966,UNSAT,0.2413659999999993,,,,,,,,
