iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.5334280000000002,0.845601,1.113476,5,2,3,0,1,0.005074999999999719,0.2929809999999997,SAT,0.29925700000000033,0.26613500000000023,0.2515810000000007,verilog/gen_iter1_model0.v,1,48.3379,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.5913219999999999,0.8806199999999995,0.8184209999999998,0,0,0,,,,,,,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.5531369999999995,0.8613129999999991,0.6989420000000006,5,2,3,0,1,0.004123999999999128,0.2591599999999996,UNSAT,0.2641589999999976,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.5531369999999995,0.8613129999999991,0.6989420000000006,5,2,3,1,1,0.003975000000000506,0.31249900000000075,UNSAT,0.3166050000000009,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.5531369999999995,0.8613129999999991,0.6989420000000006,5,2,3,2,1,0.00404800000000094,0.30077200000000026,UNSAT,0.30497500000000066,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.5531369999999995,0.8613129999999991,0.6989420000000006,5,2,3,1,2,0.005084000000001865,0.3776289999999989,UNSAT,0.38285500000000106,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.5531369999999995,0.8613129999999991,0.6989420000000006,5,2,3,2,2,0.0048939999999984,0.38907199999999875,SAT,0.39413899999999913,0.24733699999999992,0.23521700000000223,verilog/gen_iter3_model0.v,1,48.3379,0.0,0.0,True
4,3,verilog/gen_iter3_model0.v,0.5180249999999997,0.8702649999999981,0.6964430000000021,5,2,3,,,,,,,,,,,,,,
5,4,verilog/gen_iter3_model0.v,0.5014619999999983,0.8900689999999987,0.6514830000000007,21,10,2,0,1,0.0043490000000012685,0.28620800000000024,UNSAT,0.29143200000000036,,,,,,,,
5,4,verilog/gen_iter3_model0.v,0.5014619999999983,0.8900689999999987,0.6514830000000007,21,10,2,1,1,0.025805000000001854,0.28626099999999965,UNSAT,0.31219899999999967,,,,,,,,
5,4,verilog/gen_iter3_model0.v,0.5014619999999983,0.8900689999999987,0.6514830000000007,21,10,2,2,1,0.0051420000000028665,0.28610300000000066,SAT,0.2913969999999999,0.2159329999999997,0.2621210000000005,verilog/gen_iter5_model0.v,4,36.6054,0.0,0.0,True
6,4,verilog/gen_iter5_model0.v,0.4329579999999993,0.6060630000000025,0.1973559999999992,6,5,3,0,1,0.00402800000000525,0.21927599999999714,UNSAT,0.22389499999999884,,,,,,,,
6,4,verilog/gen_iter5_model0.v,0.4329579999999993,0.6060630000000025,0.1973559999999992,6,5,3,1,1,0.0040629999999985955,0.2588770000000018,UNSAT,0.2630750000000006,,,,,,,,
6,4,verilog/gen_iter5_model0.v,0.4329579999999993,0.6060630000000025,0.1973559999999992,6,5,3,2,1,0.004274999999999807,0.2884670000000007,SAT,0.2928759999999997,0.19410900000000098,0.22288099999999744,verilog/gen_iter6_model0.v,4,31.4431,0.0,0.0,True
7,4,verilog/gen_iter6_model0.v,0.47541400000000067,0.5770739999999996,0.23520399999999952,7,5,3,0,1,0.004574999999995555,0.3027760000000015,UNSAT,0.30798400000000115,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.47541400000000067,0.5770739999999996,0.23520399999999952,7,5,3,1,1,0.026302000000001158,0.3152410000000003,UNSAT,0.3416530000000009,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.47541400000000067,0.5770739999999996,0.23520399999999952,7,5,3,2,1,0.002777999999999281,0.3605290000000032,SAT,0.36343600000000365,0.19920700000000124,0.20702099999999746,verilog/gen_iter7_model0.v,4,26.7501,0.0,0.0,True
8,5,verilog/gen_iter7_model0.v,0.43635799999999847,0.7313560000000017,0.23290199999999928,0,0,0,,,,,,,,,,,,,,
9,6,verilog/gen_iter7_model0.v,0.456036000000001,0.6766380000000005,0.2231999999999985,0,0,0,,,,,,,,,,,,,,
10,7,verilog/gen_iter7_model0.v,0.4573949999999982,0.6192820000000054,0.14704800000000162,0,0,0,,,,,,,,,,,,,,
11,8,verilog/gen_iter7_model0.v,0.47490500000000324,0.6977250000000019,0.2181129999999989,26,6,1,0,1,0.0025950000000065643,0.23454399999999964,SAT,0.2377980000000015,0.09085100000000068,0.23391799999999918,verilog/gen_iter11_model0.v,8,0.0,0.0,0.0,True
