iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.3131309999999998,1.9744369999999998,0.07757999999999976,5,3,1,0,1,0.002220000000000333,0.16306699999999985,SAT,0.1657879999999996,0.2336940000000003,0.22570899999999927,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.3871520000000013,0.6331419999999994,0.381043,6,7,6,0,1,0.006446000000000396,0.28327299999999944,UNSAT,0.290362,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.3871520000000013,0.6331419999999994,0.381043,6,7,6,1,1,0.007737999999999801,0.3651239999999998,SAT,0.3730229999999999,0.18090099999999953,0.20261700000000094,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.357399,0.5636039999999998,0.21045799999999915,4,6,4,0,1,0.002573999999999188,0.20684799999999992,UNSAT,0.20973800000000153,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.357399,0.5636039999999998,0.21045799999999915,4,6,4,1,1,0.0034729999999996153,0.23728000000000016,UNSAT,0.2408469999999987,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.357399,0.5636039999999998,0.21045799999999915,4,6,4,2,1,0.0028029999999983346,0.442024,SAT,0.4449349999999992,0.18631500000000223,0.21763699999999986,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.3490449999999985,2.329832999999999,0.17022900000000085,6,5,2,0,1,0.0031809999999996563,0.18540100000000237,UNSAT,0.18917800000000184,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.3490449999999985,2.329832999999999,0.17022900000000085,6,5,2,1,1,0.003604000000001051,0.20026999999999795,UNSAT,0.20400499999999866,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.3490449999999985,2.329832999999999,0.17022900000000085,6,5,2,2,1,0.0036190000000022593,0.22517300000000162,SAT,0.2289589999999997,0.1616560000000007,0.24930200000000013,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.37557100000000077,1.1061139999999998,0.16284900000000135,6,4,3,0,1,0.003413999999999362,0.21819999999999773,UNSAT,0.22217499999999824,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.37557100000000077,1.1061139999999998,0.16284900000000135,6,4,3,1,1,0.0052520000000004785,0.2288969999999999,UNSAT,0.23429199999999994,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.37557100000000077,1.1061139999999998,0.16284900000000135,6,4,3,2,1,0.003832999999998421,0.38650999999999947,UNSAT,0.39049900000000015,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.37557100000000077,1.1061139999999998,0.16284900000000135,6,4,3,1,2,0.005571000000001547,0.3799220000000023,SAT,0.38562600000000025,0.19143899999999903,0.2157969999999949,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.3621219999999994,0.9193779999999983,0.1630880000000019,5,3,2,0,1,0.0028980000000018435,0.19542999999999822,UNSAT,0.19899799999999956,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3621219999999994,0.9193779999999983,0.1630880000000019,5,3,2,1,1,0.003456999999997379,0.19900900000000377,UNSAT,0.20261999999999958,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3621219999999994,0.9193779999999983,0.1630880000000019,5,3,2,2,1,0.0032129999999988,0.2153969999999994,UNSAT,0.21876000000000317,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3621219999999994,0.9193779999999983,0.1630880000000019,5,3,2,1,2,0.003934000000000992,0.24339799999999912,SAT,0.24747099999999733,0.17148900000000467,0.21577699999999922,verilog/gen_iter6_model0.v,2,32.851,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.34752200000000144,0.7439959999999992,0.14950299999999928,5,4,2,0,1,0.0029109999999974434,0.1801599999999972,UNSAT,0.1836359999999999,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.34752200000000144,0.7439959999999992,0.14950299999999928,5,4,2,1,1,0.004324999999997914,0.19871800000000306,UNSAT,0.20320700000000258,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.34752200000000144,0.7439959999999992,0.14950299999999928,5,4,2,2,1,0.0034969999999994172,0.19688800000000128,UNSAT,0.2005469999999967,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.34752200000000144,0.7439959999999992,0.14950299999999928,5,4,2,1,2,0.005440999999997587,0.2591539999999988,UNSAT,0.26471799999999845,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.34752200000000144,0.7439959999999992,0.14950299999999928,5,4,2,2,2,0.005281000000000091,0.2689069999999987,SAT,0.2743210000000005,0.1653739999999999,0.19066500000000275,verilog/gen_iter7_model0.v,3,32.851,0.0,0.0,True
8,3,verilog/gen_iter7_model0.v,0.3500019999999999,0.7889530000000029,0.15113799999999955,5,6,3,0,1,0.004335999999998563,0.2563159999999982,UNSAT,0.2612369999999977,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.3500019999999999,0.7889530000000029,0.15113799999999955,5,6,3,1,1,0.004934000000002214,0.4129429999999985,UNSAT,0.41804199999999625,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.3500019999999999,0.7889530000000029,0.15113799999999955,5,6,3,2,1,0.005066999999996824,0.33695800000000276,SAT,0.3422239999999981,0.18249099999999885,0.21778200000000325,verilog/gen_iter8_model0.v,3,25.3422,0.0,0.0,True
9,3,verilog/gen_iter8_model0.v,0.3711219999999962,0.8655229999999996,0.10081500000000077,5,4,2,0,1,0.0028659999999973707,0.21250399999999914,UNSAT,0.21597399999999567,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.3711219999999962,0.8655229999999996,0.10081500000000077,5,4,2,1,1,0.003376999999993302,0.2059110000000004,UNSAT,0.20943400000000167,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.3711219999999962,0.8655229999999996,0.10081500000000077,5,4,2,2,1,0.0033070000000030575,0.21192100000000025,SAT,0.21537599999999912,0.2170349999999992,0.20353300000000019,verilog/gen_iter9_model0.v,3,22.5264,0.0,0.0,True
10,4,verilog/gen_iter9_model0.v,0.33237700000000103,2.6421879999999973,0.12557299999999927,10,5,3,0,1,0.0035270000000018342,0.23294800000000038,UNSAT,0.23705500000000157,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.33237700000000103,2.6421879999999973,0.12557299999999927,10,5,3,1,1,0.0037650000000013506,0.25318100000000143,UNSAT,0.257088999999997,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.33237700000000103,2.6421879999999973,0.12557299999999927,10,5,3,2,1,0.0047570000000014545,0.2757600000000018,UNSAT,0.28065400000000196,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.33237700000000103,2.6421879999999973,0.12557299999999927,10,5,3,1,2,0.005494999999999806,0.40920699999999854,UNSAT,0.4148510000000023,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.33237700000000103,2.6421879999999973,0.12557299999999927,10,5,3,2,2,0.006125000000000824,0.6033930000000005,SAT,0.6096930000000036,0.18472099999999614,0.18200799999999617,verilog/gen_iter10_model0.v,4,22.5264,0.0,0.0,True
11,4,verilog/gen_iter10_model0.v,0.35079100000000096,2.462984999999996,0.12274699999999683,10,5,3,0,1,0.0035910000000072273,0.21754899999999822,UNSAT,0.22172199999999975,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.35079100000000096,2.462984999999996,0.12274699999999683,10,5,3,1,1,0.003940000000000055,0.25105900000000503,UNSAT,0.25515900000000613,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.35079100000000096,2.462984999999996,0.12274699999999683,10,5,3,2,1,0.003981000000003121,0.24554900000000401,UNSAT,0.24967000000000894,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.35079100000000096,2.462984999999996,0.12274699999999683,10,5,3,1,2,0.00612000000000279,0.3939489999999921,UNSAT,0.400195999999994,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.35079100000000096,2.462984999999996,0.12274699999999683,10,5,3,2,2,0.006301999999998031,0.5273400000000024,SAT,0.5337910000000008,0.19475200000000115,0.20727000000000118,verilog/gen_iter11_model0.v,3,22.5264,0.0,0.0,True
12,4,verilog/gen_iter11_model0.v,0.3227839999999986,2.5785729999999987,0.07142900000000907,10,5,3,0,1,0.00205200000000616,0.19393399999999872,UNSAT,0.1963310000000007,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.3227839999999986,2.5785729999999987,0.07142900000000907,10,5,3,1,1,0.003837999999994679,0.24160499999999985,UNSAT,0.24557800000000185,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.3227839999999986,2.5785729999999987,0.07142900000000907,10,5,3,2,1,0.003998000000002833,0.25639299999999565,UNSAT,0.260555999999994,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.3227839999999986,2.5785729999999987,0.07142900000000907,10,5,3,1,2,0.00634900000000016,0.39034600000000097,UNSAT,0.3968190000000078,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.3227839999999986,2.5785729999999987,0.07142900000000907,10,5,3,2,2,0.005540999999993801,0.4404819999999958,SAT,0.4461819999999932,0.17735600000000318,0.2142199999999903,verilog/gen_iter12_model0.v,4,22.5264,0.0,0.0,True
13,5,verilog/gen_iter12_model0.v,0.34788799999999753,2.5726900000000015,0.12121900000000352,10,5,3,0,1,0.003313999999988937,0.32150800000000856,UNSAT,0.32538500000000425,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.34788799999999753,2.5726900000000015,0.12121900000000352,10,5,3,1,1,0.003727000000004921,0.2785679999999999,UNSAT,0.282400999999993,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.34788799999999753,2.5726900000000015,0.12121900000000352,10,5,3,2,1,0.0038249999999919737,0.2825169999999986,UNSAT,0.28648599999999647,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.34788799999999753,2.5726900000000015,0.12121900000000352,10,5,3,1,2,0.005839000000001704,0.4505150000000029,UNSAT,0.45648599999999817,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.34788799999999753,2.5726900000000015,0.12121900000000352,10,5,3,2,2,0.005583999999998923,0.48731300000000743,SAT,0.4930350000000061,0.1811919999999958,0.21323200000000497,verilog/gen_iter13_model0.v,5,20.1799,0.0,0.0,True
14,5,verilog/gen_iter13_model0.v,0.3650870000000026,4.651036000000005,0.12808100000000167,9,4,3,0,1,0.003394000000000119,0.19272499999999582,UNSAT,0.19671399999999295,,,,,,,,
14,5,verilog/gen_iter13_model0.v,0.3650870000000026,4.651036000000005,0.12808100000000167,9,4,3,1,1,0.00406799999999663,0.21571600000000046,UNSAT,0.21993599999999702,,,,,,,,
14,5,verilog/gen_iter13_model0.v,0.3650870000000026,4.651036000000005,0.12808100000000167,9,4,3,2,1,0.004615999999998621,0.23277299999998746,UNSAT,0.2375199999999964,,,,,,,,
14,5,verilog/gen_iter13_model0.v,0.3650870000000026,4.651036000000005,0.12808100000000167,9,4,3,1,2,0.005173999999996681,0.3412370000000067,UNSAT,0.34657000000000693,,,,,,,,
14,5,verilog/gen_iter13_model0.v,0.3650870000000026,4.651036000000005,0.12808100000000167,9,4,3,2,2,0.004999000000005083,0.45444200000000023,SAT,0.45961499999999944,0.17523799999999312,0.20152900000000784,verilog/gen_iter14_model0.v,5,19.2413,0.0,0.0,True
15,5,verilog/gen_iter14_model0.v,0.4065840000000023,3.7032309999999953,0.12530300000000238,9,4,2,0,1,0.0026900000000011914,0.18647300000000655,UNSAT,0.18972000000000833,,,,,,,,
15,5,verilog/gen_iter14_model0.v,0.4065840000000023,3.7032309999999953,0.12530300000000238,9,4,2,1,1,0.023828999999999212,0.19998899999998798,UNSAT,0.22394199999998676,,,,,,,,
