iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.35362400000000016,2.1349760000000004,0.14141100000000062,5,3,1,0,1,0.0034290000000001264,0.19090499999999988,SAT,0.19518199999999952,0.19087100000000046,0.23218599999999956,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.3935980000000008,0.6760719999999996,0.39345999999999925,6,7,6,0,1,0.007072000000000855,0.3056020000000004,UNSAT,0.31357899999999894,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.3935980000000008,0.6760719999999996,0.39345999999999925,6,7,6,1,1,0.008564999999999046,0.3499340000000002,SAT,0.35867000000000093,0.19712499999999977,0.2082499999999996,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.3744569999999996,0.6970830000000001,0.2238780000000009,4,6,4,0,1,0.002741999999999578,0.2345809999999986,UNSAT,0.2376870000000011,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.3744569999999996,0.6970830000000001,0.2238780000000009,4,6,4,1,1,0.005841000000000207,0.25943700000000014,UNSAT,0.26541199999999954,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.3744569999999996,0.6970830000000001,0.2238780000000009,4,6,4,2,1,0.005037999999998988,0.27811699999999817,SAT,0.28331399999999896,0.1936139999999984,0.21439799999999742,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.35045900000000074,2.3672879999999985,0.17258499999999977,6,5,2,0,1,0.003213999999999828,0.20478099999999877,UNSAT,0.20859699999999926,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.35045900000000074,2.3672879999999985,0.17258499999999977,6,5,2,1,1,0.003635000000000943,0.21306999999999832,UNSAT,0.21682999999999986,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.35045900000000074,2.3672879999999985,0.17258499999999977,6,5,2,2,1,0.0037890000000011526,0.251258,SAT,0.25519800000000004,0.18126799999999932,0.2136830000000014,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.37726499999999774,0.9824199999999994,0.15380799999999972,6,4,3,0,1,0.0033899999999977837,0.20565600000000117,UNSAT,0.20963100000000168,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.37726499999999774,0.9824199999999994,0.15380799999999972,6,4,3,1,1,0.004680999999997937,0.33996400000000015,UNSAT,0.34477000000000046,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.37726499999999774,0.9824199999999994,0.15380799999999972,6,4,3,2,1,0.0037559999999992044,0.24509399999999637,UNSAT,0.24901099999999765,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.37726499999999774,0.9824199999999994,0.15380799999999972,6,4,3,1,2,0.006468000000001695,0.37457700000000216,SAT,0.3812020000000018,0.1989389999999993,0.21011100000000127,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.3566430000000018,0.8762659999999975,0.1994019999999992,5,3,2,0,1,0.003191000000001054,0.20568899999999957,UNSAT,0.20955000000000013,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3566430000000018,0.8762659999999975,0.1994019999999992,5,3,2,1,1,0.0036070000000023583,0.20781900000000064,UNSAT,0.21162299999999945,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3566430000000018,0.8762659999999975,0.1994019999999992,5,3,2,2,1,0.0034080000000038524,0.22160599999999775,UNSAT,0.22517199999999704,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3566430000000018,0.8762659999999975,0.1994019999999992,5,3,2,1,2,0.004048999999998415,0.26378299999999655,SAT,0.2679749999999963,0.1780450000000009,0.21003200000000177,verilog/gen_iter6_model0.v,2,32.851,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.3518230000000031,0.7264019999999967,0.08192800000000133,5,4,2,0,1,0.0018029999999988888,0.18270000000000408,UNSAT,0.18487499999999812,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3518230000000031,0.7264019999999967,0.08192800000000133,5,4,2,1,1,0.004188000000002745,0.20799499999999682,UNSAT,0.21231199999999717,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3518230000000031,0.7264019999999967,0.08192800000000133,5,4,2,2,1,0.001880999999997357,0.1983809999999977,UNSAT,0.20036799999999744,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3518230000000031,0.7264019999999967,0.08192800000000133,5,4,2,1,2,0.0033770000000004075,0.25087800000000726,UNSAT,0.25433800000000417,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.3518230000000031,0.7264019999999967,0.08192800000000133,5,4,2,2,2,0.0032679999999949416,0.2924779999999991,SAT,0.29585199999999645,0.1584509999999959,0.19721300000000497,verilog/gen_iter7_model0.v,3,32.851,0.0,0.0,True
8,3,verilog/gen_iter7_model0.v,0.36740199999999845,0.925341999999997,0.15750099999999634,5,6,3,0,1,0.004404000000000963,0.24198499999999967,UNSAT,0.246969,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.36740199999999845,0.925341999999997,0.15750099999999634,5,6,3,1,1,0.0046749999999988745,0.25718300000000127,UNSAT,0.2621310000000001,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.36740199999999845,0.925341999999997,0.15750099999999634,5,6,3,2,1,0.004716000000001941,0.31486100000000405,SAT,0.3197280000000049,0.17226900000000356,0.2111319999999992,verilog/gen_iter8_model0.v,3,25.3422,0.0,0.0,True
9,3,verilog/gen_iter8_model0.v,0.3615759999999959,0.7328920000000068,0.09856500000000068,5,4,2,0,1,0.0026970000000048344,0.1941670000000002,UNSAT,0.19740300000000133,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.3615759999999959,0.7328920000000068,0.09856500000000068,5,4,2,1,1,0.0033530000000006055,0.2041759999999968,UNSAT,0.2076740000000008,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.3615759999999959,0.7328920000000068,0.09856500000000068,5,4,2,2,1,0.003230999999995987,0.2115509999999965,SAT,0.21491999999999933,0.16546299999999903,0.2102669999999982,verilog/gen_iter9_model0.v,3,22.5264,0.0,0.0,True
10,4,verilog/gen_iter9_model0.v,0.3489360000000019,2.568674999999999,0.0816119999999998,10,5,3,0,1,0.0022880000000000678,0.21180900000000236,UNSAT,0.2145099999999971,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.3489360000000019,2.568674999999999,0.0816119999999998,10,5,3,1,1,0.002067000000000263,0.244606000000001,UNSAT,0.2467889999999997,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.3489360000000019,2.568674999999999,0.0816119999999998,10,5,3,2,1,0.0046169999999960964,0.252050999999998,UNSAT,0.25679500000000033,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.3489360000000019,2.568674999999999,0.0816119999999998,10,5,3,1,2,0.005555000000001087,0.4175690000000003,UNSAT,0.4232830000000014,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.3489360000000019,2.568674999999999,0.0816119999999998,10,5,3,2,2,0.005496999999998309,0.5600369999999977,SAT,0.5656859999999995,0.19928900000000027,0.20245599999999797,verilog/gen_iter10_model0.v,4,22.5264,0.0,0.0,True
11,4,verilog/gen_iter10_model0.v,0.3402730000000034,2.5927039999999977,0.12298199999999326,10,5,3,0,1,0.003824999999999079,0.2134850000000057,UNSAT,0.21790700000000385,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.3402730000000034,2.5927039999999977,0.12298199999999326,10,5,3,1,1,0.0038209999999949673,0.24373800000000045,UNSAT,0.2477000000000018,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.3402730000000034,2.5927039999999977,0.12298199999999326,10,5,3,2,1,0.004151000000007343,0.28288200000000074,UNSAT,0.2871780000000044,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.3402730000000034,2.5927039999999977,0.12298199999999326,10,5,3,1,2,0.006430999999992082,0.41108000000000544,UNSAT,0.41765099999999933,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.3402730000000034,2.5927039999999977,0.12298199999999326,10,5,3,2,2,0.006292999999999438,0.6009889999999984,SAT,0.6074470000000005,0.18909599999999926,0.21719699999999875,verilog/gen_iter11_model0.v,3,22.5264,0.0,0.0,True
12,4,verilog/gen_iter11_model0.v,0.3505970000000005,2.7750580000000014,0.13263999999999498,10,5,3,0,1,0.0035240000000058558,0.22538300000000078,UNSAT,0.22954600000000625,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.3505970000000005,2.7750580000000014,0.13263999999999498,10,5,3,1,1,0.003951000000000704,0.2748669999999933,UNSAT,0.2789760000000001,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.3505970000000005,2.7750580000000014,0.13263999999999498,10,5,3,2,1,0.00482900000000086,0.27687600000000145,UNSAT,0.28186200000000383,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.3505970000000005,2.7750580000000014,0.13263999999999498,10,5,3,1,2,0.007670999999994876,0.40239800000000514,UNSAT,0.4102150000000009,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.3505970000000005,2.7750580000000014,0.13263999999999498,10,5,3,2,2,0.005772999999997808,0.4580660000000023,SAT,0.4640150000000034,0.1958970000000022,0.21036699999999087,verilog/gen_iter12_model0.v,4,22.5264,0.0,0.0,True
13,5,verilog/gen_iter12_model0.v,0.3539169999999956,2.583565000000007,0.07760399999999379,10,5,3,0,1,0.001984000000000208,0.21499899999999883,UNSAT,0.2173439999999971,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.3539169999999956,2.583565000000007,0.07760399999999379,10,5,3,1,1,0.0029520000000005098,0.2760899999999964,UNSAT,0.27913600000000116,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.3539169999999956,2.583565000000007,0.07760399999999379,10,5,3,2,1,0.003779000000001531,0.28869500000000414,UNSAT,0.2926100000000105,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.3539169999999956,2.583565000000007,0.07760399999999379,10,5,3,1,2,0.005623999999983198,0.461693000000011,UNSAT,0.4674570000000031,,,,,,,,
