iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.33845499999999995,2.0896850000000002,0.09291699999999992,5,3,1,0,1,0.0023209999999997954,0.1923180000000002,SAT,0.19520000000000026,0.16475300000000015,0.19657200000000064,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.3296419999999989,0.6496380000000013,0.23291599999999946,6,7,6,0,1,0.004197999999998814,0.3107030000000002,UNSAT,0.31535200000000074,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.3296419999999989,0.6496380000000013,0.23291599999999946,6,7,6,1,1,0.004348999999999492,0.3161739999999993,SAT,0.3206130000000007,0.17585299999999915,0.20298300000000058,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.37300100000000036,0.5974379999999995,0.24367699999999992,4,6,4,0,1,0.0031100000000012784,0.2351649999999994,UNSAT,0.23867699999999914,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.37300100000000036,0.5974379999999995,0.24367699999999992,4,6,4,1,1,0.003819000000000017,0.2318940000000005,UNSAT,0.23580999999999896,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.37300100000000036,0.5974379999999995,0.24367699999999992,4,6,4,2,1,0.0027970000000010486,0.2513210000000008,SAT,0.2542220000000004,0.16892800000000108,0.21232099999999932,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.3410290000000007,2.5510209999999987,0.1704049999999988,6,5,2,0,1,0.003297999999999135,0.20382500000000192,UNSAT,0.2077510000000018,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.3410290000000007,2.5510209999999987,0.1704049999999988,6,5,2,1,1,0.0035980000000019885,0.23041999999999874,UNSAT,0.234138999999999,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.3410290000000007,2.5510209999999987,0.1704049999999988,6,5,2,2,1,0.0034880000000008238,0.3827309999999997,SAT,0.3863639999999986,0.18116199999999694,0.20656299999999916,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.344672000000001,0.9565559999999991,0.15620799999999946,6,4,3,0,1,0.004438999999999638,0.2205919999999999,UNSAT,0.22562399999999805,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.344672000000001,0.9565559999999991,0.15620799999999946,6,4,3,1,1,0.004540000000002209,0.21880999999999773,UNSAT,0.22346800000000044,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.344672000000001,0.9565559999999991,0.15620799999999946,6,4,3,2,1,0.004143000000000896,0.24957100000000132,UNSAT,0.25389700000000026,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.344672000000001,0.9565559999999991,0.15620799999999946,6,4,3,1,2,0.005721999999998673,0.3615099999999991,SAT,0.36736999999999753,0.18255100000000013,0.22303700000000148,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.3644199999999991,0.7649869999999979,0.15257800000000188,5,3,2,0,1,0.0032169999999958065,0.18869300000000067,UNSAT,0.19252499999999984,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3644199999999991,0.7649869999999979,0.15257800000000188,5,3,2,1,1,0.0031730000000003145,0.21826799999999835,UNSAT,0.22158100000000047,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3644199999999991,0.7649869999999979,0.15257800000000188,5,3,2,2,1,0.0036850000000008265,0.2112829999999981,UNSAT,0.215174999999995,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.3644199999999991,0.7649869999999979,0.15257800000000188,5,3,2,1,2,0.0041440000000037,0.2418440000000004,SAT,0.24615200000000215,0.17505600000000143,0.21810600000000235,verilog/gen_iter6_model0.v,2,32.851,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.38158300000000267,0.7619759999999971,0.15301999999999794,5,4,2,0,1,0.0030929999999997904,0.17810599999999965,UNSAT,0.18175800000000208,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.38158300000000267,0.7619759999999971,0.15301999999999794,5,4,2,1,1,0.004043000000002905,0.19244699999999781,UNSAT,0.19661000000000328,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.38158300000000267,0.7619759999999971,0.15301999999999794,5,4,2,2,1,0.0032800000000001717,0.2139640000000007,UNSAT,0.21739499999999978,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.38158300000000267,0.7619759999999971,0.15301999999999794,5,4,2,1,2,0.005702999999996905,0.2939720000000037,UNSAT,0.2998109999999983,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.38158300000000267,0.7619759999999971,0.15301999999999794,5,4,2,2,2,0.006210000000002935,0.3125969999999967,SAT,0.31901100000000326,0.18303399999999925,0.20537300000000158,verilog/gen_iter7_model0.v,3,32.851,0.0,0.0,True
8,3,verilog/gen_iter7_model0.v,0.3571220000000004,0.7836199999999991,0.16140100000000146,5,6,3,0,1,0.004310999999997733,0.2955380000000005,UNSAT,0.300415000000001,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.3571220000000004,0.7836199999999991,0.16140100000000146,5,6,3,1,1,0.004926000000001096,0.23677900000000207,UNSAT,0.24197200000000052,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.3571220000000004,0.7836199999999991,0.16140100000000146,5,6,3,2,1,0.004484999999998962,0.3086490000000026,SAT,0.3132690000000018,0.17883500000000652,0.21079599999999488,verilog/gen_iter8_model0.v,3,25.3422,0.0,0.0,True
9,3,verilog/gen_iter8_model0.v,0.35625299999999527,0.8091360000000023,0.09554899999999833,5,4,2,0,1,0.0026589999999977465,0.18945699999999732,UNSAT,0.1926309999999951,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.35625299999999527,0.8091360000000023,0.09554899999999833,5,4,2,1,1,0.003461999999998966,0.20013400000000203,UNSAT,0.20375800000000766,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.35625299999999527,0.8091360000000023,0.09554899999999833,5,4,2,2,1,0.003340000000001453,0.21188899999999578,SAT,0.2153769999999966,0.16268200000000022,0.19974100000000305,verilog/gen_iter9_model0.v,3,22.5264,0.0,0.0,True
10,4,verilog/gen_iter9_model0.v,0.333986000000003,2.4189190000000025,0.1277600000000021,10,5,3,0,1,0.0034250000000000114,0.21694700000000466,UNSAT,0.22095900000000057,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.333986000000003,2.4189190000000025,0.1277600000000021,10,5,3,1,1,0.0038180000000025416,0.2413109999999996,UNSAT,0.24526699999999835,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.333986000000003,2.4189190000000025,0.1277600000000021,10,5,3,2,1,0.0046989999999986765,0.2558019999999992,UNSAT,0.26062999999999903,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.333986000000003,2.4189190000000025,0.1277600000000021,10,5,3,1,2,0.0053420000000024,0.4050940000000054,UNSAT,0.41059100000000015,,,,,,,,
