iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,2,verilog/current.v,0.551132,1.2651919999999999,9.915965000000002,0,0,0,,,,,,,,,,,,,,
2,4,verilog/current.v,0.5518769999999975,1.298916000000002,9.911874000000001,0,0,0,,,,,,,,,,,,,,
3,6,verilog/current.v,0.5921420000000026,1.4424789999999987,9.867895,0,0,0,,,,,,,,,,,,,,
4,8,verilog/current.v,0.5274430000000052,10.193552999999994,4.596701999999993,5,3,1,0,1,0.00665300000000002,0.509352000000014,SAT,0.5177110000000127,0.299599999999991,0.28843200000000024,verilog/gen_iter4_model0.v,8,136.5663,0.0,0.0,True
5,8,verilog/gen_iter4_model0.v,0.5967910000000032,1.4982570000000095,4.345630999999997,8,5,3,0,1,0.00650100000000009,0.5475329999999943,UNSAT,0.5554159999999939,,,,,,,,
5,8,verilog/gen_iter4_model0.v,0.5967910000000032,1.4982570000000095,4.345630999999997,8,5,3,1,1,0.007233000000006484,0.678910000000009,UNSAT,0.6862970000000033,,,,,,,,
5,8,verilog/gen_iter4_model0.v,0.5967910000000032,1.4982570000000095,4.345630999999997,8,5,3,2,1,0.007543999999995776,0.6158229999999989,UNSAT,0.6235110000000006,,,,,,,,
5,8,verilog/gen_iter4_model0.v,0.5967910000000032,1.4982570000000095,4.345630999999997,8,5,3,1,2,0.009280000000003952,1.2197780000000051,SAT,1.2292170000000056,0.22788599999999803,0.2285969999999935,verilog/gen_iter5_model0.v,8,140.79,0.0,0.0,True
6,8,verilog/gen_iter5_model0.v,0.49459600000000137,1.3171220000000048,2.120383000000004,5,5,3,0,1,0.0035709999999795627,0.5344100000000083,UNSAT,0.5386840000000035,,,,,,,,
6,8,verilog/gen_iter5_model0.v,0.49459600000000137,1.3171220000000048,2.120383000000004,5,5,3,1,1,0.004007999999998901,0.5575060000000178,UNSAT,0.5616179999999957,,,,,,,,
6,8,verilog/gen_iter5_model0.v,0.49459600000000137,1.3171220000000048,2.120383000000004,5,5,3,2,1,0.00372600000000034,0.6848549999999989,UNSAT,0.6886929999999865,,,,,,,,
6,8,verilog/gen_iter5_model0.v,0.49459600000000137,1.3171220000000048,2.120383000000004,5,5,3,1,2,0.010356000000001586,0.7699829999999821,UNSAT,0.7805330000000055,,,,,,,,
6,8,verilog/gen_iter5_model0.v,0.49459600000000137,1.3171220000000048,2.120383000000004,5,5,3,2,2,0.008596999999994637,0.9137650000000122,UNSAT,0.9225390000000004,,,,,,,,
7,10,verilog/gen_iter5_model0.v,0.4901440000000008,1.3235489999999999,3.9972519999999747,5,5,3,,,,,,,,,,,,,,
8,12,verilog/gen_iter5_model0.v,0.5452360000000169,1.3339809999999943,4.011358000000001,5,5,3,,,,,,,,,,,,,,
9,14,verilog/gen_iter5_model0.v,0.5378840000000054,1.3178419999999846,4.067900999999992,5,5,3,,,,,,,,,,,,,,
10,16,verilog/gen_iter5_model0.v,0.5376970000000085,13.026212000000001,4.077181999999993,7,5,2,0,1,0.005656999999999357,0.5163400000000138,UNSAT,0.5233170000000058,,,,,,,,
10,16,verilog/gen_iter5_model0.v,0.5376970000000085,13.026212000000001,4.077181999999993,7,5,2,1,1,0.006288000000012062,0.5626080000000258,UNSAT,0.5690220000000039,,,,,,,,
10,16,verilog/gen_iter5_model0.v,0.5376970000000085,13.026212000000001,4.077181999999993,7,5,2,2,1,0.006279000000006363,0.6762069999999767,UNSAT,0.6826239999999757,,,,,,,,
10,16,verilog/gen_iter5_model0.v,0.5376970000000085,13.026212000000001,4.077181999999993,7,5,2,1,2,0.00743899999999087,0.7433280000000195,UNSAT,0.7509130000000255,,,,,,,,
10,16,verilog/gen_iter5_model0.v,0.5376970000000085,13.026212000000001,4.077181999999993,7,5,2,2,2,0.007418999999998732,1.2882450000000034,SAT,1.2958150000000046,0.27552799999998,0.29374100000001135,verilog/gen_iter10_model0.v,8,140.79,0.0,0.0,True
