iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,2,verilog/current.v,1.062975,5.399884999999999,11.169398999999999,6,6,6,0,1,0.014749999999999375,1.1189520000000002,UNSAT,1.1375769999999967,,,,,,,,
1,2,verilog/current.v,1.062975,5.399884999999999,11.169398999999999,6,6,6,1,1,0.015182999999996838,1.392240000000001,UNSAT,1.4075750000000014,,,,,,,,
1,2,verilog/current.v,1.062975,5.399884999999999,11.169398999999999,6,6,6,2,1,0.008581999999996981,4.989342999999998,SAT,4.998033000000003,0.5414330000000014,0.5429309999999994,verilog/gen_iter1_model0.v,2,368.4005,0.0,0.0,True
2,2,verilog/gen_iter1_model0.v,1.0862459999999992,2.7822230000000054,13.743944999999997,8,7,7,0,1,0.015475999999992496,1.1543810000000008,UNSAT,1.1728849999999937,,,,,,,,
2,2,verilog/gen_iter1_model0.v,1.0862459999999992,2.7822230000000054,13.743944999999997,8,7,7,1,1,0.016542000000001167,1.3850989999999967,UNSAT,1.4017940000000024,,,,,,,,
2,2,verilog/gen_iter1_model0.v,1.0862459999999992,2.7822230000000054,13.743944999999997,8,7,7,2,1,0.016555999999994242,1.8413370000000029,SAT,1.858107000000004,0.5831209999999984,0.8324249999999935,verilog/gen_iter2_model0.v,2,354.7908,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,0.9796649999999971,1.9777330000000006,19.370589000000017,7,9,7,0,1,0.01604199999999878,1.2378619999999927,UNSAT,1.2568159999999864,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.9796649999999971,1.9777330000000006,19.370589000000017,7,9,7,1,1,0.03832400000000291,1.3040539999999936,UNSAT,1.342534999999998,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.9796649999999971,1.9777330000000006,19.370589000000017,7,9,7,2,1,0.017872999999994477,2.907972000000001,SAT,2.926079999999999,0.5643550000000062,0.6516970000000128,verilog/gen_iter3_model0.v,2,363.2382,0.0,0.0,True
4,4,verilog/gen_iter3_model0.v,1.0801139999999947,17.223034,16.796761000000004,8,10,6,0,1,0.01677999999999713,1.2070959999999928,UNSAT,1.2268439999999856,,,,,,,,
