iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,8,verilog/current.v,0.9646060000000001,57.945953,14.751365,7,6,2,0,1,0.01176199999999028,1.1240260000000148,UNSAT,1.1388510000000025,,,,,,,,
1,8,verilog/current.v,0.9646060000000001,57.945953,14.751365,7,6,2,1,1,0.011664999999979386,1.1182420000000093,UNSAT,1.130036000000004,,,,,,,,
1,8,verilog/current.v,0.9646060000000001,57.945953,14.751365,7,6,2,2,1,0.012480999999979758,1.1644779999999884,UNSAT,1.1771269999999987,,,,,,,,
1,8,verilog/current.v,0.9646060000000001,57.945953,14.751365,7,6,2,1,2,0.01390299999999911,1.2003710000000183,UNSAT,1.2144110000000126,,,,,,,,
1,8,verilog/current.v,0.9646060000000001,57.945953,14.751365,7,6,2,2,2,0.013716999999999757,1.5781180000000035,SAT,1.5920250000000067,0.5592060000000032,0.5242539999999991,verilog/gen_iter1_model0.v,2,378.7251,0.0,0.0,True
2,8,verilog/gen_iter1_model0.v,1.0879230000000035,91.20577500000002,15.093972000000008,12,8,2,0,1,0.011800000000022237,1.0063309999999888,UNSAT,1.0210510000000284,,,,,,,,
2,8,verilog/gen_iter1_model0.v,1.0879230000000035,91.20577500000002,15.093972000000008,12,8,2,1,1,0.012571000000036747,1.1411239999999907,UNSAT,1.1538419999999974,,,,,,,,
2,8,verilog/gen_iter1_model0.v,1.0879230000000035,91.20577500000002,15.093972000000008,12,8,2,2,1,0.012767000000025064,1.2782699999999636,UNSAT,1.291183999999987,,,,,,,,
2,8,verilog/gen_iter1_model0.v,1.0879230000000035,91.20577500000002,15.093972000000008,12,8,2,1,2,0.014491999999989957,1.2586589999999944,UNSAT,1.2733040000000244,,,,,,,,
2,8,verilog/gen_iter1_model0.v,1.0879230000000035,91.20577500000002,15.093972000000008,12,8,2,2,2,0.014741999999984046,2.1830679999999916,UNSAT,2.1979639999999847,,,,,,,,
3,16,verilog/gen_iter1_model0.v,1.040680000000009,107.04067899999995,5.236649999999997,5,3,1,0,1,0.005714000000011765,0.999023999999963,UNSAT,1.006219999999928,,,,,,,,
3,16,verilog/gen_iter1_model0.v,1.040680000000009,107.04067899999995,5.236649999999997,5,3,1,1,1,0.006728000000009615,1.0135360000000446,UNSAT,1.0203769999999963,,,,,,,,
3,16,verilog/gen_iter1_model0.v,1.040680000000009,107.04067899999995,5.236649999999997,5,3,1,2,1,0.006276999999954569,1.0113269999999375,UNSAT,1.0177059999999756,,,,,,,,
3,16,verilog/gen_iter1_model0.v,1.040680000000009,107.04067899999995,5.236649999999997,5,3,1,1,2,0.022790999999983796,1.0707100000000764,UNSAT,1.0935719999999947,,,,,,,,
3,16,verilog/gen_iter1_model0.v,1.040680000000009,107.04067899999995,5.236649999999997,5,3,1,2,2,0.006575999999995474,1.382652999999948,SAT,1.3893289999999752,0.5421229999999468,0.5226279999999974,verilog/gen_iter3_model0.v,3,368.8698,0.0,0.0,True
4,16,verilog/gen_iter3_model0.v,1.0033169999999814,105.55854499999998,9.763997000000018,5,3,1,0,1,0.010378000000059728,1.0257379999999898,UNSAT,1.0389509999999973,,,,,,,,
4,16,verilog/gen_iter3_model0.v,1.0033169999999814,105.55854499999998,9.763997000000018,5,3,1,1,1,0.011922000000026856,0.9920840000000908,UNSAT,1.0041570000000775,,,,,,,,
4,16,verilog/gen_iter3_model0.v,1.0033169999999814,105.55854499999998,9.763997000000018,5,3,1,2,1,0.011257999999997992,0.9751270000000432,UNSAT,0.9865380000000528,,,,,,,,
4,16,verilog/gen_iter3_model0.v,1.0033169999999814,105.55854499999998,9.763997000000018,5,3,1,1,2,0.012070999999991727,1.0587840000000028,UNSAT,1.070978000000025,,,,,,,,
4,16,verilog/gen_iter3_model0.v,1.0033169999999814,105.55854499999998,9.763997000000018,5,3,1,2,2,0.012123999999914759,1.242699000000016,SAT,1.2549659999999676,0.5697709999999461,0.6425800000000663,verilog/gen_iter4_model0.v,2,370.2777,0.0,0.0,True
5,16,verilog/gen_iter4_model0.v,0.9858780000000138,104.889295,9.74484700000005,5,3,1,0,1,0.011164000000007945,0.9702800000001162,UNSAT,0.9843789999999899,,,,,,,,
5,16,verilog/gen_iter4_model0.v,0.9858780000000138,104.889295,9.74484700000005,5,3,1,1,1,0.012083999999958905,1.10378999999989,UNSAT,1.1160330000000158,,,,,,,,
5,16,verilog/gen_iter4_model0.v,0.9858780000000138,104.889295,9.74484700000005,5,3,1,2,1,0.011999999999943611,1.0440019999999777,UNSAT,1.0561460000000125,,,,,,,,
5,16,verilog/gen_iter4_model0.v,0.9858780000000138,104.889295,9.74484700000005,5,3,1,1,2,0.012012000000027001,1.10621900000001,UNSAT,1.1183780000001207,,,,,,,,
5,16,verilog/gen_iter4_model0.v,0.9858780000000138,104.889295,9.74484700000005,5,3,1,2,2,0.01160000000004402,1.335149000000115,SAT,1.346907999999985,0.5450379999999768,0.6101170000000593,verilog/gen_iter5_model0.v,3,368.8698,0.0,0.0,True
6,24,verilog/gen_iter5_model0.v,1.0096090000000686,105.30468000000008,9.835972999999967,5,3,1,0,1,0.010784000000057858,1.0840109999999186,UNSAT,1.0977770000000646,,,,,,,,
6,24,verilog/gen_iter5_model0.v,1.0096090000000686,105.30468000000008,9.835972999999967,5,3,1,1,1,0.010909000000083324,1.070765999999935,UNSAT,1.0818199999998797,,,,,,,,
6,24,verilog/gen_iter5_model0.v,1.0096090000000686,105.30468000000008,9.835972999999967,5,3,1,2,1,0.011680000000069413,1.0971250000000055,UNSAT,1.1089460000001736,,,,,,,,
6,24,verilog/gen_iter5_model0.v,1.0096090000000686,105.30468000000008,9.835972999999967,5,3,1,1,2,0.011627000000089538,1.7521899999999277,UNSAT,1.7639529999999013,,,,,,,,
6,24,verilog/gen_iter5_model0.v,1.0096090000000686,105.30468000000008,9.835972999999967,5,3,1,2,2,0.012600000000020373,1.3221299999999019,SAT,1.3348869999999806,0.5747989999999845,0.628680999999915,verilog/gen_iter6_model0.v,3,370.2777,0.0,0.0,True
7,32,verilog/gen_iter6_model0.v,0.9983420000000933,143.14182300000004,14.941316000000029,9,6,2,0,1,0.01181300000007468,1.2112130000000434,SAT,1.226301000000035,0.562526000000048,0.6867780000001176,verilog/gen_iter7_model0.v,6,362.7689,0.0,0.0,True
8,32,verilog/gen_iter7_model0.v,1.1022409999999354,138.208388,14.927029000000061,6,4,2,0,1,0.010939000000007582,1.0594510000001947,UNSAT,1.0733760000001666,,,,,,,,
8,32,verilog/gen_iter7_model0.v,1.1022409999999354,138.208388,14.927029000000061,6,4,2,1,1,0.012774000000263186,1.2593219999998837,UNSAT,1.2722579999999653,,,,,,,,
8,32,verilog/gen_iter7_model0.v,1.1022409999999354,138.208388,14.927029000000061,6,4,2,2,1,0.013945999999918968,1.2303450000000566,UNSAT,1.2444570000000112,,,,,,,,
8,32,verilog/gen_iter7_model0.v,1.1022409999999354,138.208388,14.927029000000061,6,4,2,1,2,0.01334400000007463,1.1974589999999807,UNSAT,1.2109560000000101,,,,,,,,
8,32,verilog/gen_iter7_model0.v,1.1022409999999354,138.208388,14.927029000000061,6,4,2,2,2,0.013015999999993255,2.009138000000007,SAT,2.0222960000000967,0.5771780000000035,0.5099079999999958,verilog/gen_iter8_model0.v,6,366.5233,0.0,0.0,True
9,40,verilog/gen_iter8_model0.v,0.8808330000000524,138.32030199999997,14.869595000000118,7,5,2,0,1,0.011282999999821186,1.0943610000001627,UNSAT,1.1086250000000746,,,,,,,,
9,40,verilog/gen_iter8_model0.v,0.8808330000000524,138.32030199999997,14.869595000000118,7,5,2,1,1,0.012798999999859006,1.1089249999999993,UNSAT,1.1218790000000354,,,,,,,,
9,40,verilog/gen_iter8_model0.v,0.8808330000000524,138.32030199999997,14.869595000000118,7,5,2,2,1,0.012259999999969295,1.2316689999997834,UNSAT,1.244110999999748,,,,,,,,
9,40,verilog/gen_iter8_model0.v,0.8808330000000524,138.32030199999997,14.869595000000118,7,5,2,1,2,0.013642999999774474,1.205871000000343,UNSAT,1.2196660000001884,,,,,,,,
9,40,verilog/gen_iter8_model0.v,0.8808330000000524,138.32030199999997,14.869595000000118,7,5,2,2,2,0.01357800000005227,1.8699369999999362,SAT,1.8836839999999029,0.5459180000000288,0.49503299999969386,verilog/gen_iter9_model0.v,6,361.8303,0.0,0.0,True
10,48,verilog/gen_iter9_model0.v,1.1038539999999557,139.63297699999998,9.851744000000053,9,6,1,0,1,0.011219999999866559,1.224751999999853,SAT,1.2389160000000174,0.4298229999999421,0.42363000000000284,verilog/gen_iter10_model0.v,16,347.282,0.0,0.0,True
11,48,verilog/gen_iter10_model0.v,0.9780350000003182,130.25210199999992,30.27695700000004,12,8,2,0,1,0.012005000000272048,1.128586999999925,UNSAT,1.1437570000000505,,,,,,,,
11,48,verilog/gen_iter10_model0.v,0.9780350000003182,130.25210199999992,30.27695700000004,12,8,2,1,1,0.012744000000111555,1.3199779999997645,UNSAT,1.3328890000000229,,,,,,,,
11,48,verilog/gen_iter10_model0.v,0.9780350000003182,130.25210199999992,30.27695700000004,12,8,2,2,1,0.012554000000363885,1.3312720000001264,UNSAT,1.3439800000001014,,,,,,,,
11,48,verilog/gen_iter10_model0.v,0.9780350000003182,130.25210199999992,30.27695700000004,12,8,2,1,2,0.014470000000073924,1.5353379999996832,UNSAT,1.549996999999621,,,,,,,,
11,48,verilog/gen_iter10_model0.v,0.9780350000003182,130.25210199999992,30.27695700000004,12,8,2,2,2,0.014639000000215674,2.2640720000001693,UNSAT,2.2789040000002387,,,,,,,,
12,56,verilog/gen_iter10_model0.v,1.0986940000000232,131.59857600000032,31.115230999999994,12,8,2,,,,,,,,,,,,,,
13,64,verilog/gen_iter10_model0.v,0.99808400000029,159.2137899999998,20.981583,10,7,2,0,1,0.011412999999947715,1.0940269999996417,UNSAT,1.1083209999999326,,,,,,,,
13,64,verilog/gen_iter10_model0.v,0.99808400000029,159.2137899999998,20.981583,10,7,2,1,1,0.013875000000325599,1.127545000000282,UNSAT,1.1415980000001582,,,,,,,,
13,64,verilog/gen_iter10_model0.v,0.99808400000029,159.2137899999998,20.981583,10,7,2,2,1,0.03896600000007311,1.1018010000000231,UNSAT,1.1408999999998741,,,,,,,,
13,64,verilog/gen_iter10_model0.v,0.99808400000029,159.2137899999998,20.981583,10,7,2,1,2,0.013869999999997162,1.424380000000383,UNSAT,1.4384070000003248,,,,,,,,
13,64,verilog/gen_iter10_model0.v,0.99808400000029,159.2137899999998,20.981583,10,7,2,2,2,0.014456999999765685,1.5597729999999501,UNSAT,1.5744029999998475,,,,,,,,
