iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,2,verilog/current.v,0.7833389999999998,1.4620620000000004,18.623895,0,0,0,,,,,,,,,,,,,,
2,4,verilog/current.v,0.6987050000000004,1.7393980000000013,18.564263,0,0,0,,,,,,,,,,,,,,
3,6,verilog/current.v,0.7073159999999987,1.7784490000000162,18.679482999999998,0,0,0,,,,,,,,,,,,,,
4,8,verilog/current.v,0.6383859999999828,11.608550000000008,7.523395999999991,5,3,1,0,1,0.007472000000007029,1.0505129999999951,SAT,1.0601679999999902,0.3557169999999843,0.31568699999999694,verilog/gen_iter4_model0.v,8,224.7947,0.0,0.0,True
5,8,verilog/gen_iter4_model0.v,0.7120889999999775,2.1042560000000066,8.231304999999992,6,4,1,0,1,0.006804000000016686,0.7329020000000099,SAT,0.7415749999999974,0.27613099999997814,0.281636000000006,verilog/gen_iter5_model0.v,8,209.7771,0.0,0.0,True
6,8,verilog/gen_iter5_model0.v,0.7020319999999884,1.963641999999993,9.671633000000014,5,5,3,0,1,0.00887199999998245,0.8250239999999991,UNSAT,0.835710000000006,,,,,,,,
6,8,verilog/gen_iter5_model0.v,0.7020319999999884,1.963641999999993,9.671633000000014,5,5,3,1,1,0.008623000000000047,0.8675740000000047,UNSAT,0.8763590000000221,,,,,,,,
6,8,verilog/gen_iter5_model0.v,0.7020319999999884,1.963641999999993,9.671633000000014,5,5,3,2,1,0.009961999999973159,1.225065999999984,UNSAT,1.2351919999999978,,,,,,,,
6,8,verilog/gen_iter5_model0.v,0.7020319999999884,1.963641999999993,9.671633000000014,5,5,3,1,2,0.011472999999995181,0.9900810000000035,UNSAT,1.0017040000000037,,,,,,,,
6,8,verilog/gen_iter5_model0.v,0.7020319999999884,1.963641999999993,9.671633000000014,5,5,3,2,2,0.011097999999975627,1.8831389999999857,SAT,1.8943979999999954,0.358161999999993,0.3225800000000021,verilog/gen_iter6_model0.v,8,207.8999,0.0,0.0,True
7,10,verilog/gen_iter6_model0.v,0.7456600000000009,1.9801709999999986,9.700369999999964,6,7,3,0,1,0.008497999999974581,0.6740920000000017,UNSAT,0.6843650000000139,,,,,,,,
7,10,verilog/gen_iter6_model0.v,0.7456600000000009,1.9801709999999986,9.700369999999964,6,7,3,1,1,0.00960400000002437,0.8245109999999727,UNSAT,0.8343099999999879,,,,,,,,
