iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,2,verilog/current.v,1.0266330000000001,5.421329999999999,21.366764000000003,7,7,7,0,1,0.016740999999999673,1.2569240000000015,UNSAT,1.2769680000000037,,,,,,,,
1,2,verilog/current.v,1.0266330000000001,5.421329999999999,21.366764000000003,7,7,7,1,1,0.010018999999999778,1.6030359999999995,UNSAT,1.6131629999999966,,,,,,,,
1,2,verilog/current.v,1.0266330000000001,5.421329999999999,21.366764000000003,7,7,7,2,1,0.009355000000002889,1.6215410000000006,UNSAT,1.6310119999999984,,,,,,,,
1,2,verilog/current.v,1.0266330000000001,5.421329999999999,21.366764000000003,7,7,7,1,2,0.04693799999999726,3.6733099999999936,UNSAT,3.7203739999999996,,,,,,,,
1,2,verilog/current.v,1.0266330000000001,5.421329999999999,21.366764000000003,7,7,7,2,2,0.02213899999999569,45.951983999999996,SAT,45.974318,0.6251939999999934,1.1686129999999935,verilog/gen_iter1_model0.v,2,390.9269,0.0,0.0,True
2,2,verilog/gen_iter1_model0.v,1.1343340000000097,5.826534999999993,16.09021899999999,6,4,3,0,1,0.012792000000004577,1.6018820000000034,SAT,1.6178230000000156,0.5539209999999883,0.6969010000000111,verilog/gen_iter2_model0.v,2,381.5409,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,1.1119619999999912,1.7752499999999856,21.020533999999998,7,10,7,0,1,0.0186429999999973,1.2826819999999657,UNSAT,1.3044369999999788,,,,,,,,
3,2,verilog/gen_iter2_model0.v,1.1119619999999912,1.7752499999999856,21.020533999999998,7,10,7,1,1,0.0191040000000271,1.755472999999995,UNSAT,1.7747559999999964,,,,,,,,
3,2,verilog/gen_iter2_model0.v,1.1119619999999912,1.7752499999999856,21.020533999999998,7,10,7,2,1,0.018688999999966427,2.6203050000000303,SAT,2.639173999999997,0.5902899999999818,0.5219840000000033,verilog/gen_iter3_model0.v,2,377.7865,0.0,0.0,True
4,4,verilog/gen_iter3_model0.v,1.1164410000000373,16.460888999999952,15.799928000000023,5,5,2,0,1,0.011950999999953638,1.0684349999999938,UNSAT,1.083455999999984,,,,,,,,
4,4,verilog/gen_iter3_model0.v,1.1164410000000373,16.460888999999952,15.799928000000023,5,5,2,1,1,0.014230000000026166,1.3519419999999798,UNSAT,1.3663239999999917,,,,,,,,
4,4,verilog/gen_iter3_model0.v,1.1164410000000373,16.460888999999952,15.799928000000023,5,5,2,2,1,0.012419000000022606,2.609814,SAT,2.622394999999983,0.5520579999999882,0.925957000000011,verilog/gen_iter4_model0.v,4,381.0716,0.0,0.0,True
5,4,verilog/gen_iter4_model0.v,1.128676000000013,11.557646000000034,15.502462999999977,8,5,2,0,1,0.011728000000005068,1.0836529999999698,UNSAT,1.098417999999981,,,,,,,,
5,4,verilog/gen_iter4_model0.v,1.128676000000013,11.557646000000034,15.502462999999977,8,5,2,1,1,0.012615000000010923,1.5063240000000064,UNSAT,1.5190999999999804,,,,,,,,
5,4,verilog/gen_iter4_model0.v,1.128676000000013,11.557646000000034,15.502462999999977,8,5,2,2,1,0.007521000000025424,2.5512779999999964,UNSAT,2.5588949999999784,,,,,,,,
5,4,verilog/gen_iter4_model0.v,1.128676000000013,11.557646000000034,15.502462999999977,8,5,2,1,2,0.008171999999973423,3.2754149999999527,UNSAT,3.283694999999966,,,,,,,,
5,4,verilog/gen_iter4_model0.v,1.128676000000013,11.557646000000034,15.502462999999977,8,5,2,2,2,0.007743999999973994,4.233308000000022,SAT,4.241162000000031,0.4338779999999929,0.7472750000000303,verilog/gen_iter5_model0.v,4,376.3786,0.0,0.0,True
6,4,verilog/gen_iter5_model0.v,1.0999699999999848,8.57628200000002,15.324753999999984,5,5,2,0,1,0.011736000000041713,1.0604009999999562,UNSAT,1.0751999999999668,,,,,,,,
6,4,verilog/gen_iter5_model0.v,1.0999699999999848,8.57628200000002,15.324753999999984,5,5,2,1,1,0.03401400000001331,1.1072360000000003,UNSAT,1.1413650000000075,,,,,,,,
6,4,verilog/gen_iter5_model0.v,1.0999699999999848,8.57628200000002,15.324753999999984,5,5,2,2,1,0.012960999999990008,1.4311199999999928,UNSAT,1.4442339999999945,,,,,,,,
6,4,verilog/gen_iter5_model0.v,1.0999699999999848,8.57628200000002,15.324753999999984,5,5,2,1,2,0.013262000000025864,1.223798999999957,UNSAT,1.2372199999999793,,,,,,,,
6,4,verilog/gen_iter5_model0.v,1.0999699999999848,8.57628200000002,15.324753999999984,5,5,2,2,2,0.014104999999972279,4.891555000000011,SAT,4.905813000000023,0.4771999999999821,0.7394019999999841,verilog/gen_iter6_model0.v,4,375.9093,0.0,0.0,True
7,6,verilog/gen_iter6_model0.v,0.8631010000000288,8.188164000000029,8.084475999999995,5,5,2,0,1,0.006204000000025189,1.0149319999999875,UNSAT,1.022670000000005,,,,,,,,
7,6,verilog/gen_iter6_model0.v,0.8631010000000288,8.188164000000029,8.084475999999995,5,5,2,1,1,0.007182000000057087,1.0757899999999267,UNSAT,1.0830669999999714,,,,,,,,
7,6,verilog/gen_iter6_model0.v,0.8631010000000288,8.188164000000029,8.084475999999995,5,5,2,2,1,0.013010000000065247,1.4119620000000168,SAT,1.4251189999999951,0.5398370000000341,1.104197000000056,verilog/gen_iter7_model0.v,6,373.0935,0.0,0.0,True
8,6,verilog/gen_iter7_model0.v,1.110281999999927,2.127080000000035,15.358794999999986,5,5,2,0,1,0.01174700000001394,1.0499249999999734,UNSAT,1.0645949999999402,,,,,,,,
8,6,verilog/gen_iter7_model0.v,1.110281999999927,2.127080000000035,15.358794999999986,5,5,2,1,1,0.01273100000003069,1.053212999999971,UNSAT,1.0661000000000058,,,,,,,,
8,6,verilog/gen_iter7_model0.v,1.110281999999927,2.127080000000035,15.358794999999986,5,5,2,2,1,0.012532000000021526,1.704052000000047,UNSAT,1.7167540000000372,,,,,,,,
8,6,verilog/gen_iter7_model0.v,1.110281999999927,2.127080000000035,15.358794999999986,5,5,2,1,2,0.038530999999977666,1.1513689999999315,UNSAT,1.1900210000000015,,,,,,,,
