iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,8,verilog/current.v,0.82633,59.175073000000005,16.088176000000004,7,5,2,0,1,0.012537000000008902,1.2171209999999917,UNSAT,1.2329369999999926,,,,,,,,
1,8,verilog/current.v,0.82633,59.175073000000005,16.088176000000004,7,5,2,1,1,0.013076999999995564,1.1089740000000035,UNSAT,1.1221829999999926,,,,,,,,
1,8,verilog/current.v,0.82633,59.175073000000005,16.088176000000004,7,5,2,2,1,0.013387000000008697,1.1652820000000048,UNSAT,1.1788199999999875,,,,,,,,
1,8,verilog/current.v,0.82633,59.175073000000005,16.088176000000004,7,5,2,1,2,0.014720999999994433,1.6239669999999933,SAT,1.6388759999999962,0.5546319999999838,0.4723900000000185,verilog/gen_iter1_model0.v,8,387.1725,0.0,0.0,True
2,8,verilog/gen_iter1_model0.v,0.9782059999999859,33.29473200000001,15.411677999999995,9,6,2,0,1,0.011883000000011634,1.6672590000000298,SAT,1.6822530000000029,0.5452999999999975,0.5624729999999829,verilog/gen_iter2_model0.v,8,368.4005,0.0,0.0,True
3,8,verilog/gen_iter2_model0.v,1.1043810000000178,27.469846000000018,14.857467999999983,5,4,2,0,1,0.011476000000016029,1.0166210000000149,UNSAT,1.03110700000002,,,,,,,,
3,8,verilog/gen_iter2_model0.v,1.1043810000000178,27.469846000000018,14.857467999999983,5,4,2,1,1,0.012649000000010346,1.0496320000000026,UNSAT,1.0624290000000087,,,,,,,,
3,8,verilog/gen_iter2_model0.v,1.1043810000000178,27.469846000000018,14.857467999999983,5,4,2,2,1,0.012685000000033142,1.066359000000034,UNSAT,1.0792179999999973,,,,,,,,
3,8,verilog/gen_iter2_model0.v,1.1043810000000178,27.469846000000018,14.857467999999983,5,4,2,1,2,0.006732999999996991,1.0992139999999608,UNSAT,1.1060569999999643,,,,,,,,
3,8,verilog/gen_iter2_model0.v,1.1043810000000178,27.469846000000018,14.857467999999983,5,4,2,2,2,0.013952000000017506,2.440450999999996,SAT,2.4545570000000225,0.549806000000018,0.8095139999999788,verilog/gen_iter3_model0.v,8,372.6242,0.0,0.0,True
4,16,verilog/gen_iter3_model0.v,0.9770150000000228,85.73473799999996,16.424024999999972,18,9,2,0,1,0.012022000000001754,1.1142170000000533,UNSAT,1.129335000000026,,,,,,,,
