iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.423303,2.8489299999999993,0.07597999999999949,5,3,1,0,1,0.0026999999999999247,0.1835369999999994,SAT,0.18684600000000007,0.2223739999999994,0.2226410000000003,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.4214450000000003,0.7043880000000007,0.4161979999999996,6,7,6,0,1,0.006817999999999991,0.36022399999999966,UNSAT,0.36767900000000076,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.4214450000000003,0.7043880000000007,0.4161979999999996,6,7,6,1,1,0.008388000000000062,0.36873300000000064,SAT,0.3772479999999998,0.21988699999999817,0.2333770000000026,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.4067699999999981,0.7216889999999978,0.44802300000000095,4,6,4,0,1,0.004827999999999832,0.24631000000000114,UNSAT,0.2517200000000006,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.4067699999999981,0.7216889999999978,0.44802300000000095,4,6,4,1,1,0.005995999999997892,0.4419140000000006,UNSAT,0.4480339999999998,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.4067699999999981,0.7216889999999978,0.44802300000000095,4,6,4,2,1,0.006103000000001302,0.2688190000000006,SAT,0.2751139999999985,0.2216869999999993,0.23989100000000008,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.417152999999999,3.1126140000000007,0.09724100000000035,6,5,2,0,1,0.0020050000000004786,0.23941599999999852,UNSAT,0.2418200000000006,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.417152999999999,3.1126140000000007,0.09724100000000035,6,5,2,1,1,0.002221999999999724,0.20628900000000172,UNSAT,0.20860000000000056,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.417152999999999,3.1126140000000007,0.09724100000000035,6,5,2,2,1,0.002408999999996553,0.2596950000000007,SAT,0.26221400000000017,0.18255600000000172,0.20910399999999996,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.3700340000000004,1.1177680000000016,0.15858400000000117,6,4,3,0,1,0.0037670000000034065,0.22443600000000075,UNSAT,0.22880500000000126,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.3700340000000004,1.1177680000000016,0.15858400000000117,6,4,3,1,1,0.004020000000000579,0.2480329999999995,UNSAT,0.2521829999999987,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.3700340000000004,1.1177680000000016,0.15858400000000117,6,4,3,2,1,0.0040629999999985955,0.2524150000000027,UNSAT,0.25666999999999973,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.3700340000000004,1.1177680000000016,0.15858400000000117,6,4,3,1,2,0.006573000000003049,0.36806600000000245,SAT,0.37480099999999794,0.19497000000000142,0.20791600000000088,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.40376699999999843,0.9652019999999979,0.15828899999999635,5,3,2,0,1,0.004281999999996344,0.20417600000000036,UNSAT,0.20916499999999516,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.40376699999999843,0.9652019999999979,0.15828899999999635,5,3,2,1,1,0.003921999999995762,0.20587300000000042,UNSAT,0.20990700000000473,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.40376699999999843,0.9652019999999979,0.15828899999999635,5,3,2,2,1,0.003348000000002571,0.20981300000000047,UNSAT,0.21328399999999803,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.40376699999999843,0.9652019999999979,0.15828899999999635,5,3,2,1,2,0.005023999999998807,0.2725740000000023,SAT,0.2777320000000003,0.20618100000000084,0.22498600000000124,verilog/gen_iter6_model0.v,2,32.851,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.40497900000000087,0.8769910000000003,0.19735699999999667,5,4,2,0,1,0.002955999999997516,0.19821100000000058,UNSAT,0.20171200000000056,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.40497900000000087,0.8769910000000003,0.19735699999999667,5,4,2,1,1,0.00342200000000048,0.23640599999999523,UNSAT,0.23996500000000154,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.40497900000000087,0.8769910000000003,0.19735699999999667,5,4,2,2,1,0.00364399999999776,0.22398600000000357,UNSAT,0.22775999999999996,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.40497900000000087,0.8769910000000003,0.19735699999999667,5,4,2,1,2,0.005307000000001949,0.2981499999999997,UNSAT,0.3035870000000003,,,,,,,,
