iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.41503100000000015,2.749418,0.1520590000000004,5,3,1,0,1,0.003405999999999132,0.19516999999999918,SAT,0.1993589999999994,0.19362499999999994,0.2017989999999985,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.37837500000000013,0.7379290000000012,0.42992199999999947,6,7,6,0,1,0.0067950000000003286,0.30797199999999947,UNSAT,0.3154199999999987,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.37837500000000013,0.7379290000000012,0.42992199999999947,6,7,6,1,1,0.007995000000000196,0.3647740000000006,SAT,0.3729130000000005,0.20816199999999885,0.23798799999999964,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.42563300000000126,0.7203999999999997,0.44672400000000145,4,6,4,0,1,0.004592000000000596,0.24325600000000058,UNSAT,0.24843500000000063,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.42563300000000126,0.7203999999999997,0.44672400000000145,4,6,4,1,1,0.00696600000000025,0.2704620000000002,UNSAT,0.2775579999999991,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.42563300000000126,0.7203999999999997,0.44672400000000145,4,6,4,2,1,0.005990999999998081,0.2741309999999988,SAT,0.28025899999999915,0.19696300000000022,0.21718300000000212,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.39682700000000004,3.0034039999999997,0.19667800000000035,6,5,2,0,1,0.0058920000000011186,0.21468999999999916,UNSAT,0.22136899999999926,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.39682700000000004,3.0034039999999997,0.19667800000000035,6,5,2,1,1,0.0035479999999985523,0.2308899999999987,UNSAT,0.2345739999999985,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.39682700000000004,3.0034039999999997,0.19667800000000035,6,5,2,2,1,0.004188000000000969,0.2605360000000001,SAT,0.26490900000000117,0.21444500000000133,0.22136800000000179,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.4179239999999993,1.1050949999999986,0.0861189999999965,6,4,3,0,1,0.0019700000000000273,0.21405999999999992,UNSAT,0.21633999999999887,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.4179239999999993,1.1050949999999986,0.0861189999999965,6,4,3,1,1,0.002499000000000251,0.22622799999999899,UNSAT,0.22883700000000218,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.4179239999999993,1.1050949999999986,0.0861189999999965,6,4,3,2,1,0.0021900000000023567,0.2506529999999998,UNSAT,0.252953999999999,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.4179239999999993,1.1050949999999986,0.0861189999999965,6,4,3,1,2,0.0033230000000017412,0.5712689999999974,SAT,0.5746789999999997,0.1808530000000026,0.21650399999999692,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.39304300000000225,0.965954,0.16598700000000122,5,3,2,0,1,0.004085999999993817,0.21214299999999753,UNSAT,0.2169189999999972,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.39304300000000225,0.965954,0.16598700000000122,5,3,2,1,1,0.00402800000000525,0.2075490000000002,UNSAT,0.21170099999999792,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.39304300000000225,0.965954,0.16598700000000122,5,3,2,2,1,0.003184000000000964,0.22234200000000115,UNSAT,0.22565299999999766,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.39304300000000225,0.965954,0.16598700000000122,5,3,2,1,2,0.004795999999998912,0.2665690000000005,SAT,0.271488999999999,0.18712200000000223,0.21818799999999783,verilog/gen_iter6_model0.v,2,32.851,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.39223899999999645,0.8948400000000021,0.08714499999999958,5,4,2,0,1,0.0016739999999977329,0.19247000000000014,UNSAT,0.1944519999999983,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.39223899999999645,0.8948400000000021,0.08714499999999958,5,4,2,1,1,0.002088999999998009,0.19710300000000203,UNSAT,0.1992939999999983,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.39223899999999645,0.8948400000000021,0.08714499999999958,5,4,2,2,1,0.002036000000000371,0.21521200000000107,UNSAT,0.2173609999999968,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.39223899999999645,0.8948400000000021,0.08714499999999958,5,4,2,1,2,0.002896999999997263,0.2725389999999983,UNSAT,0.27552599999999927,,,,,,,,
7,3,verilog/gen_iter6_model0.v,0.39223899999999645,0.8948400000000021,0.08714499999999958,5,4,2,2,2,0.003236999999998602,0.2958410000000029,SAT,0.2991710000000012,0.20414300000000551,0.24238300000000024,verilog/gen_iter7_model0.v,3,32.851,0.0,0.0,True
8,3,verilog/gen_iter7_model0.v,0.43352999999999753,0.9360570000000052,0.1674199999999999,5,6,3,0,1,0.004975999999999203,0.21907500000000368,UNSAT,0.2249570000000034,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.43352999999999753,0.9360570000000052,0.1674199999999999,5,6,3,1,1,0.00442300000000273,0.2711260000000024,UNSAT,0.27569099999999835,,,,,,,,
8,3,verilog/gen_iter7_model0.v,0.43352999999999753,0.9360570000000052,0.1674199999999999,5,6,3,2,1,0.004400000000000404,0.3076080000000019,SAT,0.31214600000000203,0.19355799999999945,0.21446200000000104,verilog/gen_iter8_model0.v,3,25.3422,0.0,0.0,True
9,3,verilog/gen_iter8_model0.v,0.505514999999999,0.9120519999999956,0.11021000000000214,5,4,2,0,1,0.002907000000000437,0.20294200000000018,UNSAT,0.20638300000000243,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.505514999999999,0.9120519999999956,0.11021000000000214,5,4,2,1,1,0.005804999999998728,0.21131600000000006,UNSAT,0.2173109999999987,,,,,,,,
9,3,verilog/gen_iter8_model0.v,0.505514999999999,0.9120519999999956,0.11021000000000214,5,4,2,2,1,0.0031679999999987274,0.23131000000000057,SAT,0.23462000000000316,0.18483299999999758,0.22527600000000092,verilog/gen_iter9_model0.v,3,22.5264,0.0,0.0,True
10,4,verilog/gen_iter9_model0.v,0.41692600000000013,3.4525710000000025,0.06980799999999476,10,5,3,0,1,0.0022969999999986612,0.23826599999999587,UNSAT,0.24089200000000233,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.41692600000000013,3.4525710000000025,0.06980799999999476,10,5,3,1,1,0.004036999999996738,0.2561110000000042,UNSAT,0.26027400000000966,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.41692600000000013,3.4525710000000025,0.06980799999999476,10,5,3,2,1,0.002442999999999529,0.2685109999999966,UNSAT,0.27105900000000105,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.41692600000000013,3.4525710000000025,0.06980799999999476,10,5,3,1,2,0.00685599999999198,0.4191410000000033,UNSAT,0.426123000000004,,,,,,,,
10,4,verilog/gen_iter9_model0.v,0.41692600000000013,3.4525710000000025,0.06980799999999476,10,5,3,2,2,0.0074370000000030245,0.5921569999999932,SAT,0.5997229999999973,0.20362199999999575,0.2095650000000049,verilog/gen_iter10_model0.v,4,22.5264,0.0,0.0,True
11,4,verilog/gen_iter10_model0.v,0.36777799999999417,3.3145709999999937,0.1320830000000015,10,5,3,0,1,0.004743999999988091,0.23213999999999402,UNSAT,0.23829800000000034,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.36777799999999417,3.3145709999999937,0.1320830000000015,10,5,3,1,1,0.005388000000003501,0.32810900000000487,UNSAT,0.33370400000001155,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.36777799999999417,3.3145709999999937,0.1320830000000015,10,5,3,2,1,0.005155999999999494,0.3402460000000005,UNSAT,0.3455719999999971,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.36777799999999417,3.3145709999999937,0.1320830000000015,10,5,3,1,2,0.010652000000000328,0.4654559999999961,UNSAT,0.4762979999999999,,,,,,,,
11,4,verilog/gen_iter10_model0.v,0.36777799999999417,3.3145709999999937,0.1320830000000015,10,5,3,2,2,0.008146999999993909,0.6355600000000052,SAT,0.6439289999999929,0.20678200000000402,0.20580400000000054,verilog/gen_iter11_model0.v,3,22.5264,0.0,0.0,True
12,4,verilog/gen_iter11_model0.v,0.36031100000001004,3.2980819999999937,0.06683800000000417,10,5,3,0,1,0.001997999999993283,0.21283900000000244,UNSAT,0.21527900000000244,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.36031100000001004,3.2980819999999937,0.06683800000000417,10,5,3,1,1,0.0031999999999996476,0.3365259999999992,UNSAT,0.3398210000000006,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.36031100000001004,3.2980819999999937,0.06683800000000417,10,5,3,2,1,0.0028859999999966135,0.28289099999999223,UNSAT,0.28588999999999487,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.36031100000001004,3.2980819999999937,0.06683800000000417,10,5,3,1,2,0.0056109999999947036,0.4040730000000039,UNSAT,0.4098030000000037,,,,,,,,
12,4,verilog/gen_iter11_model0.v,0.36031100000001004,3.2980819999999937,0.06683800000000417,10,5,3,2,2,0.005817000000000405,0.4808189999999968,SAT,0.4867889999999946,0.18807600000000235,0.20166300000000348,verilog/gen_iter12_model0.v,4,22.5264,0.0,0.0,True
13,5,verilog/gen_iter12_model0.v,0.36706100000000674,3.4424299999999945,0.07675499999999857,10,5,3,0,1,0.0027700000000052682,0.24248499999999495,UNSAT,0.24572299999999814,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.36706100000000674,3.4424299999999945,0.07675499999999857,10,5,3,1,1,0.0032850000000053114,0.2728840000000048,UNSAT,0.27628399999999687,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.36706100000000674,3.4424299999999945,0.07675499999999857,10,5,3,2,1,0.002401999999989357,0.31523599999999874,UNSAT,0.31776299999999935,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.36706100000000674,3.4424299999999945,0.07675499999999857,10,5,3,1,2,0.0035820000000015284,0.45206300000000255,UNSAT,0.45574600000000487,,,,,,,,
13,5,verilog/gen_iter12_model0.v,0.36706100000000674,3.4424299999999945,0.07675499999999857,10,5,3,2,2,0.00363699999999767,0.5026670000000095,SAT,0.5064180000000036,0.19011699999999365,0.2116890000000069,verilog/gen_iter13_model0.v,5,20.1799,0.0,0.0,True
14,5,verilog/gen_iter13_model0.v,0.4077879999999965,6.207748000000009,0.1373750000000058,9,4,3,0,1,0.0036050000000003024,0.20849400000000173,UNSAT,0.21291999999998978,,,,,,,,
14,5,verilog/gen_iter13_model0.v,0.4077879999999965,6.207748000000009,0.1373750000000058,9,4,3,1,1,0.004080999999999335,0.24235099999999932,UNSAT,0.24659699999999418,,,,,,,,
14,5,verilog/gen_iter13_model0.v,0.4077879999999965,6.207748000000009,0.1373750000000058,9,4,3,2,1,0.003555000000005748,0.27742299999999886,UNSAT,0.28111999999999426,,,,,,,,
14,5,verilog/gen_iter13_model0.v,0.4077879999999965,6.207748000000009,0.1373750000000058,9,4,3,1,2,0.006060999999995431,0.3419009999999929,UNSAT,0.3480860000000092,,,,,,,,
14,5,verilog/gen_iter13_model0.v,0.4077879999999965,6.207748000000009,0.1373750000000058,9,4,3,2,2,0.005763000000001739,0.4931179999999955,SAT,0.4990139999999883,0.23209600000001274,0.22144500000000278,verilog/gen_iter14_model0.v,5,19.2413,0.0,0.0,True
15,5,verilog/gen_iter14_model0.v,0.4263859999999937,4.8939359999999965,0.0891330000000039,9,4,2,0,1,0.0021870000000063783,0.2133320000000083,UNSAT,0.21593699999999671,,,,,,,,
15,5,verilog/gen_iter14_model0.v,0.4263859999999937,4.8939359999999965,0.0891330000000039,9,4,2,1,1,0.0022819999999939,0.20834999999999582,UNSAT,0.21074799999999527,,,,,,,,
15,5,verilog/gen_iter14_model0.v,0.4263859999999937,4.8939359999999965,0.0891330000000039,9,4,2,2,1,0.0020899999999954844,0.21274999999999977,UNSAT,0.21493200000000456,,,,,,,,
15,5,verilog/gen_iter14_model0.v,0.4263859999999937,4.8939359999999965,0.0891330000000039,9,4,2,1,2,0.0024930000000011887,0.37412100000000237,UNSAT,0.3767050000000012,,,,,,,,
15,5,verilog/gen_iter14_model0.v,0.4263859999999937,4.8939359999999965,0.0891330000000039,9,4,2,2,2,0.003380000000007044,0.3166970000000049,UNSAT,0.32016299999999376,,,,,,,,
16,6,verilog/gen_iter14_model0.v,0.3937429999999864,4.712568000000019,0.13182700000000125,9,4,2,,,,,,,,,,,,,,
17,7,verilog/gen_iter14_model0.v,0.38639499999999316,4.900322000000017,0.07200799999999674,9,4,2,,,,,,,,,,,,,,
18,8,verilog/gen_iter14_model0.v,0.4211119999999937,6.717708999999999,0.18541199999999947,20,4,3,0,1,0.0032349999999894408,0.20304800000000967,UNSAT,0.2069450000000188,,,,,,,,
18,8,verilog/gen_iter14_model0.v,0.4211119999999937,6.717708999999999,0.18541199999999947,20,4,3,1,1,0.00519599999999798,0.33890699999999185,UNSAT,0.34428199999999265,,,,,,,,
18,8,verilog/gen_iter14_model0.v,0.4211119999999937,6.717708999999999,0.18541199999999947,20,4,3,2,1,0.004631999999986647,0.43639299999998116,UNSAT,0.44125199999999154,,,,,,,,
18,8,verilog/gen_iter14_model0.v,0.4211119999999937,6.717708999999999,0.18541199999999947,20,4,3,1,2,0.006564999999994825,0.528932999999995,UNSAT,0.5356519999999989,,,,,,,,
18,8,verilog/gen_iter14_model0.v,0.4211119999999937,6.717708999999999,0.18541199999999947,20,4,3,2,2,0.00760599999998135,1.124970000000019,SAT,1.1327810000000085,0.20106400000000235,0.26621400000000506,verilog/gen_iter18_model0.v,8,14.079,0.0,0.0,True
