iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.5735579999999998,23.2765,0.1910299999999978,5,3,1,0,1,0.0070699999999987995,0.253694000000003,SAT,0.26168399999999536,0.20411599999999908,0.2510099999999973,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.40326700000000315,19.184224,0.27543000000000006,5,3,1,0,1,0.002731000000004258,0.20331700000000552,UNSAT,0.20671000000000106,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.40326700000000315,19.184224,0.27543000000000006,5,3,1,1,1,0.003195000000005166,0.1975619999999978,UNSAT,0.2008729999999943,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.40326700000000315,19.184224,0.27543000000000006,5,3,1,2,1,0.0036480000000054247,0.2590670000000017,SAT,0.2629140000000021,0.24422400000000266,0.2361539999999991,verilog/gen_iter2_model0.v,1,43.1756,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.41974500000001314,17.520861999999994,0.26305599999999174,5,4,1,0,1,0.0031480000000101427,0.20902800000000354,UNSAT,0.2131599999999878,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.41974500000001314,17.520861999999994,0.26305599999999174,5,4,1,1,1,0.0033549999999991087,0.21065000000000111,UNSAT,0.21419099999999958,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.41974500000001314,17.520861999999994,0.26305599999999174,5,4,1,2,1,0.003052000000010935,0.20678900000001477,UNSAT,0.20996200000000442,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.41974500000001314,17.520861999999994,0.26305599999999174,5,4,1,1,2,0.003794999999996662,0.2393650000000065,SAT,0.24331200000000308,0.22709099999998728,0.22994900000000484,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.41352799999999945,14.369034,0.16816800000000853,5,3,1,0,1,0.0024079999999884194,0.22331599999999696,SAT,0.22633600000000342,0.19466800000000717,0.22904700000000844,verilog/gen_iter4_model0.v,2,32.851,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.4234859999999969,12.806581999999992,0.28219899999999143,5,3,1,0,1,0.0022720000000191476,0.19541800000000364,UNSAT,0.19819099999999423,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.4234859999999969,12.806581999999992,0.28219899999999143,5,3,1,1,1,0.0029519999999934043,0.2110309999999913,UNSAT,0.21410200000001112,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.4234859999999969,12.806581999999992,0.28219899999999143,5,3,1,2,1,0.003725000000002865,0.2500609999999881,UNSAT,0.25391000000000474,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.4234859999999969,12.806581999999992,0.28219899999999143,5,3,1,1,2,0.004277999999999338,0.2512580000000213,UNSAT,0.25589100000001963,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.4234859999999969,12.806581999999992,0.28219899999999143,5,3,1,2,2,0.004082000000011021,0.24908999999999537,SAT,0.25328799999999774,0.18761599999999135,0.21481300000000658,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
6,3,verilog/gen_iter5_model0.v,0.394968999999989,12.86663900000002,0.2346820000000065,5,3,1,,,,,,,,,,,,,,
7,4,verilog/gen_iter5_model0.v,0.4027070000000066,12.633921999999998,0.12044600000000116,5,3,1,0,1,0.0018629999999859592,0.19778399999999863,SAT,0.20003799999999217,0.19587500000001512,0.20864199999996913,verilog/gen_iter7_model0.v,4,22.9957,0.0,0.0,True
8,4,verilog/gen_iter7_model0.v,0.39158600000000376,11.083335000000005,0.24023799999997664,11,4,1,0,1,0.00247499999997558,0.18510599999999044,UNSAT,0.1881219999999928,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.39158600000000376,11.083335000000005,0.24023799999997664,11,4,1,1,1,0.003117000000003145,0.2225609999999847,UNSAT,0.2258059999999773,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.39158600000000376,11.083335000000005,0.24023799999997664,11,4,1,2,1,0.004787000000021635,0.2264210000000162,UNSAT,0.23142100000001165,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.39158600000000376,11.083335000000005,0.24023799999997664,11,4,1,1,2,0.005264999999980091,0.2561380000000213,UNSAT,0.2615240000000085,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.39158600000000376,11.083335000000005,0.24023799999997664,11,4,1,2,2,0.0033740000000079817,0.29044300000001044,UNSAT,0.2939399999999921,,,,,,,,
9,5,verilog/gen_iter7_model0.v,0.41428999999999405,10.972128999999995,0.2470920000000092,11,4,1,,,,,,,,,,,,,,
10,6,verilog/gen_iter7_model0.v,0.3906700000000001,10.987950000000012,0.2533249999999896,11,4,1,,,,,,,,,,,,,,
11,7,verilog/gen_iter7_model0.v,0.4124129999999866,10.865950999999995,0.33998600000001034,11,4,1,,,,,,,,,,,,,,
12,8,verilog/gen_iter7_model0.v,0.5093990000000304,12.738529999999969,0.4401839999999879,11,4,1,,,,,,,,,,,,,,
