iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.4569169999999998,2.8625799999999995,0.16686399999999946,5,3,1,0,1,0.004703999999999375,0.19409800000000121,SAT,0.19969400000000004,0.22953100000000148,0.21348599999999962,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.4534849999999997,0.7429419999999984,0.4412419999999999,6,7,6,0,1,0.0068270000000003606,0.30321200000000115,UNSAT,0.31073900000000076,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.4534849999999997,0.7429419999999984,0.4412419999999999,6,7,6,1,1,0.008170999999999928,0.43087499999999945,SAT,0.4391909999999992,0.2538999999999998,0.22682299999999955,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.40384199999999915,0.7239900000000006,0.48748000000000147,4,6,4,0,1,0.0050829999999990605,0.40207200000000043,UNSAT,0.4079589999999982,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.40384199999999915,0.7239900000000006,0.48748000000000147,4,6,4,1,1,0.006496000000002056,0.2744649999999993,UNSAT,0.28109000000000073,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.40384199999999915,0.7239900000000006,0.48748000000000147,4,6,4,2,1,0.006749000000001004,0.28082200000000057,SAT,0.2877090000000013,0.2122450000000029,0.2176329999999993,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.42631500000000244,3.006000000000002,0.1804900000000007,6,5,2,0,1,0.003252999999997286,0.19766399999999962,UNSAT,0.20149100000000075,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.42631500000000244,3.006000000000002,0.1804900000000007,6,5,2,1,1,0.003968999999999667,0.2106549999999956,UNSAT,0.2147459999999981,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.42631500000000244,3.006000000000002,0.1804900000000007,6,5,2,2,1,0.003672999999999149,0.2584459999999993,SAT,0.2622660000000039,0.20697900000000047,0.2584440000000008,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.3924170000000018,1.082180000000001,0.16925199999999663,6,4,3,0,1,0.004218000000001609,0.21084700000000112,UNSAT,0.21563000000000088,,,,,,,,
