iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.43240500000000015,0.6999009999999994,0.16529399999999983,5,3,1,0,1,0.005046000000000106,0.2110319999999999,SAT,0.21710399999999996,0.22486799999999985,0.22074400000000027,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.4343679999999992,0.7974890000000006,0.7004390000000011,0,0,0,,,,,,,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.4286669999999999,0.7810640000000006,0.2908799999999996,5,3,1,0,1,0.00359200000000115,0.2147970000000008,SAT,0.2194750000000001,0.20236199999999993,0.2514320000000003,verilog/gen_iter3_model0.v,2,38.0133,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.44515800000000105,0.7073529999999995,0.5955239999999993,0,0,0,,,,,,,,,,,,,,
5,3,verilog/gen_iter3_model0.v,0.40301999999999794,0.7198780000000014,0.6078700000000019,0,0,0,,,,,,,,,,,,,,
6,4,verilog/gen_iter3_model0.v,0.39175199999999855,0.7604589999999991,0.35393599999999914,11,4,1,0,1,0.0026259999999975747,0.20719000000000065,SAT,0.21044000000000196,0.18604999999999983,0.21461400000000097,verilog/gen_iter6_model0.v,3,22.5264,0.0,0.0,True
7,4,verilog/gen_iter6_model0.v,0.38793299999999853,0.541188,0.1378389999999996,5,3,1,0,1,0.001961000000001434,0.3413819999999994,UNSAT,0.34380799999999745,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.38793299999999853,0.541188,0.1378389999999996,5,3,1,1,1,0.0027720000000002187,0.19352099999999872,UNSAT,0.1964410000000001,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.38793299999999853,0.541188,0.1378389999999996,5,3,1,2,1,0.002731000000000705,0.20800399999999897,UNSAT,0.21086500000000008,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.38793299999999853,0.541188,0.1378389999999996,5,3,1,1,2,0.0041159999999997865,0.2123430000000024,UNSAT,0.21657000000000082,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.38793299999999853,0.541188,0.1378389999999996,5,3,1,2,2,0.003401000000003762,0.22882700000000078,SAT,0.23238300000000045,0.1822890000000008,0.21801900000000174,verilog/gen_iter7_model0.v,4,22.5264,0.0,0.0,True
8,4,verilog/gen_iter7_model0.v,0.3927580000000006,0.6573769999999968,0.1338050000000024,5,3,1,0,1,0.00274999999999892,0.19622299999999981,UNSAT,0.1996399999999987,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.3927580000000006,0.6573769999999968,0.1338050000000024,5,3,1,1,1,0.0024830000000015673,0.19760399999999834,UNSAT,0.20020599999999789,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.3927580000000006,0.6573769999999968,0.1338050000000024,5,3,1,2,1,0.003483999999996712,0.20193500000000242,UNSAT,0.20552699999999646,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.3927580000000006,0.6573769999999968,0.1338050000000024,5,3,1,1,2,0.002998000000005163,0.21947099999999864,UNSAT,0.22258500000000225,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.3927580000000006,0.6573769999999968,0.1338050000000024,5,3,1,2,2,0.003002999999999645,0.22523100000000085,SAT,0.22836500000000015,0.1894820000000017,0.22278999999999982,verilog/gen_iter8_model0.v,4,22.5264,0.0,0.0,True
9,5,verilog/gen_iter8_model0.v,0.4022280000000009,0.6970559999999999,0.13254100000000335,5,3,1,,,,,,,,,,,,,,
10,6,verilog/gen_iter8_model0.v,0.3822909999999986,0.6508700000000012,0.1325390000000013,5,3,1,,,,,,,,,,,,,,
11,7,verilog/gen_iter8_model0.v,0.3944059999999965,0.6676550000000034,0.14011899999999855,5,3,1,,,,,,,,,,,,,,
12,8,verilog/gen_iter8_model0.v,0.3999479999999984,0.7046260000000011,0.07292600000000249,5,3,1,,,,,,,,,,,,,,
