iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.44649400000000017,2.7533470000000007,0.08418099999999917,5,3,1,0,1,0.0019030000000022085,0.19412199999999924,SAT,0.19646100000000022,0.19746299999999994,0.21144799999999897,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.37825999999999915,0.6649779999999996,0.2219009999999999,6,7,6,0,1,0.0039050000000004914,0.2836320000000008,UNSAT,0.28789700000000096,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.37825999999999915,0.6649779999999996,0.2219009999999999,6,7,6,1,1,0.004833999999999783,0.3248229999999994,SAT,0.32975200000000005,0.20315300000000036,0.20389699999999955,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.35455099999999984,0.6398399999999995,0.2289500000000011,4,6,4,0,1,0.002679000000000542,0.22587400000000102,UNSAT,0.22888400000000075,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.35455099999999984,0.6398399999999995,0.2289500000000011,4,6,4,1,1,0.004164000000001167,0.24697499999999906,UNSAT,0.2512230000000013,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.35455099999999984,0.6398399999999995,0.2289500000000011,4,6,4,2,1,0.0036369999999994462,0.25446299999999944,SAT,0.25819600000000165,0.1923250000000003,0.19870199999999727,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.36043800000000026,3.039937,0.0949100000000005,6,5,2,0,1,0.001988000000000767,0.19594000000000023,UNSAT,0.1982520000000001,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.36043800000000026,3.039937,0.0949100000000005,6,5,2,1,1,0.0021719999999998407,0.21557600000000043,UNSAT,0.21785400000000088,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.36043800000000026,3.039937,0.0949100000000005,6,5,2,2,1,0.0021979999999999222,0.23432599999999937,SAT,0.23661900000000102,0.18634999999999913,0.2155880000000021,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.39132800000000323,1.186603999999999,0.16522900000000007,6,4,3,0,1,0.003316999999999126,0.21541600000000116,UNSAT,0.21927800000000275,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.39132800000000323,1.186603999999999,0.16522900000000007,6,4,3,1,1,0.003945000000005194,0.23375399999999757,UNSAT,0.2378269999999958,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.39132800000000323,1.186603999999999,0.16522900000000007,6,4,3,2,1,0.0037850000000005934,0.24668499999999938,UNSAT,0.250625000000003,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.39132800000000323,1.186603999999999,0.16522900000000007,6,4,3,1,2,0.005568000000000239,0.3574769999999994,SAT,0.3631639999999976,0.2809419999999996,0.25929299999999955,verilog/gen_iter5_model0.v,2,32.851,0.0,0.0,True
