iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.429937,2.6657079999999995,0.15685400000000005,5,3,1,0,1,0.0033440000000002357,0.20558799999999966,SAT,0.20974700000000013,0.22991799999999962,0.22368399999999866,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.423578,0.8645149999999999,0.2096119999999999,5,6,5,0,1,0.00311200000000067,0.26915400000000034,UNSAT,0.2726619999999995,,,,,,,,
2,1,verilog/gen_iter1_model0.v,0.423578,0.8645149999999999,0.2096119999999999,5,6,5,1,1,0.0036009999999997433,0.3110210000000002,SAT,0.3147159999999998,0.20370899999999992,0.23310099999999956,verilog/gen_iter2_model0.v,1,37.544,0.0,0.0,True
3,1,verilog/gen_iter2_model0.v,0.4352789999999995,0.6647239999999996,0.242049999999999,4,6,4,0,1,0.0025639999999977903,0.2441659999999981,UNSAT,0.24704700000000024,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.4352789999999995,0.6647239999999996,0.242049999999999,4,6,4,1,1,0.003498000000003998,0.2934239999999999,UNSAT,0.2970369999999978,,,,,,,,
3,1,verilog/gen_iter2_model0.v,0.4352789999999995,0.6647239999999996,0.242049999999999,4,6,4,2,1,0.0036410000000000053,0.3298330000000007,SAT,0.3336050000000004,0.2321169999999988,0.25806099999999965,verilog/gen_iter3_model0.v,1,37.544,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.36893199999999915,3.1854400000000016,0.09637200000000057,6,5,2,0,1,0.0017390000000006012,0.20591300000000068,UNSAT,0.20797899999999991,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.36893199999999915,3.1854400000000016,0.09637200000000057,6,5,2,1,1,0.002393999999998897,0.3328640000000007,UNSAT,0.33535499999999985,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.36893199999999915,3.1854400000000016,0.09637200000000057,6,5,2,2,1,0.002050999999999803,0.2924230000000012,SAT,0.2945860000000007,0.2165209999999984,0.2897749999999988,verilog/gen_iter4_model0.v,2,32.3817,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.42296599999999884,1.1895309999999988,0.19743400000000122,6,3,3,0,1,0.0037540000000007012,0.23934900000000425,UNSAT,0.24375900000000428,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.42296599999999884,1.1895309999999988,0.19743400000000122,6,3,3,1,1,0.00658899999999818,0.2715340000000026,UNSAT,0.27832700000000443,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.42296599999999884,1.1895309999999988,0.19743400000000122,6,3,3,2,1,0.005921000000004284,0.3128700000000002,UNSAT,0.3189360000000008,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.42296599999999884,1.1895309999999988,0.19743400000000122,6,3,3,1,2,0.004894000000000176,0.37653900000000107,UNSAT,0.3815729999999995,,,,,,,,
5,2,verilog/gen_iter4_model0.v,0.42296599999999884,1.1895309999999988,0.19743400000000122,6,3,3,2,2,0.004688999999999055,0.3595940000000013,SAT,0.36442500000000067,0.21565299999999965,0.23039399999999688,verilog/gen_iter5_model0.v,2,33.3203,0.0,0.0,True
6,2,verilog/gen_iter5_model0.v,0.45085399999999964,1.478514999999998,0.17479600000000062,7,4,2,0,1,0.00399099999999919,0.21661799999999687,UNSAT,0.22127799999999453,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.45085399999999964,1.478514999999998,0.17479600000000062,7,4,2,1,1,0.006748000000001753,0.222452999999998,UNSAT,0.22938999999999865,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.45085399999999964,1.478514999999998,0.17479600000000062,7,4,2,2,1,0.004563000000000983,0.23982999999999777,UNSAT,0.24453399999999803,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.45085399999999964,1.478514999999998,0.17479600000000062,7,4,2,1,2,0.0043959999999998445,0.2712380000000003,UNSAT,0.2757630000000013,,,,,,,,
6,2,verilog/gen_iter5_model0.v,0.45085399999999964,1.478514999999998,0.17479600000000062,7,4,2,2,2,0.0042379999999972995,0.3124670000000016,UNSAT,0.31683800000000417,,,,,,,,
7,3,verilog/gen_iter5_model0.v,0.37739099999999937,1.4545809999999975,0.17649000000000115,7,4,2,,,,,,,,,,,,,,
8,4,verilog/gen_iter5_model0.v,0.45345800000000125,6.974720999999995,0.23665599999999642,9,5,3,0,1,0.005154999999994914,0.2431139999999985,UNSAT,0.24889000000000294,,,,,,,,
8,4,verilog/gen_iter5_model0.v,0.45345800000000125,6.974720999999995,0.23665599999999642,9,5,3,1,1,0.004572000000003129,0.27921500000000066,SAT,0.28393299999999755,0.20730299999999602,0.2183560000000071,verilog/gen_iter8_model0.v,4,22.9957,0.0,0.0,True
9,4,verilog/gen_iter8_model0.v,0.41166199999999975,0.8936730000000068,0.0819359999999989,5,3,2,0,1,0.001540000000005648,0.21366199999999935,UNSAT,0.2155129999999943,,,,,,,,
9,4,verilog/gen_iter8_model0.v,0.41166199999999975,0.8936730000000068,0.0819359999999989,5,3,2,1,1,0.0031339999999957513,0.20996600000000853,UNSAT,0.2132260000000059,,,,,,,,
9,4,verilog/gen_iter8_model0.v,0.41166199999999975,0.8936730000000068,0.0819359999999989,5,3,2,2,1,0.0032179999999968345,0.21973799999999954,UNSAT,0.22308100000000053,,,,,,,,
9,4,verilog/gen_iter8_model0.v,0.41166199999999975,0.8936730000000068,0.0819359999999989,5,3,2,1,2,0.004641999999996926,0.2421290000000056,UNSAT,0.24689200000000255,,,,,,,,
9,4,verilog/gen_iter8_model0.v,0.41166199999999975,0.8936730000000068,0.0819359999999989,5,3,2,2,2,0.00472599999999801,0.2806969999999964,SAT,0.28553699999999793,0.20995200000000125,0.24646299999999854,verilog/gen_iter9_model0.v,4,22.9957,0.0,0.0,True
10,5,verilog/gen_iter9_model0.v,0.4687680000000114,0.9743190000000084,0.08302499999999213,6,4,2,0,1,0.0018169999999884112,0.2104450000000071,UNSAT,0.21261599999999703,,,,,,,,
10,5,verilog/gen_iter9_model0.v,0.4687680000000114,0.9743190000000084,0.08302499999999213,6,4,2,1,1,0.002521000000008655,0.23776300000000106,UNSAT,0.24036500000000416,,,,,,,,
10,5,verilog/gen_iter9_model0.v,0.4687680000000114,0.9743190000000084,0.08302499999999213,6,4,2,2,1,0.002022999999994113,0.2240849999999952,UNSAT,0.22619999999999152,,,,,,,,
10,5,verilog/gen_iter9_model0.v,0.4687680000000114,0.9743190000000084,0.08302499999999213,6,4,2,1,2,0.0036360000000001946,0.36114299999999844,UNSAT,0.3649640000000005,,,,,,,,
10,5,verilog/gen_iter9_model0.v,0.4687680000000114,0.9743190000000084,0.08302499999999213,6,4,2,2,2,0.002541999999998268,0.35196099999999575,SAT,0.35460700000000145,0.20398999999999745,0.23818900000000554,verilog/gen_iter10_model0.v,5,22.9957,0.0,0.0,True
11,5,verilog/gen_iter10_model0.v,0.4368520000000018,0.9881039999999928,0.15118100000000112,6,5,2,0,1,0.003945000000001642,0.21551399999999887,UNSAT,0.22021799999999558,,,,,,,,
11,5,verilog/gen_iter10_model0.v,0.4368520000000018,0.9881039999999928,0.15118100000000112,6,5,2,1,1,0.005183999999999855,0.23143899999999462,UNSAT,0.2367630000000034,,,,,,,,
