iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.6096210000000002,0.7856189999999996,0.18293300000000023,5,3,1,0,1,0.004126999999999548,0.32975799999999955,SAT,0.3350079999999993,0.20709,0.2654070000000006,verilog/gen_iter1_model0.v,1,47.8686,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.4107099999999999,0.8068119999999999,0.8957920000000001,0,0,0,,,,,,,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.5144830000000002,0.7369739999999982,0.19510499999999986,5,3,1,0,1,0.0017809999999993664,0.3682350000000003,SAT,0.37054600000000093,0.3220219999999987,0.29313900000000004,verilog/gen_iter3_model0.v,2,38.0133,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.4156260000000014,0.9363279999999996,0.7981880000000015,0,0,0,,,,,,,,,,,,,,
5,3,verilog/gen_iter3_model0.v,0.3976729999999993,0.6389559999999985,0.6475860000000004,0,0,0,,,,,,,,,,,,,,
6,4,verilog/gen_iter3_model0.v,0.4617889999999978,0.6611910000000005,0.39072300000000126,11,4,1,0,1,0.003790000000000404,0.21079099999999862,SAT,0.2156260000000021,0.2121259999999996,0.28696500000000214,verilog/gen_iter6_model0.v,3,22.5264,0.0,0.0,True
7,4,verilog/gen_iter6_model0.v,0.4813730000000014,0.6006199999999993,0.15662100000000123,5,3,1,0,1,0.0028769999999944673,0.20802600000000027,UNSAT,0.21148099999999914,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.4813730000000014,0.6006199999999993,0.15662100000000123,5,3,1,1,1,0.0038559999999989714,0.29708700000000476,UNSAT,0.301126,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.4813730000000014,0.6006199999999993,0.15662100000000123,5,3,1,2,1,0.0038059999999973115,0.29645400000000066,UNSAT,0.30043600000000126,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.4813730000000014,0.6006199999999993,0.15662100000000123,5,3,1,1,2,0.003766999999996301,0.21988699999999994,UNSAT,0.22378900000000357,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.4813730000000014,0.6006199999999993,0.15662100000000123,5,3,1,2,2,0.0030220000000014124,0.25099699999999814,SAT,0.25414999999999566,0.19690900000000156,0.2237290000000023,verilog/gen_iter7_model0.v,4,22.5264,0.0,0.0,True
8,4,verilog/gen_iter7_model0.v,0.4178570000000015,0.9627379999999981,0.21941400000000044,5,3,1,0,1,0.0027650000000001285,0.27409400000000517,UNSAT,0.2773779999999988,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.4178570000000015,0.9627379999999981,0.21941400000000044,5,3,1,1,1,0.003363000000000227,0.5239209999999943,UNSAT,0.5274739999999944,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.4178570000000015,0.9627379999999981,0.21941400000000044,5,3,1,2,1,0.0030189999999983286,0.28715000000000046,UNSAT,0.2903090000000006,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.4178570000000015,0.9627379999999981,0.21941400000000044,5,3,1,1,2,0.004206000000003485,0.3305289999999985,UNSAT,0.3349909999999987,,,,,,,,
8,4,verilog/gen_iter7_model0.v,0.4178570000000015,0.9627379999999981,0.21941400000000044,5,3,1,2,2,0.007619000000001819,0.3650739999999999,SAT,0.37293400000000076,0.2807220000000008,0.4077350000000024,verilog/gen_iter8_model0.v,4,22.5264,0.0,0.0,True
9,5,verilog/gen_iter8_model0.v,0.5233729999999959,0.7096769999999992,0.0885460000000009,5,3,1,,,,,,,,,,,,,,
10,6,verilog/gen_iter8_model0.v,0.47112900000000124,0.7245100000000022,0.19324799999999698,5,3,1,,,,,,,,,,,,,,
11,7,verilog/gen_iter8_model0.v,0.49573500000000337,0.6230270000000004,0.08808400000000205,5,3,1,,,,,,,,,,,,,,
12,8,verilog/gen_iter8_model0.v,0.48169599999999946,0.6836920000000006,0.16526999999999958,5,3,1,,,,,,,,,,,,,,
