iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.6225979999999998,0.8539440000000003,0.35481300000000005,5,3,1,0,1,0.008057999999999677,0.33496599999999965,SAT,0.3441169999999998,0.2637989999999997,0.2877100000000006,verilog/gen_iter1_model0.v,1,77.9038,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.5769630000000001,0.7967039999999992,1.2461520000000004,0,0,0,,,,,,,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.5375940000000003,0.8560979999999985,0.38459300000000063,5,3,1,0,1,0.003383000000001246,0.4698440000000019,SAT,0.47386200000000045,0.3141020000000001,0.33479400000000226,verilog/gen_iter3_model0.v,2,65.702,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.6068240000000031,0.8935269999999988,1.835642,1,2,1,0,1,0.00363699999999767,0.42887700000000173,SAT,0.4335070000000023,0.2780480000000001,0.30065000000000097,verilog/gen_iter4_model0.v,2,62.8862,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.5601509999999994,0.8309280000000019,1.8784899999999976,0,0,0,,,,,,,,,,,,,,
6,3,verilog/gen_iter4_model0.v,0.6359479999999991,0.9302349999999997,1.871466999999999,0,0,0,,,,,,,,,,,,,,
7,4,verilog/gen_iter4_model0.v,0.5676710000000007,0.8471689999999938,0.7604899999999972,5,3,1,0,1,0.003427999999992437,0.414086999999995,SAT,0.41830800000000323,0.29008400000000023,0.29093300000000255,verilog/gen_iter7_model0.v,4,53.0309,0.0,0.0,True
8,4,verilog/gen_iter7_model0.v,0.5561799999999977,0.7059779999999982,0.8287260000000032,0,0,0,,,,,,,,,,,,,,
9,5,verilog/gen_iter7_model0.v,0.5444259999999979,0.8603670000000037,1.7224260000000022,0,0,0,,,,,,,,,,,,,,
10,6,verilog/gen_iter7_model0.v,0.5842530000000004,0.882241999999998,1.7059470000000054,0,0,0,,,,,,,,,,,,,,
11,7,verilog/gen_iter7_model0.v,0.5812579999999983,0.7643100000000018,1.5979370000000017,0,0,0,,,,,,,,,,,,,,
12,8,verilog/gen_iter7_model0.v,0.530149999999999,0.7902539999999973,0.9603559999999973,11,4,1,0,1,0.004425999999995156,0.4460540000000037,SAT,0.45139599999999547,0.2754929999999902,0.30860299999999796,verilog/gen_iter12_model0.v,8,37.544,0.0,0.0,True
