iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,4,verilog/current.v,0.5921080000000003,1.0673059999999994,0.6983069999999998,5,3,1,0,1,0.009929999999999772,0.5321880000000005,SAT,0.5445090000000006,0.3984930000000002,0.3201200000000002,verilog/gen_iter1_model0.v,1,107.939,0.0,0.0,True
2,4,verilog/gen_iter1_model0.v,0.6149259999999996,1.0109190000000003,1.2453619999999992,5,3,1,0,1,0.004446000000001504,0.5779009999999989,SAT,0.5837689999999984,0.34646000000000043,0.346228,verilog/gen_iter2_model0.v,3,95.7372,0.0,0.0,True
3,4,verilog/gen_iter2_model0.v,0.6892070000000015,0.9260599999999997,0.8739700000000017,6,5,2,0,1,0.004488000000002046,0.6582609999999995,SAT,0.6633659999999999,0.3584019999999999,0.37035399999999896,verilog/gen_iter3_model0.v,4,83.0661,0.0,0.0,True
4,8,verilog/gen_iter3_model0.v,0.5878490000000021,1.0219859999999983,1.8446170000000013,11,4,1,0,1,0.004179000000000599,0.5570640000000004,SAT,0.5622959999999999,0.32448200000000327,0.3389260000000007,verilog/gen_iter4_model0.v,8,66.6406,0.0,0.0,True
5,8,verilog/gen_iter4_model0.v,0.6086810000000042,0.954854000000001,1.7333169999999996,8,2,3,0,1,0.00422699999999665,0.570651999999999,UNSAT,0.5758209999999977,,,,,,,,
5,8,verilog/gen_iter4_model0.v,0.6086810000000042,0.954854000000001,1.7333169999999996,8,2,3,1,1,0.005757000000002677,0.8625100000000003,UNSAT,0.8683970000000016,,,,,,,,
5,8,verilog/gen_iter4_model0.v,0.6086810000000042,0.954854000000001,1.7333169999999996,8,2,3,2,1,0.009713999999995337,0.8589569999999966,UNSAT,0.8688729999999971,,,,,,,,
5,8,verilog/gen_iter4_model0.v,0.6086810000000042,0.954854000000001,1.7333169999999996,8,2,3,1,2,0.006982999999998185,0.9774949999999976,UNSAT,0.9846339999999998,,,,,,,,
5,8,verilog/gen_iter4_model0.v,0.6086810000000042,0.954854000000001,1.7333169999999996,8,2,3,2,2,0.030446000000001305,1.0073290000000021,SAT,1.037894999999999,0.30556499999999787,0.3094830000000002,verilog/gen_iter5_model0.v,8,66.6406,0.0,0.0,True
6,12,verilog/gen_iter5_model0.v,0.6200070000000011,0.7829019999999964,0.8103470000000002,8,2,3,,,,,,,,,,,,,,
7,16,verilog/gen_iter5_model0.v,0.5986340000000006,0.8751210000000071,1.599693999999996,9,6,2,0,1,0.005312000000003536,0.7116929999999968,UNSAT,0.7179569999999984,,,,,,,,
7,16,verilog/gen_iter5_model0.v,0.5986340000000006,0.8751210000000071,1.599693999999996,9,6,2,1,1,0.010144000000003928,1.5358220000000031,UNSAT,1.5461349999999996,,,,,,,,
7,16,verilog/gen_iter5_model0.v,0.5986340000000006,0.8751210000000071,1.599693999999996,9,6,2,2,1,0.00775499999999596,1.5185800000000071,SAT,1.526522000000007,0.4102060000000023,0.45723199999999764,verilog/gen_iter7_model0.v,16,61.9476,0.0,0.0,True
8,16,verilog/gen_iter7_model0.v,0.6400470000000027,0.7343819999999965,1.5696569999999923,11,4,2,0,1,0.007952000000010173,0.7078180000000032,UNSAT,0.7169200000000018,,,,,,,,
8,16,verilog/gen_iter7_model0.v,0.6400470000000027,0.7343819999999965,1.5696569999999923,11,4,2,1,1,0.007020000000004245,1.6923610000000053,UNSAT,1.6995919999999956,,,,,,,,
8,16,verilog/gen_iter7_model0.v,0.6400470000000027,0.7343819999999965,1.5696569999999923,11,4,2,2,1,0.011363999999993268,1.1433520000000001,UNSAT,1.1549909999999954,,,,,,,,
8,16,verilog/gen_iter7_model0.v,0.6400470000000027,0.7343819999999965,1.5696569999999923,11,4,2,1,2,0.005580000000001917,1.4271109999999965,UNSAT,1.4328530000000015,,,,,,,,
8,16,verilog/gen_iter7_model0.v,0.6400470000000027,0.7343819999999965,1.5696569999999923,11,4,2,2,2,0.007763000000004183,2.107125999999994,SAT,2.115089999999995,0.2971390000000014,0.3424259999999961,verilog/gen_iter8_model0.v,16,61.009,0.0,0.0,True
9,16,verilog/gen_iter8_model0.v,0.6368549999999971,0.8610860000000002,1.29298,6,3,3,0,1,0.00769100000000833,0.6398880000000062,UNSAT,0.6487740000000031,,,,,,,,
9,16,verilog/gen_iter8_model0.v,0.6368549999999971,0.8610860000000002,1.29298,6,3,3,1,1,0.008255999999988717,1.4830990000000028,UNSAT,1.491498,,,,,,,,
9,16,verilog/gen_iter8_model0.v,0.6368549999999971,0.8610860000000002,1.29298,6,3,3,2,1,0.009989000000004467,1.2466709999999992,UNSAT,1.2568669999999997,,,,,,,,
9,16,verilog/gen_iter8_model0.v,0.6368549999999971,0.8610860000000002,1.29298,6,3,3,1,2,0.008814999999991358,1.686901000000006,UNSAT,1.6958649999999977,,,,,,,,
9,16,verilog/gen_iter8_model0.v,0.6368549999999971,0.8610860000000002,1.29298,6,3,3,2,2,0.007186000000004356,1.8428070000000005,SAT,1.850206,0.3286779999999965,0.3480249999999998,verilog/gen_iter9_model0.v,16,60.5397,0.0,0.0,True
10,20,verilog/gen_iter9_model0.v,0.6658079999999984,0.7704050000000038,0.6927890000000048,9,4,2,0,1,0.0022380000000055134,0.7296310000000048,UNSAT,0.7323610000000045,,,,,,,,
10,20,verilog/gen_iter9_model0.v,0.6658079999999984,0.7704050000000038,0.6927890000000048,9,4,2,1,1,0.005213999999995167,0.6697619999999915,SAT,0.6751309999999862,0.30696900000000227,0.3580729999999974,verilog/gen_iter10_model0.v,19,46.4607,0.0,0.0,True
11,20,verilog/gen_iter10_model0.v,0.6965509999999995,0.9202300000000037,1.7528290000000055,1,1,1,0,1,0.0035760000000237824,0.5606599999999844,UNSAT,0.5652089999999959,,,,,,,,
11,20,verilog/gen_iter10_model0.v,0.6965509999999995,0.9202300000000037,1.7528290000000055,1,1,1,1,1,0.003913999999994644,0.7755110000000087,SAT,0.7795640000000077,0.27458399999999017,0.3310639999999978,verilog/gen_iter11_model0.v,20,46.4607,0.0,0.0,True
