iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,4,verilog/current.v,0.6889530000000004,1.0136509999999999,7.750852999999999,0,0,0,,,,,,,,,,,,,,
2,8,verilog/current.v,0.8246359999999999,1.0931909999999991,3.2967139999999997,5,3,1,0,1,0.004545000000000243,0.7346930000000036,SAT,0.7410980000000009,0.43310599999999866,0.42934999999999945,verilog/gen_iter2_model0.v,8,154.869,0.0,0.0,True
3,8,verilog/gen_iter2_model0.v,0.9520250000000026,1.2339159999999971,5.654463,5,3,1,0,1,0.009458000000002187,1.3487030000000004,SAT,1.361189999999997,0.45141399999999976,0.5431429999999935,verilog/gen_iter3_model0.v,8,157.6848,0.0,0.0,True
4,8,verilog/gen_iter3_model0.v,0.8692480000000025,1.1055320000000037,12.243139000000003,0,0,0,,,,,,,,,,,,,,
5,12,verilog/gen_iter3_model0.v,0.7815439999999896,1.2027260000000055,12.123176,0,0,0,,,,,,,,,,,,,,
6,16,verilog/gen_iter3_model0.v,0.7859430000000103,1.2604499999999987,6.77400699999999,5,3,1,0,1,0.006163000000015018,0.8004690000000068,SAT,0.8082869999999929,0.40321600000000046,0.4120680000000192,verilog/gen_iter6_model0.v,16,139.8514,0.0,0.0,True
7,16,verilog/gen_iter6_model0.v,0.868897000000004,1.3098449999999957,11.585433999999992,2,2,2,0,1,0.00886800000000676,0.735921999999988,UNSAT,0.7468210000000113,,,,,,,,
7,16,verilog/gen_iter6_model0.v,0.868897000000004,1.3098449999999957,11.585433999999992,2,2,2,1,1,0.009746000000006916,0.769235000000009,UNSAT,0.7792100000000204,,,,,,,,
7,16,verilog/gen_iter6_model0.v,0.868897000000004,1.3098449999999957,11.585433999999992,2,2,2,2,1,0.009299000000012825,0.8054340000000053,UNSAT,0.8149130000000042,,,,,,,,
7,16,verilog/gen_iter6_model0.v,0.868897000000004,1.3098449999999957,11.585433999999992,2,2,2,1,2,0.010022999999989679,1.0050700000000035,UNSAT,1.0153399999999806,,,,,,,,
7,16,verilog/gen_iter6_model0.v,0.868897000000004,1.3098449999999957,11.585433999999992,2,2,2,2,2,0.008704000000008705,0.8949679999999915,SAT,0.9038970000000006,0.4142569999999921,0.36392900000002726,verilog/gen_iter7_model0.v,16,141.2593,0.0,0.0,True
8,20,verilog/gen_iter7_model0.v,0.9461969999999837,1.4308610000000073,11.406151999999992,2,2,2,,,,,,,,,,,,,,
9,24,verilog/gen_iter7_model0.v,0.8819149999999922,1.3339420000000075,11.312001999999993,2,2,2,,,,,,,,,,,,,,
10,28,verilog/gen_iter7_model0.v,0.8102660000000128,1.260543999999996,11.429406000000014,2,2,2,,,,,,,,,,,,,,
11,32,verilog/gen_iter7_model0.v,0.8930929999999933,1.1608959999999797,4.834263000000021,11,8,2,0,1,0.0034689999999955035,0.8123860000000036,UNSAT,0.816551000000004,,,,,,,,
11,32,verilog/gen_iter7_model0.v,0.8930929999999933,1.1608959999999797,4.834263000000021,11,8,2,1,1,0.007347000000009984,1.1367559999999912,SAT,1.1442860000000223,0.3902239999999608,0.361298000000005,verilog/gen_iter11_model0.v,32,102.3074,0.0,0.0,True
