iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.43245100000000014,0.550819,0.1433930000000001,6,3,3,0,1,0.0022400000000000198,0.17074899999999982,UNSAT,0.17341499999999987,,,,,,,,
1,1,verilog/current.v,0.43245100000000014,0.550819,0.1433930000000001,6,3,3,1,1,0.0020620000000004524,0.16286700000000032,UNSAT,0.1650090000000004,,,,,,,,
1,1,verilog/current.v,0.43245100000000014,0.550819,0.1433930000000001,6,3,3,2,1,0.0018860000000002763,0.16779300000000008,UNSAT,0.1697580000000003,,,,,,,,
1,1,verilog/current.v,0.43245100000000014,0.550819,0.1433930000000001,6,3,3,1,2,0.0027239999999997266,0.20110899999999976,SAT,0.203913,0.16421399999999986,0.2181709999999999,verilog/gen_iter1_model0.v,1,27.6887,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.33013999999999966,0.4864170000000012,0.14124800000000093,0,0,0,,,,,,,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3192340000000007,0.49592100000000006,0.06914599999999993,9,4,1,0,1,0.0012630000000006802,0.15291299999999897,UNSAT,0.15451699999999935,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3192340000000007,0.49592100000000006,0.06914599999999993,9,4,1,1,1,0.013512000000000413,0.1677760000000008,UNSAT,0.18138000000000076,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3192340000000007,0.49592100000000006,0.06914599999999993,9,4,1,2,1,0.0034050000000007685,0.20370000000000044,UNSAT,0.2072990000000008,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3192340000000007,0.49592100000000006,0.06914599999999993,9,4,1,1,2,0.002278999999999698,0.2024720000000002,UNSAT,0.20486700000000102,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3192340000000007,0.49592100000000006,0.06914599999999993,9,4,1,2,2,0.0017669999999991859,0.2136199999999988,UNSAT,0.21547599999999978,,,,,,,,
