iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,2,verilog/current.v,0.5730040000000003,1.0305710000000001,2.3728800000000003,6,4,2,0,1,0.006447999999998899,0.44090699999999927,UNSAT,0.4489530000000004,,,,,,,,
1,2,verilog/current.v,0.5730040000000003,1.0305710000000001,2.3728800000000003,6,4,2,1,1,0.006417999999999147,0.5253239999999995,UNSAT,0.531861000000001,,,,,,,,
1,2,verilog/current.v,0.5730040000000003,1.0305710000000001,2.3728800000000003,6,4,2,2,1,0.0070809999999976725,0.5087390000000012,SAT,0.5159350000000016,0.3443149999999999,0.30062999999999906,verilog/gen_iter1_model0.v,2,196.1674,0.0,0.0,True
2,2,verilog/gen_iter1_model0.v,0.7155349999999991,0.9137000000000004,5.612668999999999,4,3,2,0,1,0.005997999999999948,0.4242669999999986,UNSAT,0.4310869999999998,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.7155349999999991,0.9137000000000004,5.612668999999999,4,3,2,1,1,0.006212999999998914,0.5137370000000008,UNSAT,0.5200710000000015,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.7155349999999991,0.9137000000000004,5.612668999999999,4,3,2,2,1,0.006900999999999158,0.8415359999999978,SAT,0.8485479999999974,0.3706119999999977,0.29445699999999775,verilog/gen_iter2_model0.v,2,197.5753,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,0.6200460000000021,1.017192999999999,9.424707999999999,1,2,1,0,1,0.005309000000000452,0.4194609999999983,UNSAT,0.42621499999999557,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.6200460000000021,1.017192999999999,9.424707999999999,1,2,1,1,1,0.02231300000000047,0.5433950000000038,UNSAT,0.5658229999999982,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.6200460000000021,1.017192999999999,9.424707999999999,1,2,1,2,1,0.005946000000001561,0.41876500000000405,SAT,0.4248660000000051,0.3443579999999997,0.2701029999999953,verilog/gen_iter3_model0.v,2,183.027,0.0,0.0,True
4,4,verilog/gen_iter3_model0.v,0.6807360000000031,0.9417380000000044,1.9179679999999948,6,5,2,0,1,0.0033689999999992892,0.5728520000000046,UNSAT,0.5769620000000018,,,,,,,,
4,4,verilog/gen_iter3_model0.v,0.6807360000000031,0.9417380000000044,1.9179679999999948,6,5,2,1,1,0.004014000000005069,0.5992829999999998,SAT,0.6034030000000001,0.30648000000000053,0.2777269999999987,verilog/gen_iter4_model0.v,4,170.8252,0.0,0.0,True
5,4,verilog/gen_iter4_model0.v,0.6390560000000107,0.9854150000000033,2.8538079999999937,5,3,3,0,1,0.005539000000005956,0.40455299999999994,UNSAT,0.4113869999999906,,,,,,,,
5,4,verilog/gen_iter4_model0.v,0.6390560000000107,0.9854150000000033,2.8538079999999937,5,3,3,1,1,0.006177000000000987,0.4299260000000089,UNSAT,0.4362349999999964,,,,,,,,
5,4,verilog/gen_iter4_model0.v,0.6390560000000107,0.9854150000000033,2.8538079999999937,5,3,3,2,1,0.00629800000000813,0.49568299999999255,UNSAT,0.5021069999999952,,,,,,,,
5,4,verilog/gen_iter4_model0.v,0.6390560000000107,0.9854150000000033,2.8538079999999937,5,3,3,1,2,0.00837500000000091,0.5798190000000076,UNSAT,0.5883590000000041,,,,,,,,
5,4,verilog/gen_iter4_model0.v,0.6390560000000107,0.9854150000000033,2.8538079999999937,5,3,3,2,2,0.007476999999994405,1.0059050000000056,SAT,1.0135229999999922,0.3711309999999983,0.28540399999999266,verilog/gen_iter5_model0.v,4,173.641,0.0,0.0,True
6,4,verilog/gen_iter5_model0.v,0.6306919999999963,0.9394570000000044,0.9705590000000086,5,3,1,0,1,0.005080999999989899,0.46809900000000226,UNSAT,0.4745070000000098,,,,,,,,
6,4,verilog/gen_iter5_model0.v,0.6306919999999963,0.9394570000000044,0.9705590000000086,5,3,1,1,1,0.0054750000000041155,0.5707169999999877,SAT,0.5763120000000015,0.3347729999999913,0.2834479999999999,verilog/gen_iter6_model0.v,4,168.0094,0.0,0.0,True
7,6,verilog/gen_iter6_model0.v,0.5855969999999999,0.9734610000000075,2.8182059999999893,5,3,3,0,1,0.005686000000011404,0.6334119999999999,UNSAT,0.6403749999999988,,,,,,,,
7,6,verilog/gen_iter6_model0.v,0.5855969999999999,0.9734610000000075,2.8182059999999893,5,3,3,1,1,0.00686999999999216,0.8294420000000073,SAT,0.83643,0.3305159999999958,0.37119200000000774,verilog/gen_iter7_model0.v,6,162.3778,0.0,0.0,True
8,6,verilog/gen_iter7_model0.v,0.6541119999999907,1.054717999999987,7.524806000000005,4,3,4,0,1,0.006692999999998506,0.6916109999999946,UNSAT,0.6995830000000041,,,,,,,,
8,6,verilog/gen_iter7_model0.v,0.6541119999999907,1.054717999999987,7.524806000000005,4,3,4,1,1,0.004290999999994938,0.5906750000000045,UNSAT,0.5950510000000122,,,,,,,,
8,6,verilog/gen_iter7_model0.v,0.6541119999999907,1.054717999999987,7.524806000000005,4,3,4,2,1,0.004325000000008572,1.0144379999999842,UNSAT,1.018849000000003,,,,,,,,
