iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.38192899999999996,0.6108319999999996,0.28061099999999994,5,3,1,0,1,0.004282000000000341,0.2648310000000005,SAT,0.27011300000000027,0.18287399999999998,0.19680100000000067,verilog/gen_iter1_model0.v,1,77.9038,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.41364,0.6244000000000001,1.8477599999999992,0,0,0,,,,,,,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.41977699999999984,0.6096830000000004,0.5300320000000003,5,3,1,0,1,0.0034480000000005617,0.3379089999999998,SAT,0.3422540000000005,0.21408300000000047,0.22362000000000037,verilog/gen_iter3_model0.v,2,65.702,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.3822359999999989,0.5175280000000004,0.696432999999999,1,2,1,0,1,0.0017769999999988073,0.3186089999999986,SAT,0.3207919999999991,0.19489300000000043,0.2196449999999981,verilog/gen_iter4_model0.v,2,62.8862,0.0,0.0,True
5,2,verilog/gen_iter4_model0.v,0.37449699999999986,0.5810379999999977,1.330247,0,0,0,,,,,,,,,,,,,,
6,3,verilog/gen_iter4_model0.v,0.37489099999999986,0.531229999999999,0.6901860000000006,0,0,0,,,,,,,,,,,,,,
7,4,verilog/gen_iter4_model0.v,0.4097199999999983,0.5860610000000008,0.5716370000000026,5,3,1,0,1,0.0031679999999987274,0.3129850000000012,SAT,0.3169300000000028,0.2123240000000024,0.2156549999999946,verilog/gen_iter7_model0.v,4,53.0309,0.0,0.0,True
8,4,verilog/gen_iter7_model0.v,0.3964629999999971,0.5860369999999975,1.218957999999997,0,0,0,,,,,,,,,,,,,,
9,5,verilog/gen_iter7_model0.v,0.39863700000000435,0.5438359999999989,0.6302029999999981,0,0,0,,,,,,,,,,,,,,
10,6,verilog/gen_iter7_model0.v,0.3797130000000024,0.5486690000000003,0.6332029999999946,0,0,0,,,,,,,,,,,,,,
11,7,verilog/gen_iter7_model0.v,0.3424749999999932,0.5265550000000019,0.6292459999999984,0,0,0,,,,,,,,,,,,,,
12,8,verilog/gen_iter7_model0.v,0.39796100000000223,0.577103999999995,0.6897270000000013,11,4,1,0,1,0.0032409999999956085,0.2939630000000051,SAT,0.29800699999999836,0.17981999999999942,0.20911400000000313,verilog/gen_iter12_model0.v,8,37.544,0.0,0.0,True
