iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.4256099999999998,0.5407890000000002,0.13626499999999986,6,3,3,0,1,0.0022240000000000038,0.1580210000000002,UNSAT,0.16066199999999986,,,,,,,,
1,1,verilog/current.v,0.4256099999999998,0.5407890000000002,0.13626499999999986,6,3,3,1,1,0.0018720000000000958,0.17079600000000061,UNSAT,0.17273900000000042,,,,,,,,
1,1,verilog/current.v,0.4256099999999998,0.5407890000000002,0.13626499999999986,6,3,3,2,1,0.001907000000000103,0.17306100000000013,UNSAT,0.1750459999999996,,,,,,,,
1,1,verilog/current.v,0.4256099999999998,0.5407890000000002,0.13626499999999986,6,3,3,1,2,0.0027020000000002042,0.20569999999999977,SAT,0.20848599999999973,0.1735319999999998,0.18063299999999893,verilog/gen_iter1_model0.v,1,27.6887,0.0,0.0,True
2,1,verilog/gen_iter1_model0.v,0.3518170000000005,0.5175130000000001,0.1512879999999992,0,0,0,,,,,,,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3801210000000008,0.5462509999999989,0.12550300000000014,9,4,1,0,1,0.002096000000000764,0.15560300000000105,UNSAT,0.15825200000000006,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3801210000000008,0.5462509999999989,0.12550300000000014,9,4,1,1,1,0.017665000000000042,0.17300200000000032,UNSAT,0.1907899999999998,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3801210000000008,0.5462509999999989,0.12550300000000014,9,4,1,2,1,0.002478999999999232,0.16298000000000012,UNSAT,0.16557699999999986,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3801210000000008,0.5462509999999989,0.12550300000000014,9,4,1,1,2,0.00308699999999984,0.19632499999999986,UNSAT,0.1995319999999996,,,,,,,,
3,2,verilog/gen_iter1_model0.v,0.3801210000000008,0.5462509999999989,0.12550300000000014,9,4,1,2,2,0.003072000000001296,0.21959700000000026,UNSAT,0.22279599999999977,,,,,,,,
