iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.43734899999999977,0.7325410000000006,0.6103100000000001,5,4,1,0,1,0.0047560000000004266,0.2872950000000003,UNSAT,0.29326199999999947,,,,,,,,
1,1,verilog/current.v,0.43734899999999977,0.7325410000000006,0.6103100000000001,5,4,1,1,1,0.019254000000000104,0.29973899999999976,UNSAT,0.3190909999999998,,,,,,,,
1,1,verilog/current.v,0.43734899999999977,0.7325410000000006,0.6103100000000001,5,4,1,2,1,0.004760000000000542,0.30703500000000084,UNSAT,0.3119150000000004,,,,,,,,
1,1,verilog/current.v,0.43734899999999977,0.7325410000000006,0.6103100000000001,5,4,1,1,2,0.005474000000001311,0.34668100000000024,UNSAT,0.35227200000000014,,,,,,,,
1,1,verilog/current.v,0.43734899999999977,0.7325410000000006,0.6103100000000001,5,4,1,2,2,0.005413999999999142,0.33789600000000064,UNSAT,0.34344200000000047,,,,,,,,
2,2,verilog/current.v,0.4135770000000001,0.6320809999999994,0.3543669999999999,5,3,1,0,1,0.0023130000000000095,0.29569699999999965,SAT,0.29859800000000014,0.2057259999999994,0.2162139999999999,verilog/gen_iter2_model0.v,1,140.3207,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,0.41352300000000053,0.7266600000000007,1.1905000000000001,7,5,1,0,1,0.00414299999999912,0.34856899999999946,SAT,0.3537519999999983,0.20389699999999955,0.23140999999999856,verilog/gen_iter3_model0.v,2,117.7943,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.41378500000000074,0.6093779999999995,0.8484549999999995,6,5,3,0,1,0.002887000000001194,0.32672600000000074,UNSAT,0.33010999999999946,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.41378500000000074,0.6093779999999995,0.8484549999999995,6,5,3,1,1,0.00387100000000018,0.42786599999999986,UNSAT,0.43181400000000103,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.41378500000000074,0.6093779999999995,0.8484549999999995,6,5,3,2,1,0.0038119999999999266,0.4740020000000005,UNSAT,0.4778960000000012,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.41378500000000074,0.6093779999999995,0.8484549999999995,6,5,3,1,2,0.004590999999999568,0.4695790000000013,UNSAT,0.47425200000000167,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.41378500000000074,0.6093779999999995,0.8484549999999995,6,5,3,2,2,0.00402300000000011,0.9096229999999998,SAT,0.913748,0.2555840000000007,0.2477550000000015,verilog/gen_iter4_model0.v,2,114.0399,0.0,0.0,True
5,3,verilog/gen_iter4_model0.v,0.4551049999999979,0.653349000000004,0.9898500000000006,5,4,3,0,1,0.0029530000000015377,0.30796899999999994,UNSAT,0.3114789999999985,,,,,,,,
5,3,verilog/gen_iter4_model0.v,0.4551049999999979,0.653349000000004,0.9898500000000006,5,4,3,1,1,0.0028599999999947556,0.38333199999999934,SAT,0.3862749999999977,0.20663699999999707,0.21953900000000104,verilog/gen_iter5_model0.v,3,107.4697,0.0,0.0,True
6,3,verilog/gen_iter5_model0.v,0.48680099999999626,0.6684750000000008,3.0750290000000007,1,1,1,0,1,0.0037140000000022155,0.30894300000000285,UNSAT,0.3135910000000024,,,,,,,,
6,3,verilog/gen_iter5_model0.v,0.48680099999999626,0.6684750000000008,3.0750290000000007,1,1,1,1,1,0.0046810000000014895,0.367802999999995,SAT,0.3726389999999995,0.24641100000000193,0.2607050000000015,verilog/gen_iter6_model0.v,3,107.4697,0.0,0.0,True
7,4,verilog/gen_iter6_model0.v,0.4877509999999958,0.7274120000000046,1.7682649999999995,6,4,2,0,1,0.004881999999998499,0.6439699999999995,UNSAT,0.6498899999999992,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.4877509999999958,0.7274120000000046,1.7682649999999995,6,4,2,1,1,0.005071999999998411,0.5978330000000014,UNSAT,0.6030509999999971,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.4877509999999958,0.7274120000000046,1.7682649999999995,6,4,2,2,1,0.008057000000000869,0.7509130000000006,UNSAT,0.7591669999999979,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.4877509999999958,0.7274120000000046,1.7682649999999995,6,4,2,1,2,0.00717899999999716,0.5078960000000023,UNSAT,0.5152030000000032,,,,,,,,
7,4,verilog/gen_iter6_model0.v,0.4877509999999958,0.7274120000000046,1.7682649999999995,6,4,2,2,2,0.006057999999999453,0.6410429999999963,SAT,0.6472729999999984,0.2867399999999982,0.2546270000000064,verilog/gen_iter7_model0.v,4,73.2108,0.0,0.0,True
