iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,1,verilog/current.v,0.45007700000000006,0.6096030000000001,0.8950610000000001,1,2,1,0,1,0.002129999999999743,0.209133,UNSAT,0.2117600000000004,,,,,,,,
1,1,verilog/current.v,0.45007700000000006,0.6096030000000001,0.8950610000000001,1,2,1,1,1,0.00209600000000032,0.2266569999999999,UNSAT,0.2288549999999998,,,,,,,,
1,1,verilog/current.v,0.45007700000000006,0.6096030000000001,0.8950610000000001,1,2,1,2,1,0.002029999999999532,0.20535899999999963,SAT,0.20748100000000003,0.22603099999999943,0.2331240000000001,verilog/gen_iter1_model0.v,0,78.3731,0.0,0.0,True
2,2,verilog/gen_iter1_model0.v,0.3921359999999998,0.6252989999999992,0.8149180000000005,5,5,4,0,1,0.005480999999999625,0.2647530000000007,UNSAT,0.2710819999999998,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.3921359999999998,0.6252989999999992,0.8149180000000005,5,5,4,1,1,0.006183000000000938,0.4044130000000008,UNSAT,0.41071600000000075,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.3921359999999998,0.6252989999999992,0.8149180000000005,5,5,4,2,1,0.00572700000000026,0.31617800000000074,UNSAT,0.3220540000000005,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.3921359999999998,0.6252989999999992,0.8149180000000005,5,5,4,1,2,0.00899500000000053,0.8412289999999985,SAT,0.8503769999999999,0.2128629999999987,0.23801500000000075,verilog/gen_iter2_model0.v,2,57.2546,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,0.437049,0.5545620000000007,0.24663299999999921,6,4,3,0,1,0.0022020000000004814,0.22466799999999942,UNSAT,0.2272639999999999,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.437049,0.5545620000000007,0.24663299999999921,6,4,3,1,1,0.003428000000001319,0.2951390000000007,UNSAT,0.2986570000000004,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.437049,0.5545620000000007,0.24663299999999921,6,4,3,2,1,0.004541999999998936,0.2772899999999989,UNSAT,0.28198100000000004,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.437049,0.5545620000000007,0.24663299999999921,6,4,3,1,2,0.005731999999998294,0.38966499999999726,UNSAT,0.39553199999999933,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.437049,0.5545620000000007,0.24663299999999921,6,4,3,2,2,0.005681000000002712,0.5076929999999997,SAT,0.5135509999999979,0.17979000000000056,0.2145519999999994,verilog/gen_iter3_model0.v,2,53.5002,0.0,0.0,True
4,2,verilog/gen_iter3_model0.v,0.41769199999999884,0.5617870000000025,0.4629639999999995,1,2,1,0,1,0.0014910000000014634,0.2088479999999997,UNSAT,0.21067200000000064,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.41769199999999884,0.5617870000000025,0.4629639999999995,1,2,1,1,1,0.0018260000000012155,0.2121580000000005,UNSAT,0.21409599999999962,,,,,,,,
4,2,verilog/gen_iter3_model0.v,0.41769199999999884,0.5617870000000025,0.4629639999999995,1,2,1,2,1,0.0034250000000000114,0.2360989999999994,SAT,0.2396659999999997,0.19645400000000102,0.2321679999999997,verilog/gen_iter4_model0.v,2,57.2546,0.0,0.0,True
5,3,verilog/gen_iter4_model0.v,0.37424599999999764,0.5624239999999983,0.8552980000000012,1,2,1,0,1,0.002549999999999386,0.2123980000000003,UNSAT,0.21559600000000145,,,,,,,,
5,3,verilog/gen_iter4_model0.v,0.37424599999999764,0.5624239999999983,0.8552980000000012,1,2,1,1,1,0.003190000000000026,0.19583899999999943,UNSAT,0.1991759999999978,,,,,,,,
5,3,verilog/gen_iter4_model0.v,0.37424599999999764,0.5624239999999983,0.8552980000000012,1,2,1,2,1,0.0031820000000024606,0.21722700000000117,SAT,0.22054499999999777,0.19423899999999605,0.22851999999999606,verilog/gen_iter5_model0.v,3,53.5002,0.0,0.0,True
6,3,verilog/gen_iter5_model0.v,0.41931799999999697,0.6073090000000008,0.8429479999999998,1,2,1,0,1,0.002416999999997671,0.20435300000000112,SAT,0.207333000000002,0.193680999999998,0.21932499999999777,verilog/gen_iter6_model0.v,3,54.4388,0.0,0.0,True
7,3,verilog/gen_iter6_model0.v,0.40734700000000146,0.5834259999999958,0.8498770000000029,0,0,0,,,,,,,,,,,,,,
8,4,verilog/gen_iter6_model0.v,0.42298600000000164,0.5643420000000035,0.4152310000000021,5,3,1,0,1,0.0027180000000015525,0.20653899999999936,UNSAT,0.20986999999999867,,,,,,,,
8,4,verilog/gen_iter6_model0.v,0.42298600000000164,0.5643420000000035,0.4152310000000021,5,3,1,1,1,0.0030570000000018638,0.21394499999999894,UNSAT,0.2171080000000032,,,,,,,,
8,4,verilog/gen_iter6_model0.v,0.42298600000000164,0.5643420000000035,0.4152310000000021,5,3,1,2,1,0.0015999999999998238,0.22734099999999913,UNSAT,0.22901900000000097,,,,,,,,
8,4,verilog/gen_iter6_model0.v,0.42298600000000164,0.5643420000000035,0.4152310000000021,5,3,1,1,2,0.0019309999999990168,0.23475999999999786,SAT,0.23676599999999937,0.1986789999999985,0.20745900000000717,verilog/gen_iter8_model0.v,4,44.1142,0.0,0.0,True
