iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,2,verilog/current.v,0.5920950000000003,1.102878,2.3781399999999993,6,4,2,0,1,0.006515999999999522,0.40898400000000024,UNSAT,0.41709499999999977,,,,,,,,
1,2,verilog/current.v,0.5920950000000003,1.102878,2.3781399999999993,6,4,2,1,1,0.006549999999999834,0.5284940000000011,UNSAT,0.5351640000000009,,,,,,,,
1,2,verilog/current.v,0.5920950000000003,1.102878,2.3781399999999993,6,4,2,2,1,0.007248000000000587,0.4704289999999993,SAT,0.47780100000000036,0.33187699999999953,0.29042699999999844,verilog/gen_iter1_model0.v,2,196.1674,0.0,0.0,True
2,2,verilog/gen_iter1_model0.v,0.714703000000001,0.9961289999999998,9.441376,4,3,2,0,1,0.005731999999994741,0.4068000000000005,UNSAT,0.4139809999999997,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.714703000000001,0.9961289999999998,9.441376,4,3,2,1,1,0.0064109999999999445,0.843119999999999,UNSAT,0.8496619999999986,,,,,,,,
2,2,verilog/gen_iter1_model0.v,0.714703000000001,0.9961289999999998,9.441376,4,3,2,2,1,0.007349000000001382,0.5612059999999985,SAT,0.5686709999999984,0.36203199999999924,0.2659040000000026,verilog/gen_iter2_model0.v,2,197.5753,0.0,0.0,True
3,2,verilog/gen_iter2_model0.v,0.6874770000000012,1.0262669999999972,9.468836000000003,1,2,1,0,1,0.005420999999998344,0.4013659999999959,UNSAT,0.40821100000000143,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.6874770000000012,1.0262669999999972,9.468836000000003,1,2,1,1,1,0.0248020000000011,0.5457199999999958,UNSAT,0.5706510000000051,,,,,,,,
3,2,verilog/gen_iter2_model0.v,0.6874770000000012,1.0262669999999972,9.468836000000003,1,2,1,2,1,0.00622299999999143,0.40779399999999555,SAT,0.41416299999999495,0.30672000000000565,0.23300500000001279,verilog/gen_iter3_model0.v,2,183.027,0.0,0.0,True
4,4,verilog/gen_iter3_model0.v,0.7161079999999984,1.035737999999995,3.5728500000000025,6,5,2,0,1,0.006171000000001925,0.5637499999999989,UNSAT,0.5713849999999994,,,,,,,,
4,4,verilog/gen_iter3_model0.v,0.7161079999999984,1.035737999999995,3.5728500000000025,6,5,2,1,1,0.007183999999995194,0.5987340000000003,SAT,0.6060390000000027,0.34741100000000813,0.30796899999999994,verilog/gen_iter4_model0.v,4,170.8252,0.0,0.0,True
5,4,verilog/gen_iter4_model0.v,0.684283999999991,0.8908509999999978,1.6500559999999993,5,3,3,0,1,0.0032969999999963306,0.37334699999999543,UNSAT,0.37734899999998817,,,,,,,,
5,4,verilog/gen_iter4_model0.v,0.684283999999991,0.8908509999999978,1.6500559999999993,5,3,3,1,1,0.003347000000005096,0.4194930000000028,UNSAT,0.42292800000000597,,,,,,,,
5,4,verilog/gen_iter4_model0.v,0.684283999999991,0.8908509999999978,1.6500559999999993,5,3,3,2,1,0.0034999999999953957,0.477086000000007,UNSAT,0.48067600000000255,,,,,,,,
5,4,verilog/gen_iter4_model0.v,0.684283999999991,0.8908509999999978,1.6500559999999993,5,3,3,1,2,0.007665000000010025,0.584040999999992,UNSAT,0.5918399999999906,,,,,,,,
5,4,verilog/gen_iter4_model0.v,0.684283999999991,0.8908509999999978,1.6500559999999993,5,3,3,2,2,0.004469000000000278,1.0174870000000027,SAT,1.022072999999999,0.3558970000000059,0.29308800000000446,verilog/gen_iter5_model0.v,4,173.641,0.0,0.0,True
6,4,verilog/gen_iter5_model0.v,0.6582950000000096,0.9735749999999967,0.9767769999999985,5,3,1,0,1,0.005062999999999818,0.4813520000000011,UNSAT,0.4877480000000034,,,,,,,,
6,4,verilog/gen_iter5_model0.v,0.6582950000000096,0.9735749999999967,0.9767769999999985,5,3,1,1,1,0.005885999999996727,0.5903460000000109,SAT,0.5963680000000124,0.2957669999999837,0.2572530000000057,verilog/gen_iter6_model0.v,4,168.0094,0.0,0.0,True
