iteration,error_threshold,circuit_to_approximate,annotated_graphs_initialization_time,labelling_time,subgraph_extraction_time,subgraph_nodes_count,subgraph_inputs_count,subgraph_outputs_count,cell_coord_0,cell_coord_1,grid_phase_definition_time,grid_phase_solution_time,status,cell_time,erroreval_annotated_graphs_initialization_time,verification_time,circuit_path,circuit_error,circuit_area,circuit_power,circuit_delay,circuit_is_best
1,4,verilog/current.v,1.0440619999999998,1.5940210000000006,20.528961,10,8,4,0,1,0.013635999999998205,1.0943510000000032,UNSAT,1.1113180000000007,,,,,,,,
1,4,verilog/current.v,1.0440619999999998,1.5940210000000006,20.528961,10,8,4,1,1,0.02930700000000286,1.2776210000000034,UNSAT,1.3070410000000017,,,,,,,,
1,4,verilog/current.v,1.0440619999999998,1.5940210000000006,20.528961,10,8,4,2,1,0.014728000000001629,1.4408629999999967,UNSAT,1.4557549999999964,,,,,,,,
1,4,verilog/current.v,1.0440619999999998,1.5940210000000006,20.528961,10,8,4,1,2,0.019768000000006225,1.6768739999999944,UNSAT,1.696823999999996,,,,,,,,
1,4,verilog/current.v,1.0440619999999998,1.5940210000000006,20.528961,10,8,4,2,2,0.01911200000000335,22.191787,SAT,22.21110200000001,0.5644250000000071,0.6392919999999975,verilog/gen_iter1_model0.v,4,385.2953,0.0,0.0,True
2,4,verilog/gen_iter1_model0.v,0.8612259999999949,1.626464999999996,14.964098000000014,10,6,2,0,1,0.011724999999998431,2.599833999999987,UNSAT,2.6146039999999857,,,,,,,,
2,4,verilog/gen_iter1_model0.v,0.8612259999999949,1.626464999999996,14.964098000000014,10,6,2,1,1,0.03549700000000655,9.91516,SAT,9.950796000000011,0.5387100000000089,0.696485999999993,verilog/gen_iter2_model0.v,4,358.5452,0.0,0.0,True
3,4,verilog/gen_iter2_model0.v,1.0471760000000074,1.6221099999999922,9.873407,6,4,1,0,1,0.010474000000016304,1.2679860000000076,UNSAT,1.2816229999999962,,,,,,,,
3,4,verilog/gen_iter2_model0.v,1.0471760000000074,1.6221099999999922,9.873407,6,4,1,1,1,0.011915999999999372,1.5765760000000029,UNSAT,1.5886349999999965,,,,,,,,
3,4,verilog/gen_iter2_model0.v,1.0471760000000074,1.6221099999999922,9.873407,6,4,1,2,1,0.011201999999983059,1.7338629999999995,UNSAT,1.7452009999999945,,,,,,,,
3,4,verilog/gen_iter2_model0.v,1.0471760000000074,1.6221099999999922,9.873407,6,4,1,1,2,0.012071000000020149,3.470614000000012,SAT,3.482816999999997,0.5496549999999871,0.7303279999999859,verilog/gen_iter3_model0.v,3,365.5847,0.0,0.0,True
4,8,verilog/gen_iter3_model0.v,1.0845319999999958,1.568772999999993,9.762113999999997,5,4,1,0,1,0.02363300000000379,2.1896270000000015,SAT,2.2162250000000085,0.515342000000004,0.5552079999999933,verilog/gen_iter4_model0.v,6,354.7908,0.0,0.0,True
5,8,verilog/gen_iter4_model0.v,0.9268440000000027,1.492742000000007,17.050472,9,6,2,0,1,0.010667000000012195,1.80776800000001,UNSAT,1.8211450000000013,,,,,,,,
5,8,verilog/gen_iter4_model0.v,0.9268440000000027,1.492742000000007,17.050472,9,6,2,1,1,0.013250999999996793,1.499369999999999,UNSAT,1.5127959999999803,,,,,,,,
