benchmark,et,method,labelling_calls,labelling_s,rewriting_calls,rewriting_s,verification_calls,verification_s,total_z3_calls,total_s,exact_area,approx_area
abs_diff_i4_o2,2,full,52,1.505,16,4.914,8,1.682,76,16.84,17.3641,6.1009
abs_diff_i4_o2,2,exact,19,0.938,13,3.413,8,1.72,40,15.08,17.3641,1.4079
abs_diff_i4_o2,2,prefilter,0,0.0,7,0.723,8,0.662,15,5.95,17.3641,0.0
abs_diff_i4_o2,2,simulation,0,0.0,7,1.68,8,1.675,15,11.43,17.3641,0.0
abs_diff_i4_o2,2,wce,26,1.08,15,3.798,8,1.653,49,14.85,17.3641,3.7544
abs_diff_i8_o4,2,full,270,5.042,10,4.606,2,0.438,282,21.08,74.6187,70.8643
abs_diff_i8_o4,2,exact,18,0.787,9,4.615,4,0.868,31,15.4,74.6187,48.3379
abs_diff_i8_o4,2,prefilter,0,0.0,6,1.565,4,0.374,10,8.35,74.6187,48.3379
abs_diff_i8_o4,2,simulation,2,0.463,6,2.348,4,0.861,12,12.58,74.6187,48.3379
abs_diff_i8_o4,2,wce,18,0.777,9,5.281,4,0.86,31,16.5,74.6187,48.3379
adder_i10_o6,4,full,405,5.425,15,5.045,10,2.058,430,29.94,67.5792,47.8686
adder_i10_o6,4,exact,57,1.88,17,8.648,12,2.476,86,30.12,67.5792,53.0309
adder_i10_o6,4,prefilter,0,0.0,5,1.114,8,0.715,13,13.37,67.5792,43.6449
adder_i10_o6,4,simulation,6,1.361,5,1.747,8,1.646,19,20.34,67.5792,43.6449
adder_i10_o6,4,wce,41,2.28,28,12.674,16,3.324,85,40.08,67.5792,37.544
adder_i12_o7,8,full,821,9.75,18,8.313,12,2.632,851,53.44,82.5968,51.623
adder_i12_o7,8,exact,127,3.333,33,15.817,16,3.539,176,52.4,82.5968,50.2151
adder_i12_o7,8,prefilter,0,0.0,5,1.434,10,0.929,15,25.38,82.5968,37.544
adder_i12_o7,8,simulation,15,2.409,5,2.166,10,2.222,30,37.22,82.5968,37.544
