benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
abs_diff_i8_o4,8,4,128,1,1/16,1,28.4567,97,2.545,8,2.3353,8,89
abs_diff_i8_o4,8,4,128,2,1/8,1,28.4567,97,14.7919,63,14.4165,63,34
abs_diff_i8_o4,8,4,128,4,1/4,1,28.4567,97,19.0342,86,18.9016,86,11
abs_diff_i8_o4,8,4,128,8,1/2,1,28.4567,97,21.0865,97,16.5142,97,0
abs_diff_i8_o4,8,4,128,1,1/16,2,19.7541,97,8.4699,8,10.2338,8,89
abs_diff_i8_o4,8,4,128,2,1/8,2,19.7541,97,15.8346,63,14.8727,63,34
abs_diff_i8_o4,8,4,128,4,1/4,2,19.7541,97,12.7006,86,16.6726,86,11
abs_diff_i8_o4,8,4,128,8,1/2,2,19.7541,97,19.5413,97,20.7842,97,0
abs_diff_i8_o4,8,4,128,1,1/16,3,20.3292,97,2.3368,8,2.3002,8,89
abs_diff_i8_o4,8,4,128,2,1/8,3,20.3292,97,9.7723,63,9.7209,63,34
abs_diff_i8_o4,8,4,128,4,1/4,3,20.3292,97,12.0077,86,13.2344,86,11
abs_diff_i8_o4,8,4,128,8,1/2,3,20.3292,97,13.472,97,13.5737,97,0
