benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
adder_i20_o11,20,11,128,128,1/16,1,4.8866,149,3.767,111,3.8234,111,38
adder_i20_o11,20,11,128,256,1/8,1,4.8866,149,3.8883,132,4.0375,132,17
adder_i20_o11,20,11,128,512,1/4,1,4.8866,149,4.3935,147,4.2658,147,2
adder_i20_o11,20,11,128,1024,1/2,1,4.8866,149,4.3359,149,4.3628,149,0
adder_i20_o11,20,11,128,128,1/16,2,4.5118,149,3.7133,111,3.7765,111,38
adder_i20_o11,20,11,128,256,1/8,2,4.5118,149,4.1135,132,4.1853,132,17
adder_i20_o11,20,11,128,512,1/4,2,4.5118,149,4.3046,147,4.2274,147,2
adder_i20_o11,20,11,128,1024,1/2,2,4.5118,149,4.2717,149,4.2839,149,0
adder_i20_o11,20,11,128,128,1/16,3,4.3584,149,3.6587,111,3.7301,111,38
adder_i20_o11,20,11,128,256,1/8,3,4.3584,149,4.0202,132,4.3797,132,17
adder_i20_o11,20,11,128,512,1/4,3,4.3584,149,4.2777,147,4.3597,147,2
adder_i20_o11,20,11,128,1024,1/2,3,4.3584,149,4.408,149,4.3183,149,0
