benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
madd_i12_o8,12,8,128,16,1/16,1,7.1021,233,5.6469,176,5.6284,176,57
madd_i12_o8,12,8,128,32,1/8,1,7.1021,233,6.4636,213,6.4194,213,20
madd_i12_o8,12,8,128,64,1/4,1,7.1021,233,6.7393,230,6.7428,230,3
madd_i12_o8,12,8,128,128,1/2,1,7.1021,233,6.7552,233,7.0424,233,0
madd_i12_o8,12,8,128,16,1/16,2,6.7683,233,5.4441,176,5.2695,176,57
madd_i12_o8,12,8,128,32,1/8,2,6.7683,233,6.0029,213,6.0149,213,20
madd_i12_o8,12,8,128,64,1/4,2,6.7683,233,6.4877,230,6.3562,230,3
madd_i12_o8,12,8,128,128,1/2,2,6.7683,233,6.4878,233,6.3497,233,0
madd_i12_o8,12,8,128,16,1/16,3,6.7108,233,5.3311,176,5.3665,176,57
madd_i12_o8,12,8,128,32,1/8,3,6.7108,233,6.1072,213,6.098,213,20
madd_i12_o8,12,8,128,64,1/4,3,6.7108,233,6.4913,230,6.6622,230,3
madd_i12_o8,12,8,128,128,1/2,3,6.7108,233,6.8421,233,6.7527,233,0
