benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
mul_i4_o4,4,4,128,1,1/16,1,2.0953,13,1.5499,1,1.6387,1,12
mul_i4_o4,4,4,128,2,1/8,1,2.0953,13,1.6533,10,1.7566,10,3
mul_i4_o4,4,4,128,4,1/4,1,2.0953,13,1.726,13,1.6435,13,0
mul_i4_o4,4,4,128,8,1/2,1,2.0953,13,1.6693,13,1.6595,13,0
mul_i4_o4,4,4,128,1,1/16,2,1.7503,13,1.6162,1,1.6163,1,12
mul_i4_o4,4,4,128,2,1/8,2,1.7503,13,1.5748,10,1.5708,10,3
mul_i4_o4,4,4,128,4,1/4,2,1.7503,13,1.5926,13,1.581,13,0
mul_i4_o4,4,4,128,8,1/2,2,1.7503,13,1.633,13,1.6027,13,0
mul_i4_o4,4,4,128,1,1/16,3,1.6651,13,1.5372,1,1.598,1,12
mul_i4_o4,4,4,128,2,1/8,3,1.6651,13,1.6968,10,1.6776,10,3
mul_i4_o4,4,4,128,4,1/4,3,1.6651,13,1.5722,13,1.6598,13,0
mul_i4_o4,4,4,128,8,1/2,3,1.6651,13,1.7536,13,1.6847,13,0
