benchmark,num_inputs,num_outputs,num_cpu_cores,et,et_frac,repeat,full_s,full_calls,partial_s,partial_calls,prefilter_s,prefilter_calls,skipped_vs_full
sad_i10_o4,10,4,128,1,1/16,1,5.6326,142,2.6415,40,2.651,40,102
sad_i10_o4,10,4,128,2,1/8,1,5.6326,142,4.9462,125,5.0631,125,17
sad_i10_o4,10,4,128,4,1/4,1,5.6326,142,5.217,140,5.3923,140,2
sad_i10_o4,10,4,128,8,1/2,1,5.6326,142,5.4695,142,5.3949,142,0
sad_i10_o4,10,4,128,1,1/16,2,5.3981,142,2.7694,40,2.717,40,102
sad_i10_o4,10,4,128,2,1/8,2,5.3981,142,4.9743,125,4.9433,125,17
sad_i10_o4,10,4,128,4,1/4,2,5.3981,142,5.3928,140,5.3187,140,2
sad_i10_o4,10,4,128,8,1/2,2,5.3981,142,5.3881,142,5.6235,142,0
sad_i10_o4,10,4,128,1,1/16,3,5.4371,142,2.8419,40,2.7922,40,102
sad_i10_o4,10,4,128,2,1/8,3,5.4371,142,4.9443,125,4.9683,125,17
sad_i10_o4,10,4,128,4,1/4,3,5.4371,142,5.4352,140,5.2565,140,2
sad_i10_o4,10,4,128,8,1/2,3,5.4371,142,5.3301,142,5.2843,142,0
