benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
abs_diff_i8_o4,8,4,128,5,1,1,1/16,1,4.425,97,3.71,97,0.9968,8
abs_diff_i8_o4,8,4,128,5,1,2,1/8,1,4.425,97,3.71,97,2.3486,63
abs_diff_i8_o4,8,4,128,5,1,4,1/4,1,4.425,97,3.71,97,3.2327,86
abs_diff_i8_o4,8,4,128,5,1,8,1/2,1,4.425,97,3.71,97,3.243,97
abs_diff_i8_o4,8,4,128,5,2,1,1/16,1,4.425,97,3.6094,96,0.9876,7
abs_diff_i8_o4,8,4,128,5,2,2,1/8,1,4.425,97,3.6094,96,2.1843,62
abs_diff_i8_o4,8,4,128,5,2,4,1/4,1,4.425,97,3.6094,96,2.8821,85
abs_diff_i8_o4,8,4,128,5,2,8,1/2,1,4.425,97,3.6094,96,3.4613,96
abs_diff_i8_o4,8,4,128,5,3,1,1/16,1,4.425,97,2.4634,66,1.0894,7
abs_diff_i8_o4,8,4,128,5,3,2,1/8,1,4.425,97,2.4634,66,2.0634,43
abs_diff_i8_o4,8,4,128,5,3,4,1/4,1,4.425,97,2.4634,66,2.5756,66
abs_diff_i8_o4,8,4,128,5,3,8,1/2,1,4.425,97,2.4634,66,2.7848,66
abs_diff_i8_o4,8,4,128,5,1,1,1/16,2,4.0763,97,2.3464,62,0.9731,7
abs_diff_i8_o4,8,4,128,5,1,2,1/8,2,4.0763,97,2.3464,62,2.6928,62
abs_diff_i8_o4,8,4,128,5,1,4,1/4,2,4.0763,97,2.3464,62,2.1819,62
abs_diff_i8_o4,8,4,128,5,1,8,1/2,2,4.0763,97,2.3464,62,2.1502,62
abs_diff_i8_o4,8,4,128,5,2,1,1/16,2,4.0763,97,2.2596,62,0.9249,7
abs_diff_i8_o4,8,4,128,5,2,2,1/8,2,4.0763,97,2.2596,62,2.3184,62
abs_diff_i8_o4,8,4,128,5,2,4,1/4,2,4.0763,97,2.2596,62,2.1747,62
abs_diff_i8_o4,8,4,128,5,2,8,1/2,2,4.0763,97,2.2596,62,2.1635,62
abs_diff_i8_o4,8,4,128,5,3,1,1/16,2,4.0763,97,2.9411,96,0.9386,7
abs_diff_i8_o4,8,4,128,5,3,2,1/8,2,4.0763,97,2.9411,96,2.1081,62
abs_diff_i8_o4,8,4,128,5,3,4,1/4,2,4.0763,97,2.9411,96,2.5092,85
abs_diff_i8_o4,8,4,128,5,3,8,1/2,2,4.0763,97,2.9411,96,2.8186,96
abs_diff_i8_o4,8,4,128,5,1,1,1/16,3,3.4036,97,2.8194,96,0.9329,7
abs_diff_i8_o4,8,4,128,5,1,2,1/8,3,3.4036,97,2.8194,96,2.0946,62
abs_diff_i8_o4,8,4,128,5,1,4,1/4,3,3.4036,97,2.8194,96,2.5118,85
abs_diff_i8_o4,8,4,128,5,1,8,1/2,3,3.4036,97,2.8194,96,2.7968,96
abs_diff_i8_o4,8,4,128,5,2,1,1/16,3,3.4036,97,2.7923,96,0.937,7
abs_diff_i8_o4,8,4,128,5,2,2,1/8,3,3.4036,97,2.7923,96,2.0531,62
abs_diff_i8_o4,8,4,128,5,2,4,1/4,3,3.4036,97,2.7923,96,2.6177,85
abs_diff_i8_o4,8,4,128,5,2,8,1/2,3,3.4036,97,2.7923,96,2.7753,96
abs_diff_i8_o4,8,4,128,5,3,1,1/16,3,3.4036,97,2.0405,62,0.9282,7
abs_diff_i8_o4,8,4,128,5,3,2,1/8,3,3.4036,97,2.0405,62,2.0359,62
abs_diff_i8_o4,8,4,128,5,3,4,1/4,3,3.4036,97,2.0405,62,2.0379,62
abs_diff_i8_o4,8,4,128,5,3,8,1/2,3,3.4036,97,2.0405,62,2.1346,62
