benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
adder_i32_o17,32,17,128,5,1,8192,1/16,1,45.1829,263,42.7792,253,44.049,212
adder_i32_o17,32,17,128,5,1,16384,1/8,1,45.1829,263,42.7792,253,44.2014,233
adder_i32_o17,32,17,128,5,1,32768,1/4,1,45.1829,263,42.7792,253,44.9582,249
adder_i32_o17,32,17,128,5,1,65536,1/2,1,45.1829,263,42.7792,253,43.7572,253
adder_i32_o17,32,17,128,5,2,8192,1/16,1,45.1829,263,42.9003,201,42.1694,160
adder_i32_o17,32,17,128,5,2,16384,1/8,1,45.1829,263,42.9003,201,41.0383,181
adder_i32_o17,32,17,128,5,2,32768,1/4,1,45.1829,263,42.9003,201,42.0194,197
adder_i32_o17,32,17,128,5,2,65536,1/2,1,45.1829,263,42.9003,201,41.527,201
adder_i32_o17,32,17,128,5,3,8192,1/16,1,45.1829,263,42.0975,245,41.1886,204
adder_i32_o17,32,17,128,5,3,16384,1/8,1,45.1829,263,42.0975,245,43.5691,225
adder_i32_o17,32,17,128,5,3,32768,1/4,1,45.1829,263,42.0975,245,42.1895,241
adder_i32_o17,32,17,128,5,3,65536,1/2,1,45.1829,263,42.0975,245,42.5542,245
adder_i32_o17,32,17,128,5,1,8192,1/16,2,43.5368,263,42.2744,249,41.2713,208
adder_i32_o17,32,17,128,5,1,16384,1/8,2,43.5368,263,42.2744,249,41.1828,229
adder_i32_o17,32,17,128,5,1,32768,1/4,2,43.5368,263,42.2744,249,42.4584,245
adder_i32_o17,32,17,128,5,1,65536,1/2,2,43.5368,263,42.2744,249,43.7545,249
adder_i32_o17,32,17,128,5,2,8192,1/16,2,43.5368,263,39.7731,169,39.1764,136
adder_i32_o17,32,17,128,5,2,16384,1/8,2,43.5368,263,39.7731,169,39.3789,149
adder_i32_o17,32,17,128,5,2,32768,1/4,2,43.5368,263,39.7731,169,39.9474,165
adder_i32_o17,32,17,128,5,2,65536,1/2,2,43.5368,263,39.7731,169,39.8241,169
adder_i32_o17,32,17,128,5,3,8192,1/16,2,43.5368,263,35.827,7,35.724,7
adder_i32_o17,32,17,128,5,3,16384,1/8,2,43.5368,263,35.827,7,35.654,7
adder_i32_o17,32,17,128,5,3,32768,1/4,2,43.5368,263,35.827,7,35.9088,7
adder_i32_o17,32,17,128,5,3,65536,1/2,2,43.5368,263,35.827,7,35.624,7
adder_i32_o17,32,17,128,5,1,8192,1/16,3,42.5319,263,40.3035,185,39.5019,144
adder_i32_o17,32,17,128,5,1,16384,1/8,3,42.5319,263,40.3035,185,40.3535,165
adder_i32_o17,32,17,128,5,1,32768,1/4,3,42.5319,263,40.3035,185,40.2802,181
adder_i32_o17,32,17,128,5,1,65536,1/2,3,42.5319,263,40.3035,185,40.2346,185
adder_i32_o17,32,17,128,5,2,8192,1/16,3,42.5319,263,40.7498,217,40.4905,176
adder_i32_o17,32,17,128,5,2,16384,1/8,3,42.5319,263,40.7498,217,40.3949,197
adder_i32_o17,32,17,128,5,2,32768,1/4,3,42.5319,263,40.7498,217,40.6853,213
adder_i32_o17,32,17,128,5,2,65536,1/2,3,42.5319,263,40.7498,217,41.5388,217
adder_i32_o17,32,17,128,5,3,8192,1/16,3,42.5319,263,41.3362,258,40.8554,217
adder_i32_o17,32,17,128,5,3,16384,1/8,3,42.5319,263,41.3362,258,41.1912,238
adder_i32_o17,32,17,128,5,3,32768,1/4,3,42.5319,263,41.3362,258,41.6798,254
adder_i32_o17,32,17,128,5,3,65536,1/2,3,42.5319,263,41.3362,258,42.0432,258
