benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
madd_i6_o4,6,4,128,5,1,1,1/16,1,2.7746,42,1.7015,42,1.024,8
madd_i6_o4,6,4,128,5,1,2,1/8,1,2.7746,42,1.7015,42,1.5269,30
madd_i6_o4,6,4,128,5,1,4,1/4,1,2.7746,42,1.7015,42,1.8313,42
madd_i6_o4,6,4,128,5,1,8,1/2,1,2.7746,42,1.7015,42,1.7257,42
madd_i6_o4,6,4,128,5,2,1,1/16,1,2.7746,42,1.6815,38,1.0282,4
madd_i6_o4,6,4,128,5,2,2,1/8,1,2.7746,42,1.6815,38,1.4402,26
madd_i6_o4,6,4,128,5,2,4,1/4,1,2.7746,42,1.6815,38,1.6868,38
madd_i6_o4,6,4,128,5,2,8,1/2,1,2.7746,42,1.6815,38,1.6286,38
madd_i6_o4,6,4,128,5,3,1,1/16,1,2.7746,42,1.7888,33,1.006,3
madd_i6_o4,6,4,128,5,3,2,1/8,1,2.7746,42,1.7888,33,1.2932,21
madd_i6_o4,6,4,128,5,3,4,1/4,1,2.7746,42,1.7888,33,1.5811,33
madd_i6_o4,6,4,128,5,3,8,1/2,1,2.7746,42,1.7888,33,1.5537,33
madd_i6_o4,6,4,128,5,1,1,1/16,2,2.5054,42,1.7306,42,0.9665,8
madd_i6_o4,6,4,128,5,1,2,1/8,2,2.5054,42,1.7306,42,1.5294,30
madd_i6_o4,6,4,128,5,1,4,1/4,2,2.5054,42,1.7306,42,1.8187,42
madd_i6_o4,6,4,128,5,1,8,1/2,2,2.5054,42,1.7306,42,1.9089,42
madd_i6_o4,6,4,128,5,2,1,1/16,2,2.5054,42,1.568,38,1.0189,4
madd_i6_o4,6,4,128,5,2,2,1/8,2,2.5054,42,1.568,38,1.4811,26
madd_i6_o4,6,4,128,5,2,4,1/4,2,2.5054,42,1.568,38,1.6112,38
madd_i6_o4,6,4,128,5,2,8,1/2,2,2.5054,42,1.568,38,1.8093,38
madd_i6_o4,6,4,128,5,3,1,1/16,2,2.5054,42,1.6849,38,1.3424,8
madd_i6_o4,6,4,128,5,3,2,1/8,2,2.5054,42,1.6849,38,1.3924,26
madd_i6_o4,6,4,128,5,3,4,1/4,2,2.5054,42,1.6849,38,1.6361,38
madd_i6_o4,6,4,128,5,3,8,1/2,2,2.5054,42,1.6849,38,1.7429,38
madd_i6_o4,6,4,128,5,1,1,1/16,3,2.3999,42,1.7396,42,1.0334,8
madd_i6_o4,6,4,128,5,1,2,1/8,3,2.3999,42,1.7396,42,1.4849,30
madd_i6_o4,6,4,128,5,1,4,1/4,3,2.3999,42,1.7396,42,1.8364,42
madd_i6_o4,6,4,128,5,1,8,1/2,3,2.3999,42,1.7396,42,1.9809,42
madd_i6_o4,6,4,128,5,2,1,1/16,3,2.3999,42,1.6681,38,0.9558,4
madd_i6_o4,6,4,128,5,2,2,1/8,3,2.3999,42,1.6681,38,1.4767,26
madd_i6_o4,6,4,128,5,2,4,1/4,3,2.3999,42,1.6681,38,1.6711,38
madd_i6_o4,6,4,128,5,2,8,1/2,3,2.3999,42,1.6681,38,1.6372,38
madd_i6_o4,6,4,128,5,3,1,1/16,3,2.3999,42,2.1684,38,1.0009,4
madd_i6_o4,6,4,128,5,3,2,1/8,3,2.3999,42,2.1684,38,1.3613,26
madd_i6_o4,6,4,128,5,3,4,1/4,3,2.3999,42,2.1684,38,2.334,38
madd_i6_o4,6,4,128,5,3,8,1/2,3,2.3999,42,2.1684,38,1.6654,38
