benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
mul_i12_o12,12,12,128,5,1,256,1/16,1,19.2126,445,20.8504,425,16.7455,367
mul_i12_o12,12,12,128,5,1,512,1/8,1,19.2126,445,20.8504,425,17.0264,405
mul_i12_o12,12,12,128,5,1,1024,1/4,1,19.2126,445,20.8504,425,17.3336,422
mul_i12_o12,12,12,128,5,1,2048,1/2,1,19.2126,445,20.8504,425,17.5075,425
mul_i12_o12,12,12,128,5,2,256,1/16,1,19.2126,445,17.2676,412,17.3108,354
mul_i12_o12,12,12,128,5,2,512,1/8,1,19.2126,445,17.2676,412,18.0122,392
mul_i12_o12,12,12,128,5,2,1024,1/4,1,19.2126,445,17.2676,412,16.6861,409
mul_i12_o12,12,12,128,5,2,2048,1/2,1,19.2126,445,17.2676,412,22.5286,412
mul_i12_o12,12,12,128,5,3,256,1/16,1,19.2126,445,16.9389,408,18.5403,350
mul_i12_o12,12,12,128,5,3,512,1/8,1,19.2126,445,16.9389,408,18.395,388
mul_i12_o12,12,12,128,5,3,1024,1/4,1,19.2126,445,16.9389,408,16.94,405
mul_i12_o12,12,12,128,5,3,2048,1/2,1,19.2126,445,16.9389,408,22.0425,408
mul_i12_o12,12,12,128,5,1,256,1/16,2,19.6602,445,10.4633,188,10.301,188
mul_i12_o12,12,12,128,5,1,512,1/8,2,19.6602,445,10.4633,188,11.7662,188
mul_i12_o12,12,12,128,5,1,1024,1/4,2,19.6602,445,10.4633,188,11.7064,188
mul_i12_o12,12,12,128,5,1,2048,1/2,2,19.6602,445,10.4633,188,10.1618,188
mul_i12_o12,12,12,128,5,2,256,1/16,2,19.6602,445,16.8052,408,20.4891,350
mul_i12_o12,12,12,128,5,2,512,1/8,2,19.6602,445,16.8052,408,16.8834,388
mul_i12_o12,12,12,128,5,2,1024,1/4,2,19.6602,445,16.8052,408,19.5944,405
mul_i12_o12,12,12,128,5,2,2048,1/2,2,19.6602,445,16.8052,408,17.9559,408
mul_i12_o12,12,12,128,5,3,256,1/16,2,19.6602,445,18.0191,420,21.7841,362
mul_i12_o12,12,12,128,5,3,512,1/8,2,19.6602,445,18.0191,420,16.8253,400
mul_i12_o12,12,12,128,5,3,1024,1/4,2,19.6602,445,18.0191,420,22.8961,417
mul_i12_o12,12,12,128,5,3,2048,1/2,2,19.6602,445,18.0191,420,18.5869,420
mul_i12_o12,12,12,128,5,1,256,1/16,3,18.5857,445,22.6025,408,15.2061,350
mul_i12_o12,12,12,128,5,1,512,1/8,3,18.5857,445,22.6025,408,19.4074,388
mul_i12_o12,12,12,128,5,1,1024,1/4,3,18.5857,445,22.6025,408,20.3087,405
mul_i12_o12,12,12,128,5,1,2048,1/2,3,18.5857,445,22.6025,408,16.9648,408
mul_i12_o12,12,12,128,5,2,256,1/16,3,18.5857,445,22.1821,429,16.3407,371
mul_i12_o12,12,12,128,5,2,512,1/8,3,18.5857,445,22.1821,429,16.8612,409
mul_i12_o12,12,12,128,5,2,1024,1/4,3,18.5857,445,22.1821,429,23.8755,426
mul_i12_o12,12,12,128,5,2,2048,1/2,3,18.5857,445,22.1821,429,17.6365,429
mul_i12_o12,12,12,128,5,3,256,1/16,3,18.5857,445,21.8613,408,16.4105,350
mul_i12_o12,12,12,128,5,3,512,1/8,3,18.5857,445,21.8613,408,16.2216,388
mul_i12_o12,12,12,128,5,3,1024,1/4,3,18.5857,445,21.8613,408,20.7771,405
mul_i12_o12,12,12,128,5,3,2048,1/2,3,18.5857,445,21.8613,408,17.2968,408
