benchmark,num_inputs,num_outputs,num_cpu_cores,n_modified,trial,et,et_frac,repeat,full_s,full_calls,selective_s,selective_calls,combined_s,combined_calls
sad_i10_o4,10,4,128,5,1,1,1/16,1,7.5187,142,6.2095,138,2.0822,36
sad_i10_o4,10,4,128,5,1,2,1/8,1,7.5187,142,6.2095,138,5.3056,121
sad_i10_o4,10,4,128,5,1,4,1/4,1,7.5187,142,6.2095,138,5.0573,136
sad_i10_o4,10,4,128,5,1,8,1/2,1,7.5187,142,6.2095,138,5.8357,138
sad_i10_o4,10,4,128,5,2,1,1/16,1,7.5187,142,5.5959,138,2.1188,36
sad_i10_o4,10,4,128,5,2,2,1/8,1,7.5187,142,5.5959,138,5.0638,121
sad_i10_o4,10,4,128,5,2,4,1/4,1,7.5187,142,5.5959,138,5.2602,136
sad_i10_o4,10,4,128,5,2,8,1/2,1,7.5187,142,5.5959,138,6.0492,138
sad_i10_o4,10,4,128,5,3,1,1/16,1,7.5187,142,5.9462,138,1.9307,36
sad_i10_o4,10,4,128,5,3,2,1/8,1,7.5187,142,5.9462,138,4.7031,121
sad_i10_o4,10,4,128,5,3,4,1/4,1,7.5187,142,5.9462,138,6.1136,136
sad_i10_o4,10,4,128,5,3,8,1/2,1,7.5187,142,5.9462,138,5.0758,138
sad_i10_o4,10,4,128,5,1,1,1/16,2,6.4529,142,5.2113,138,2.9334,36
sad_i10_o4,10,4,128,5,1,2,1/8,2,6.4529,142,5.2113,138,4.4705,121
sad_i10_o4,10,4,128,5,1,4,1/4,2,6.4529,142,5.2113,138,6.7297,136
sad_i10_o4,10,4,128,5,1,8,1/2,2,6.4529,142,5.2113,138,6.4037,138
sad_i10_o4,10,4,128,5,2,1,1/16,2,6.4529,142,5.8622,138,2.043,36
sad_i10_o4,10,4,128,5,2,2,1/8,2,6.4529,142,5.8622,138,4.8185,121
sad_i10_o4,10,4,128,5,2,4,1/4,2,6.4529,142,5.8622,138,5.5197,136
sad_i10_o4,10,4,128,5,2,8,1/2,2,6.4529,142,5.8622,138,5.2023,138
sad_i10_o4,10,4,128,5,3,1,1/16,2,6.4529,142,5.901,138,1.9728,36
sad_i10_o4,10,4,128,5,3,2,1/8,2,6.4529,142,5.901,138,4.6267,121
sad_i10_o4,10,4,128,5,3,4,1/4,2,6.4529,142,5.901,138,5.2648,136
sad_i10_o4,10,4,128,5,3,8,1/2,2,6.4529,142,5.901,138,5.0283,138
sad_i10_o4,10,4,128,5,1,1,1/16,3,6.7012,142,5.7416,142,2.4945,40
sad_i10_o4,10,4,128,5,1,2,1/8,3,6.7012,142,5.7416,142,5.4974,125
sad_i10_o4,10,4,128,5,1,4,1/4,3,6.7012,142,5.7416,142,5.6093,140
sad_i10_o4,10,4,128,5,1,8,1/2,3,6.7012,142,5.7416,142,5.8586,142
sad_i10_o4,10,4,128,5,2,1,1/16,3,6.7012,142,4.9704,138,2.0744,36
sad_i10_o4,10,4,128,5,2,2,1/8,3,6.7012,142,4.9704,138,4.6194,121
sad_i10_o4,10,4,128,5,2,4,1/4,3,6.7012,142,4.9704,138,5.1234,136
sad_i10_o4,10,4,128,5,2,8,1/2,3,6.7012,142,4.9704,138,5.5807,138
sad_i10_o4,10,4,128,5,3,1,1/16,3,6.7012,142,5.1259,138,1.9721,36
sad_i10_o4,10,4,128,5,3,2,1/8,3,6.7012,142,5.1259,138,4.5412,121
sad_i10_o4,10,4,128,5,3,4,1/4,3,6.7012,142,5.1259,138,5.8254,136
sad_i10_o4,10,4,128,5,3,8,1/2,3,6.7012,142,5.1259,138,5.184,138
