benchmark,mode,setup_s,gen_s,exec_s,import_s,overhead_s,total_s,exec_pct,gen_pct
abs_diff_i10_o5,sequential,1.2487,0.9828,30.5566,0.0043,0.0008,32.7932,93.2,3.0
abs_diff_i10_o5,parallel,1.2249,0.9965,1.5918,0.004,0.0009,3.8182,41.7,26.1
abs_diff_i12_o6,sequential,1.3052,1.1939,35.2515,0.0047,0.0009,37.7562,93.4,3.2
abs_diff_i12_o6,parallel,1.2945,1.2831,2.0207,0.0047,0.0011,4.604,43.9,27.9
abs_diff_i16_o8,sequential,1.4619,4.0535,71.6294,0.0078,0.0016,77.1543,92.8,5.3
abs_diff_i16_o8,parallel,1.4551,3.8796,2.6752,0.0086,0.0018,8.0204,33.4,48.4
abs_diff_i20_o10,sequential,1.6149,6.3851,101.9053,0.0105,0.0022,109.918,92.7,5.8
abs_diff_i20_o10,parallel,1.6198,6.5352,3.7802,0.0104,0.0023,11.948,31.6,54.7
abs_diff_i4_o2,sequential,1.0388,0.0289,3.972,0.001,0.0002,5.0409,78.8,0.6
abs_diff_i4_o2,parallel,1.0171,0.03,0.4165,0.0008,0.0002,1.4645,28.4,2.0
abs_diff_i6_o3,sequential,1.1964,0.2179,13.8627,0.0022,0.0004,15.2797,90.7,1.4
abs_diff_i6_o3,parallel,1.1809,0.2355,1.1068,0.002,0.0005,2.5257,43.8,9.3
abs_diff_i8_o4,sequential,1.2476,0.5904,24.7914,0.0036,0.0007,26.6336,93.1,2.2
abs_diff_i8_o4,parallel,1.287,0.607,1.7065,0.0033,0.0007,3.6045,47.3,16.8
adder_i10_o6,sequential,0.9661,0.3088,16.7504,0.0029,0.0005,18.0287,92.9,1.7
adder_i10_o6,parallel,0.9213,0.3285,1.2971,0.0025,0.0006,2.5499,50.9,12.9
adder_i12_o7,sequential,1.0113,0.4667,20.5006,0.0033,0.0006,21.9825,93.3,2.1
adder_i12_o7,parallel,0.9399,0.4653,1.56,0.0027,0.0006,2.9685,52.6,15.7
adder_i16_o9,sequential,1.0744,0.9126,30.4144,0.0041,0.0008,32.4063,93.9,2.8
adder_i16_o9,parallel,1.0585,0.9325,2.4102,0.0038,0.0008,4.4058,54.7,21.2
adder_i20_o11,sequential,1.12,1.359,41.6158,0.0055,0.0009,44.1011,94.4,3.1
adder_i20_o11,parallel,1.0606,1.4773,2.3158,0.0049,0.0011,4.8598,47.7,30.4
adder_i24_o13,sequential,1.2769,2.2166,66.9003,0.0066,0.0012,70.4016,95.0,3.1
adder_i24_o13,parallel,1.3074,2.3444,3.5373,0.0059,0.0014,7.1964,49.2,32.6
adder_i28_o15,sequential,1.2007,3.0305,119.666,0.0071,0.0014,123.9057,96.6,2.4
adder_i28_o15,parallel,1.1763,3.1501,7.8893,0.007,0.0017,12.2244,64.5,25.8
adder_i32_o17,sequential,1.3717,4.4483,323.5436,0.0082,0.0017,329.3736,98.2,1.4
adder_i32_o17,parallel,1.3893,4.5126,36.9463,0.0081,0.0019,42.8581,86.2,10.5
adder_i4_o3,sequential,0.8459,0.0405,4.8839,0.0011,0.0002,5.7717,84.6,0.7
adder_i4_o3,parallel,0.8936,0.0423,0.4472,0.0009,0.0002,1.3842,32.3,3.1
adder_i6_o4,sequential,0.8867,0.1015,8.5057,0.0017,0.0003,9.4959,89.6,1.1
adder_i6_o4,parallel,0.8646,0.1045,0.852,0.0013,0.0003,1.8227,46.7,5.7
adder_i8_o5,sequential,0.9011,0.1901,12.4899,0.0019,0.0004,13.5834,91.9,1.4
adder_i8_o5,parallel,0.8744,0.1974,1.1979,0.0019,0.0004,2.272,52.7,8.7
madd_i12_o8,sequential,1.3538,3.2702,68.9693,0.0075,0.0015,73.6023,93.7,4.4
madd_i12_o8,parallel,1.3123,3.3022,2.4974,0.0075,0.0017,7.121,35.1,46.4
madd_i15_o10,sequential,1.5979,8.4056,145.664,0.0121,0.0025,155.6821,93.6,5.4
madd_i15_o10,parallel,1.5409,8.4999,4.2903,0.0117,0.0026,14.3455,29.9,59.3
madd_i18_o12,sequential,2.0296,19.48,371.0916,0.0181,0.0038,392.6232,94.5,5.0
madd_i18_o12,parallel,2.065,19.5747,9.6253,0.0173,0.0041,31.2864,30.8,62.6
madd_i6_o4,sequential,1.1503,0.1305,10.5915,0.002,0.0004,11.8747,89.2,1.1
madd_i6_o4,parallel,1.1787,0.1432,0.8198,0.0017,0.0004,2.1438,38.2,6.7
madd_i9_o6,sequential,1.1314,0.9026,33.9025,0.0041,0.0008,35.9413,94.3,2.5
madd_i9_o6,parallel,1.0536,0.918,1.9992,0.0041,0.0009,3.9757,50.3,23.1
mul_i10_o10,sequential,1.4049,5.3785,97.6383,0.0098,0.0021,104.4336,93.5,5.2
mul_i10_o10,parallel,1.3806,5.4074,2.9681,0.0093,0.0021,9.7676,30.4,55.4
mul_i12_o12,sequential,1.6657,11.7192,243.335,0.0139,0.003,256.7368,94.8,4.6
mul_i12_o12,parallel,1.703,11.8329,6.68,0.014,0.0032,20.233,33.0,58.5
mul_i14_o14,sequential,2.1503,26.5268,1022.9231,0.0209,0.0048,1051.6258,97.3,2.5
mul_i14_o14,parallel,2.2268,27.7261,28.1538,0.0204,0.0078,58.1348,48.4,47.7
mul_i4_o4,sequential,0.9717,0.0191,2.9231,0.001,0.0002,3.9151,74.7,0.5
mul_i4_o4,parallel,0.9239,0.0206,0.3325,0.0007,0.0002,1.2779,26.0,1.6
mul_i6_o6,sequential,1.0945,0.3265,16.91,0.0028,0.0005,18.3342,92.2,1.8
mul_i6_o6,parallel,1.2269,1.2539,1.2279,0.0024,0.0008,3.712,33.1,33.8
mul_i8_o8,sequential,1.2244,1.8498,46.9179,0.0059,0.0011,49.9991,93.8,3.7
mul_i8_o8,parallel,1.2054,1.9208,3.2316,0.0054,0.0013,6.3645,50.8,30.2
sad_i10_o4,sequential,1.5547,1.2647,37.5104,0.0054,0.0009,40.3361,93.0,3.1
sad_i10_o4,parallel,1.4746,1.4627,2.8983,0.0048,0.0011,5.8415,49.6,25.0
sad_i20_o6,sequential,2.1401,19.8958,268.9753,0.0188,0.0045,291.0345,92.4,6.8
sad_i20_o6,parallel,2.1228,19.041,22.395,0.0176,0.0042,43.5806,51.4,43.7
